section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	7
local	posteriorMassOfLocalPeaks	0.5812987309
local	meanUphillFraction	0.4922782332
local	posteriorWeightedMeanUphillFraction	0.0377773996
local	meanBestNeighborLnLDifference	80.2253966532
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.1147945587
local	meanNeighborAbsLnLDifference	21.2792349948
local	posteriorWeightedMeanNeighborAbsLnLDifference	28.9527395891
basin	numPeaks	7
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	1
basin	largestBasinSize	1253279
basin	largestBasinMass	0.9609035121
basin	basinMassEntropy	0.1650715323
basin	effectiveNumBasins	1.1794774864
basin	mapTreeHash	787259318825343417
basin	mapPeakHash	787259318825343417
basin	mapPeakId	0
basin	mapBasinMass	0.9609035121
basin	posteriorMassOutsideMapBasin	0.0390964879
ascent	meanAscentLength	10.9160829294
ascent	posteriorWeightedMeanAscentLength	0.5152987827
ascent	meanAscentLengthCredible95	0.8571428571
ascent	posteriorWeightedMeanAscentLengthCredible95	0.4384301967
ascent	maxAscentLength	22
credible95	credible95NumTrees	7
credible95	credible95Mass	0.9532543632
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	5
credible95	credible95LargestComponentMass	0.9142583980
credible95	credible95MapComponentSize	5
credible95	credible95MapComponentMass	0.9142583980
barrier	basinGraphEdges	19
barrier	meanBasinGraphDegree	5.4285714286
barrier	mapBasinGraphDegree	6
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	3.4548480167
barrier	meanBarrier	113.1738174711
barrier	posteriorWeightedMeanBarrier	1.7840821340
barrier	maxBarrier	369.9079730167

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	787259318825343417	0.5614382869	1253279	0.9609035121
1	14595385982114760312	0.0198596980	68523	0.0390956820
2	18030223460971013104	0.0000007460	403336	0.0000008059
3	14033641623246684419	0.0000000000	298062	0.0000000000
4	5784063011097037234	0.0000000000	1023	0.0000000000
5	13095447749989078343	0.0000000000	1609	0.0000000000
6	1316008022264709101	0.0000000000	1193	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	787259318825343417	14595385982114760312	2939393713345808861	14595385982114760312	-5740.3300781250	0.0177400624	3.4548480167	0.1130386075
0	2	787259318825343417	18030223460971013104	12250368604721913007	18030223460971013104	-5751.6508789062	0.0000002149	14.7756487979	1.2443892823
1	2	14595385982114760312	18030223460971013104	1047467177741456095	12390655027560730499	-5759.5883789062	0.0000000001	19.3713393887	9.1818892823
0	3	787259318825343417	14033641623246684419	6289036739832982715	13053913667441449254	-5851.0444335938	0.0000000000	114.1692034854	2.5537813036
3	1	14033641623246684419	14595385982114760312	5199452499166048935	9689095215933470853	-5857.4418945312	0.0000000000	8.9512422411	117.2248550137
3	2	14033641623246684419	18030223460971013104	12880671280557767652	14132354906233498817	-5865.7788085938	0.0000000000	17.2881563036	115.3723189698
0	4	787259318825343417	5784063011097037234	5784063011097037234	6387349118735476282	-5981.4384765625	0.0000000000	244.5632464542	0.5193007672
4	3	5784063011097037234	14033641623246684419	1877835231129130379	5784063011097037234	-5982.0913085938	0.0000000000	1.1721327984	133.6006563036
4	1	5784063011097037234	14595385982114760312	405865560213697116	13976527973478046240	-5983.9218750000	0.0000000000	3.0026992047	243.7048354825
4	2	5784063011097037234	18030223460971013104	13540810334046713246	14313877992482484721	-5990.5517578125	0.0000000000	9.6325820172	240.1452681885
0	5	787259318825343417	13095447749989078343	13095447749989078343	13413922992503899024	-5998.5180664062	0.0000000000	261.6428362979	0.7278563004
5	2	13095447749989078343	18030223460971013104	12913858452718896415	13227923186800878086	-6025.0859375000	0.0000000000	27.2957273941	274.6794478760
5	1	13095447749989078343	14595385982114760312	4230051445720892288	8686945775628824830	-6088.0664062500	0.0000000000	90.2761961441	347.8493667325
5	3	13095447749989078343	14033641623246684419	11984912808567064823	12237241242434053933	-6090.3940429688	0.0000000000	92.6038328629	241.9033906786
0	6	787259318825343417	1316008022264709101	1316008022264709101	1409564400747965738	-6106.7832031250	0.0000000000	369.9079730167	0.2356270710
6	2	1316008022264709101	18030223460971013104	98097776356774486	1316008022264709101	-6106.8784179688	0.0000000000	0.3308419148	356.4719283448
6	1	1316008022264709101	14595385982114760312	1316008022264709101	13034360727454796694	-6106.9926757812	0.0000000000	0.4450997273	366.7756362637
6	3	1316008022264709101	14033641623246684419	2907016947156398342	9167008555220701845	-6109.5673828125	0.0000000000	3.0198067585	261.0767305224
6	4	1316008022264709101	5784063011097037234	1735840135070257314	10235094908204836594	-6196.3940429688	0.0000000000	89.8464669148	215.4748671734
