move_type	power	analysis_name	num_states	stationary_discrepancy	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	1.3011884471576418e-18	0	0	nan	nan	0.9997578198780307	0.00024218012196930427	4129.1580492586736	8257.3160985173454	1	4	1	0	0.0065511746567707922	0.035978320351784832	12121.551688798849	0	0.066885405429551653	nan	1.0336693562600012	1.0362494151048415e+171	978816	0.96742734409596609	1	0.96742734409596609	nan	nan	9.9999999999999995e-07	1683016.5633598925
NNI2	0	NNI2 (0.000000)	2027025	1.6392071543309916e-18	0	0	nan	nan	0.99873053299244441	0.0012694670075555914	787.73216952328619	1574.4643390465726	1	4	1	0	0.0018106976101881641	0.012335164132084384	5202.4963023008822	0	0.0077059008355866614	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	321074.1753078202
TBR	0	TBR (0.000000)	2027025	2.220642187860494e-16	0	0	nan	nan	0.99163149940478956	0.0083685005952104374	119.49571952857747	237.99143905715491	1	4	1	0	0.0011716703724845726	0.0087402285847351848	1184.4807138651288	0	0.010245430010241996	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	48704.833499318811
NNI	0.02	NNI (0.020000)	2027025	1.1102739980194668e-16	0	0	nan	nan	0.99966840784985722	0.00033159215014277876	3015.7529349516099	6030.5058699032197	1	4	1	0	0.0089405164302552281	0.046696939145857499	9352.5619472668477	0	0.094423495215356784	nan	1.0336693562600012	1.0362494151048415e+171	978816	0.96742734409596609	1	0.96742734409596609	nan	nan	9.9999999999999995e-07	1229200.2001714131
NNI2	0.02	NNI2 (0.020000)	2027025	1.1103433828150811e-16	0	0	nan	nan	0.99808801011270998	0.0019119898872900221	523.01531856811232	1045.0306371362244	1	4	1	0	0.0030119827714479197	0.01911464014818208	3390.7403516955073	0	0.013851006188923437	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	213176.1879966665
TBR	0.02	TBR (0.020000)	2027025	1.1104066416564865e-16	0	0	nan	nan	0.98036689254524323	0.019633107454756771	50.934372070464924	100.86874414092985	1	4	1	0	0.0027126031973176579	0.01806957517835173	497.29687039667095	0	0.024840417728305138	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	20760.549753517509
NNI	0.050000000000000003	NNI (0.050000)	2027025	8.714806307620563e-19	0	0	nan	nan	0.99958254205377173	0.00041745794622827237	2395.45086884796	4789.90173769592	1	4	1	0	0.012663061535300847	0.06239610954293847	7932.6534374507964	0	0.14010157896153702	nan	1.0336693562600012	1.0362494151048415e+171	978816	0.96742734409596609	1	0.96742734409596609	nan	nan	9.9999999999999995e-07	976369.41945774294
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	1.1103883884472197e-16	0	0	nan	nan	0.99841355562903045	0.001586444370969553	630.34041300096237	1259.6808260019247	1	4	1	0	0.0050395732042637529	0.02968622252510868	3280.5930902064515	0	0.025917783434530939	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	256922.44610895019
TBR	0.050000000000000003	TBR (0.050000)	2027025	5.5511740551874301e-16	0	0	nan	nan	0.96474914246119525	0.035250857538804747	28.368104205668839	55.736208411337671	1	4	1	0	0.0049961878978906776	0.030498752987123585	271.72707536191541	0	0.048700711706296959	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	11562.645576790634
NNI	0.10000000000000001	NNI (0.100000)	2027025	1.1102910892771371e-16	0	0	nan	nan	0.99959522910724563	0.00040477089275436917	2470.5333755479278	4940.0667510958556	1	4	1	0	0.019644796354271181	0.089278857510390497	11843.384470355406	0	0.23195559987990494	nan	1.0336693562600012	1.0362494151048415e+171	978816	0.96742734409596609	1	0.96742734409596609	nan	nan	9.9999999999999995e-07	1006972.5284834636
NNI2	0.10000000000000001	NNI2 (0.100000)	2027025	1.1103684018190043e-16	0	0	nan	nan	0.99948316872990206	0.00051683127009793939	1934.8674467984499	3868.7348935968998	1	4	1	0	0.0090745179960539414	0.048884199116039549	7635.0286892594768	0	0.055394685379985265	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	788638.81735332811
TBR	0.10000000000000001	TBR (0.100000)	2027025	1.1112007308860726e-16	0	0	nan	nan	0.93863490718156095	0.061365092818439049	16.295909515833387	31.591819031666777	1	4	1	0	0.0088058869612763525	0.049382039887178916	163.90993813065214	0	0.093595926398174309	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	6642.101406559791
NNI	0.20000000000000001	NNI (0.200000)	2027025	1.1103424655127937e-16	0	0	nan	nan	0.99999150049266994	8.499507330061995e-06	117653.87817986694	235306.75635973387	1	4	1	0	0.035375433910905474	0.14065770463505714	438578.56381859246	0	0.45818019726400527	nan	1.0336693562600012	1.0362494151048415e+171	978816	0.96742734409596609	1	0.96742734409596609	nan	nan	9.9999999999999995e-07	47965287.814944737
NNI2	0.20000000000000001	NNI2 (0.200000)	2027025	2.2205404694040667e-16	0	0	nan	nan	0.99999721832041621	2.7816795837853903e-06	359495.0352402454	718989.0704804908	1	4	1	0	0.019548030541426356	0.092425572359253361	598936.00014698307	0	0.15851814228256053	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	146505741.79939145
TBR	0.20000000000000001	TBR (0.200000)	2027025	1.1137386966263187e-16	0	0	nan	nan	0.86319588317173612	0.13680411682826388	7.3097215433607401	13.61944308672148	1	4	1	0	0.018116021773421847	0.089841081050348701	89.160323206597866	0	0.2188408774177979	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	2979.3925707268004
NNI	0.29999999999999999	NNI (0.300000)	2027025	1.1102656670793115e-16	0	0	nan	nan	0.9999995075218544	4.9247814559727487e-07	2030546.9571389921	4061092.9142779843	1	4	1	0	0.048341140758026473	0.17463987770954939	29870953.024226151	0	0.66210019634256345	nan	1.0336693562600012	1.0362494151048415e+171	978816	0.96742734409596609	1	0.96742734409596609	nan	nan	9.9999999999999995e-07	2763609772.0369177
NNI2	0.29999999999999999	NNI2 (0.300000)	2027025	4.7440834187609851e-18	0	0	nan	nan	0.99999977561192377	2.2438807623093027e-07	4456564.7907727696	8913128.5815455392	1	4	1	0	0.031286436756951794	0.13416967182452783	51059856.037918985	0	0.3136025682719214	nan	1.033669356259993	1.0362494151048334e+171	912757	0.96742734409597386	1	0.96742734409597386	nan	nan	9.9999999999999995e-07	10808392442.239309
