section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	10
local	posteriorMassOfLocalPeaks	0.9680761741
local	meanUphillFraction	0.4944355442
local	posteriorWeightedMeanUphillFraction	0.0009061440
local	meanBestNeighborLnLDifference	87.9045338755
local	posteriorWeightedMeanBestNeighborLnLDifference	-4.7362699793
local	meanNeighborAbsLnLDifference	22.9836583364
local	posteriorWeightedMeanNeighborAbsLnLDifference	29.3324610371
basin	numPeaks	10
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	1330813
basin	largestBasinMass	0.9985388879
basin	basinMassEntropy	0.0109989982
basin	effectiveNumBasins	1.0110597095
basin	mapTreeHash	12753113776263123193
basin	mapPeakHash	12753113776263123193
basin	mapPeakId	0
basin	mapBasinMass	0.9985388879
basin	posteriorMassOutsideMapBasin	0.0014611121
ascent	meanAscentLength	5.4570811904
ascent	posteriorWeightedMeanAscentLength	0.0319816321
ascent	meanAscentLengthCredible95	0.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0000000000
ascent	maxAscentLength	10
credible95	credible95NumTrees	1
credible95	credible95Mass	0.9674273441
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	1
credible95	credible95LargestComponentMass	0.9674273441
credible95	credible95MapComponentSize	1
credible95	credible95MapComponentMass	0.9674273441
barrier	basinGraphEdges	45
barrier	meanBasinGraphDegree	9.0000000000
barrier	mapBasinGraphDegree	9
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	9.1790179142
barrier	meanBarrier	85.3086289895
barrier	posteriorWeightedMeanBarrier	5.5254054931
barrier	maxBarrier	193.8859994401

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	12753113776263123193	0.9674273441	1330813	0.9985388879
1	13803509939360150185	0.0006488300	445069	0.0014611121
2	9406258604666092422	0.0000000000	89045	0.0000000000
3	11511765956412094187	0.0000000000	27290	0.0000000000
4	2759873300401432436	0.0000000000	27415	0.0000000000
5	11978852144490829239	0.0000000000	28049	0.0000000000
6	1367515634406350426	0.0000000000	19271	0.0000000000
7	11355350159960510222	0.0000000000	26958	0.0000000000
8	5661661118359295809	0.0000000000	20776	0.0000000000
9	3616877052231198297	0.0000000000	12339	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	12753113776263123193	13803509939360150185	966151118289303657	15144537013330723791	-1883.1651611328	0.0000998210	9.1790179142	1.8717930721
2	0	9406258604666092422	12753113776263123193	2887457662472610014	6550941208749931377	-1941.4812011719	0.0000000000	1.2895442706	67.4950579533
2	1	9406258604666092422	13803509939360150185	4485853173016798562	8677393455182235883	-1945.8511962891	0.0000000000	5.6595393878	64.5578282283
3	0	11511765956412094187	12753113776263123193	11511765956412094187	11542621249212606971	-1973.2762451172	0.0000000000	0.9237191667	99.2901018986
3	1	11511765956412094187	13803509939360150185	6436247474562872631	13636213232395667093	-1977.8756103516	0.0000000000	5.5230844010	96.5822422908
4	0	2759873300401432436	12753113776263123193	2759873300401432436	14322170374359268206	-1982.4298095703	0.0000000000	0.8576633586	108.4436663517
4	1	2759873300401432436	13803509939360150185	5822120786353773170	12784016275191390848	-1986.6301269531	0.0000000000	5.0579807414	105.3367588924
5	0	11978852144490829239	12753113776263123193	1884792495473170656	11978852144490829239	-2006.3781738281	0.0000000000	0.3844355526	132.3920306095
6	0	1367515634406350426	12753113776263123193	487743764224067177	6351125369681035061	-2010.7415771484	0.0000000000	0.3948578808	136.7554339299
6	1	1367515634406350426	13803509939360150185	9376039072758626201	10004988025757164411	-2013.8199462891	0.0000000000	3.4732270214	132.5265782283
5	1	11978852144490829239	13803509939360150185	1281020896776630733	6693528553152822691	-2014.9637451172	0.0000000000	8.9700068416	133.6703770564
7	0	11355350159960510222	12753113776263123193	16010169929715365234	18091395613128357635	-2027.7270507812	0.0000000000	0.6117045773	153.7409075627
8	0	5661661118359295809	12753113776263123193	120053232504094080	16678290506948150706	-2030.2056884766	0.0000000000	1.1029177275	156.2195452580
2	3	9406258604666092422	11511765956412094187	16015684562103104159	16762130121755640489	-2030.2296142578	0.0000000000	90.0379573565	57.8770883073
4	2	2759873300401432436	9406258604666092422	8480528331370532383	13437180205518892532	-2031.3782958984	0.0000000000	49.8061496867	91.1866389971
7	1	11355350159960510222	13803509939360150185	10645591852821799330	11893108601732632179	-2034.0709228516	0.0000000000	6.9555766476	152.7775547908
8	1	5661661118359295809	13803509939360150185	5661661118359295809	10513609755047028636	-2034.1892089844	0.0000000000	5.0864382353	152.8958409236
6	5	1367515634406350426	11978852144490829239	161748620437084445	9716053410802257281	-2042.4893798828	0.0000000000	32.1426606152	36.4956416073
