move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	6.3821977826823467e-17	0	nan	1.5919053977953963e-188	0.071428571428571425	0.04317627950957275	0	0.99999999999999967	0.59025838492430183	27711246	28071	0	0.98402782402782407	0.96517260517260517	4203606	28071	0	0.9838526905193572	0.96517063183729845	4560873	28075	0	0.98356261022927693	0.96317262983929652	4848903	28078	0	0.98307519640852969	0.87952689286022623	5145873	28078	0	0.9822202488869155	0.87894969228302566	5506432	28081	0	0.9804955538288872	0.86266178266178262	6068766	28083	0	0	nan	nan	0.99999986586371781	1.3413628219272056e-07	7455104.4926327104	14910207.985265421	1	4	1	0	0.11727037052115696	0.48990138678956791	21233373.464922529	0	0.047525717773639627	nan	3.0302617293065128	inf	1159539	0.33000449773982193	11	0.95837646949273536	nan	nan	9.9999999999999995e-07	361548080.77475792
NNI2	0	NNI2 (0.000000)	2027025	6.2739334580319755e-17	0	nan	7.6399275805046318e-218	0.0081967213114754103	0.0043213379853349063	0	1.000000000000002	0.52965219392222129	248445792	28071	0	0.98306582306582302	0.9861516261516261	57140432	28071	0	0.98306384973051641	0.98515262515262514	60652985	28071	0	0.98306138306138302	0.98515262515262514	64023269	28071	0	0.98305250305250302	0.98515262515262514	67792054	28071	0	0.98301698301698304	0.98515262515262514	72713392	28071	0	0.98296814296814294	0.98515262515262514	80437239	28071	0	0	nan	nan	1.0000000000000011	-1.1102230246251565e-15	inf	inf	1	4	2	0	0.027538825087116213	0.17754247625810959	1100665.7123973537	0	0.011815413328443809	nan	3.0302617293065133	inf	750587	0.33000449773982188	11	0.95837646949273525	nan	nan	9.9999999999999995e-07	inf
TBR	0	TBR (0.000000)	2027025	7.5956646189689864e-17	0	nan	1.1682180692572836e-214	0.013114754098360656	0.0017512963651990165	0	0.9553805774278189	0.49465416096836756	572533792	28071	0	0.98247480914147578	0.9861516261516261	163461076	28071	0	0.98247480914147578	0.9861516261516261	171822422	28071	0	0.98247480914147578	0.9861516261516261	180475914	28071	0	0.98247382247382242	0.98515262515262514	190317149	28071	0	0.98247184913851582	0.98515262515262514	203077778	28071	0	0.98246740913407582	0.98515262515262514	221206656	28071	0	0	nan	nan	0.98850795012157944	0.011492049878420563	87.016677666685993	173.03335533337199	1	4	1	0	0.024348141463922814	0.15481645344681549	-2947519.2222400415	0	0.0095626813517722658	nan	3.0302617293065133	inf	750587	0.33000449773982188	11	0.95837646949273525	nan	nan	9.9999999999999995e-07	inf
NNI	0.02	NNI (0.020000)	2027025	1.4073510012823652e-17	0	nan	2.1882787462450512e-187	0.99340051435872201	0.058520581369120028	0	1.0000000000000009	0.79999266618778775	27709997	28071	0	0.98592370592370593	0.96517260517260517	4205066	28071	0	0.98555913222579894	0.96517063183729845	4565818	28075	0	0.98504359837693167	0.96317262983929652	4861362	28078	0	0.98415757082423749	0.87952590619257287	5164670	28079	0	0.98291880958547628	0.87894919894919898	5534518	28081	0	0.98058139391472721	0.86051479384812724	6133772	28083	0	0	nan	nan	0.99999961513768754	3.8486231246359637e-07	2598331.8387263203	5196662.6774526406	1	4	1	0	0.17130530379908787	0.64558881297096504	18457401.510107063	0	0.069640185454767772	nan	3.0302617293065128	inf	1159539	0.33000449773982193	11	0.95837646949273536	nan	nan	9.9999999999999995e-07	441230106.2295168
NNI2	0.02	NNI2 (0.020000)	2027025	7.5301246387501607e-17	0	nan	5.4947926504673575e-216	0.78867077286186371	0.0070157470643036389	0	1.0000000000000022	0.85974109807522314	248400731	28071	0	0.99835966502633167	0.9861516261516261	57571174	28071	0	0.99835473168806499	0.9861516261516261	61109604	28071	0	0.998319211652545	0.98515262515262514	64553896	28071	0	0.99828714495381166	0.98515262515262514	68462235	28071	0	0.9982486649153316	0.98515262515262514	73765496	28071	0	0.99814605147938484	0.98515262515262514	82419189	28071	0	0	nan	nan	0.99999902569123955	9.7430876044857229e-07	1026368.6837215745	2052736.3674431492	1	4	1	0	0.059616536318325135	0.33729632989643737	294.32788686868236	0	0.025807829560391321	nan	3.0302617293065133	inf	750587	0.33000449773982188	11	0.95837646949273525	nan	nan	9.9999999999999995e-07	inf
TBR	0.02	TBR (0.020000)	2027025	6.21162706689976e-17	0	nan	1.5205456205809106e-212	0.60188330604103302	0.0032351262933980299	0	0.99987811623592171	0.91343947028352368	572331487	28071	0	0.99982585315918648	0.9861516261516261	165475030	28071	0	0.99982387982387977	0.9861516261516261	173904071	28071	0	0.99982387982387977	0.9861516261516261	182787039	28071	0	0.99982289315622652	0.9861516261516261	193205786	28071	0	0.99982091982091981	0.98515262515262514	207365458	28071	0	0.99981647981647981	0.98515262515262514	227966167	28071	0	0	nan	nan	1	0	inf	inf	1	4	1	0	0.073075366945583253	0.38231915402997252	273.56310009385339	0	0.028714751976274558	nan	3.0302617293065133	inf	750587	0.33000449773982188	11	0.95837646949273525	nan	nan	9.9999999999999995e-07	2.5524232238281786e+17
NNI	0.050000000000000003	NNI (0.050000)	2027025	3.4226046892216076e-17	0	nan	2.2286655896066541e-187	0.99999990485420187	0.066073387310339751	0	1.0000000000000009	0.90283336168881601	27697472	28071	0	0.9880159346826014	0.96517211183877849	4290306	28072	0	0.9874416941083608	0.96517013850347189	4652799	28076	0	0.98662275995609328	0.96317213650546984	4972144	28079	0	0.98518123851457184	0.87895807895807898	5326768	28079	0	0.98228092894759567	0.87815542482209152	5881575	28083	0	0.94693158693158697	0.85831501831501833	7404791	28083	0	0	nan	nan	0.99999950707981955	4.9292018045044017e-07	2028726.0283930358	4057451.0567860715	1	4	1	0	0.22300334446498349	0.77460462289371246	10489574.677871713	0	0.089915247392659325	nan	3.0302617293065128	inf	1159539	0.33000449773982193	11	0.95837646949273536	nan	nan	9.9999999999999995e-07	196570699.00663745
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	7.6482658899777682e-17	0	nan	9.2347857232433601e-216	0.99914800253964897	0.0078827175956177557	0	1.0000000000000029	0.96475806491062188	248085599	28071	0	0.99959398626065288	0.9861516261516261	60113863	28071	0	0.99958609291942624	0.9861516261516261	63859857	28071	0	0.99956191956191953	0.98515262515262514	67951128	28071	0	0.99945190611857282	0.98515262515262514	73726450	28071	0	0.99404003404003405	0.98515262515262514	86010112	28071	0	0.97768848435515099	0.98511759845093183	117651437	28071	0	0	nan	nan	0.99999999980897936	1.910206437472084e-10	5235036278.7143221	10470072556.428644	1	4	2	0	0.097512888315650206	0.5016945381498511	203.74502870118135	0	0.042446804757921223	nan	3.0302617293065133	inf	750587	0.33000449773982188	11	0.95837646949273525	nan	nan	9.9999999999999995e-07	inf
TBR	0.050000000000000003	TBR (0.050000)	2027025	4.5720551309213464e-17	0	nan	3.0277054091182488e-212	0.99848948051638042	0.0034982795973965489	0	0.99999999970698261	0.98483885995294318	570649925	28071	0	0.99999111999112	0.9861516261516261	176480896	28071	0	0.99999013332346665	0.9861516261516261	186035507	28071	0	0.99999013332346665	0.9861516261516261	198268519	28071	0	0.99995658662325326	0.9861516261516261	216157128	28071	0	0.99574696908030247	0.98515262515262514	251987329	28071	0	0.82595971929305267	0.41005809005809007	377786263	28071	0	0	nan	nan	0.99999999999998901	1.099120794378905e-14	90981810653949.422	181963621307897.81	1	4	2	0	0.11187543986289743	0.53489961536426989	170.18458093522648	0	0.044119805180485083	nan	3.0302617293065133	inf	750587	0.33000449773982188	11	0.95837646949273525	nan	nan	9.9999999999999995e-07	inf
NNI	0.10000000000000001	NNI (0.100000)	2027025	6.2133141455656235e-17	0	nan	2.2286754261411571e-187	0.99999999999999911	0.067861747335858827	0	1.0000000000000011	0.92640892605279446	27671761	28071	0	0.98887976221309559	0.96517161850495181	4612787	28073	0	0.97715223048556377	0.96516964516964521	5337266	28077	0	0.95236713903380565	0.96301278967945636	6235183	28079	0	0.93593468260134927	0.79887963887963886	7451645	28081	0	0.92150072150072149	0.74544517211183881	8734551	28085	0	0.89587054920388254	4.9333382666715999e-07	11028820	28086	0	0	nan	nan	nan	nan	nan	nan	1	1	0	0	0.29070608927579705	0.92000396290173669	110745876.25589076	0	0.11745170592862693	nan	3.0302617293065128	inf	1159539	0.33000449773982193	11	0.95837646949273536	nan	nan	9.9999999999999995e-07	57582669403.680046
