section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	280
local	posteriorMassOfLocalPeaks	0.3952602916
local	meanUphillFraction	0.4739380197
local	posteriorWeightedMeanUphillFraction	0.0586346625
local	meanBestNeighborLnLDifference	100.7370756671
local	posteriorWeightedMeanBestNeighborLnLDifference	0.5566219664
local	meanNeighborAbsLnLDifference	30.9337035147
local	posteriorWeightedMeanNeighborAbsLnLDifference	27.7766495455
basin	numPeaks	280
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	1864922
basin	largestBasinMass	0.9233559875
basin	basinMassEntropy	0.2704953750
basin	effectiveNumBasins	1.3106135351
basin	mapTreeHash	15221016086609522805
basin	mapPeakHash	15221016086609522805
basin	mapPeakId	0
basin	mapBasinMass	0.9233559875
basin	posteriorMassOutsideMapBasin	0.0766440125
ascent	meanAscentLength	11.4695862163
ascent	posteriorWeightedMeanAscentLength	0.7736463438
ascent	meanAscentLengthCredible95	1.2727272727
ascent	posteriorWeightedMeanAscentLengthCredible95	0.7292489374
ascent	maxAscentLength	24
credible95	credible95NumTrees	11
credible95	credible95Mass	0.9583764695
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	11
credible95	credible95LargestComponentMass	0.9583764695
credible95	credible95MapComponentSize	11
credible95	credible95MapComponentMass	0.9583764695
barrier	basinGraphEdges	716
barrier	meanBasinGraphDegree	5.1142857143
barrier	mapBasinGraphDegree	279
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	2.0106015235
barrier	meanBarrier	236.8681294347
barrier	posteriorWeightedMeanBarrier	1.2002058003
barrier	maxBarrier	795.6007475771

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	15221016086609522805	0.3300044977	1864922	0.9233559875
1	12753113776263123193	0.0652557939	148844	0.0766440125
2	7101475595162272052	0.0000000000	12	0.0000000000
3	5828938690902841381	0.0000000000	120	0.0000000000
4	16252147683104877425	0.0000000000	1457	0.0000000000
5	15543560221096443638	0.0000000000	51	0.0000000000
6	10862080137942277206	0.0000000000	12	0.0000000000
7	15699230950987117142	0.0000000000	18	0.0000000000
8	16646222739238109315	0.0000000000	7	0.0000000000
9	3044221405707721194	0.0000000000	13	0.0000000000
10	12010305432730898257	0.0000000000	21	0.0000000000
11	10410599090111211089	0.0000000000	17	0.0000000000
12	17136526695946439488	0.0000000000	8	0.0000000000
13	14661916232383819031	0.0000000000	29	0.0000000000
14	1746333094194947617	0.0000000000	40	0.0000000000
15	5172449686421620988	0.0000000000	87	0.0000000000
16	3837908184210832560	0.0000000000	39	0.0000000000
17	10071895424287447115	0.0000000000	150	0.0000000000
18	16968536160765131680	0.0000000000	34	0.0000000000
19	14116037184663398353	0.0000000000	21	0.0000000000
20	11729065295256696443	0.0000000000	243	0.0000000000
21	3527693131440776075	0.0000000000	36	0.0000000000
22	15082312819644150228	0.0000000000	45	0.0000000000
23	6630773948500988778	0.0000000000	3295	0.0000000000
24	210871534256336854	0.0000000000	2458	0.0000000000
25	7967647552110568238	0.0000000000	557	0.0000000000
26	1239271681634573515	0.0000000000	615	0.0000000000
27	13658156977738331735	0.0000000000	315	0.0000000000
28	14981057266702632933	0.0000000000	580	0.0000000000
29	305834870244177770	0.0000000000	42	0.0000000000
30	2278029858546778398	0.0000000000	26	0.0000000000
31	17835614444364296807	0.0000000000	23	0.0000000000
32	17313221683668627284	0.0000000000	42	0.0000000000
33	708077508133600748	0.0000000000	19	0.0000000000
