alignment	analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
vert.atpase6.tw0	NNI	0.0	50	50	1.0	0.0	165.62	23.883285761710223	165.62	23.883285761710223
vert.atpase6.tw0	NNI2	0.0	50	50	1.0	0.0	220.7	19.607001040340624	220.7	19.607001040340624
vert.atpase6.tw0	TBR	0.0	50	50	1.0	0.0	231.5	19.296383292297687	231.5	19.296383292297687
vert.atpase6.tw0	mc3_NNI	0.0	50	50	1.0	0.0	68.42	3.2077826278841126	68.42	3.2077826278841126
vert.atpase6.tw0	rTBR	0.0	50	50	1.0	0.0	255.88	23.414728314477973	255.88	23.414728314477973
vert.atpase6.tw0	NNI	0.02	50	50	1.0	0.0	88.74	12.224559088079992	88.74	12.224559088079992
vert.atpase6.tw0	NNI2	0.02	50	50	1.0	0.0	77.42	8.724494722519196	77.42	8.724494722519196
vert.atpase6.tw0	TBR	0.02	50	50	1.0	0.0	79.78	6.668371278670983	79.78	6.668371278670983
vert.atpase6.tw0	mc3_NNI	0.02	50	50	1.0	0.0	37.84	2.380423560320854	37.84	2.380423560320854
vert.atpase6.tw0	rTBR	0.02	50	50	1.0	0.0	81.44	6.537749722081094	81.44	6.537749722081094
vert.atpase6.tw0	NNI	0.05	50	50	1.0	0.0	104.66	28.722082949876597	104.66	28.722082949876597
vert.atpase6.tw0	NNI2	0.05	50	50	1.0	0.0	55.86	11.364104245655371	55.86	11.364104245655371
vert.atpase6.tw0	TBR	0.05	50	50	1.0	0.0	43.64	4.6994363535232955	43.64	4.6994363535232955
vert.atpase6.tw0	mc3_NNI	0.05	50	50	1.0	0.0	28.56	1.5349426632913155	28.56	1.5349426632913155
vert.atpase6.tw0	rTBR	0.05	50	50	1.0	0.0	47.9	4.945684575300708	47.9	4.945684575300708
vert.atpase6.tw0	NNI	0.1	50	50	1.0	0.0	18190.78	5293.972185172453	18190.78	5293.972185172453
vert.atpase6.tw0	NNI2	0.1	50	50	1.0	0.0	3378.12	1558.3128803855502	3378.12	1558.3128803855502
vert.atpase6.tw0	TBR	0.1	50	50	1.0	0.0	19.46	1.845725342735567	19.46	1.845725342735567
vert.atpase6.tw0	mc3_NNI	0.1	50	50	1.0	0.0	429.48	288.9441697926138	429.48	288.9441697926138
vert.atpase6.tw0	rTBR	0.1	50	50	1.0	0.0	34.44	3.319965576413621	34.44	3.319965576413621
vert.atpase6.tw0	NNI	0.2	50	13	0.26	0.06203224967708329	135718.3076923077	61226.49607886013	775286.76	56318.22712973461
vert.atpase6.tw0	NNI2	0.2	50	28	0.56	0.07019971509913697	27910.214285714286	15502.736472161405	455629.72	69469.07252542595
vert.atpase6.tw0	TBR	0.2	50	50	1.0	0.0	16.38	1.751475179990413	16.38	1.751475179990413
vert.atpase6.tw0	mc3_NNI	0.2	50	32	0.64	0.06788225099390856	141184.40625	50584.1950379844	450358.02	67112.54806059525
vert.atpase6.tw0	rTBR	0.2	50	50	1.0	0.0	33.16	2.6544317966874393	33.16	2.6544317966874393
vert.atpase6.tw0	NNI	0.3	50	0	0.0	0.0			1000000.0	0.0
vert.atpase6.tw0	NNI2	0.3	50	21	0.42	0.06979971346646059	9.904761904761905	1.03947047394967	580004.16	70507.65979997398
vert.atpase6.tw0	TBR	0.3	50	50	1.0	0.0	13.46	1.4151397133015755	13.46	1.4151397133015755
vert.atpase6.tw0	mc3_NNI	0.3	50	9	0.18	0.054332310828824504	10529.777777777777	10235.637323122279	821895.36	54334.34687023023
vert.atpase6.tw0	rTBR	0.3	50	50	1.0	0.0	25.42	1.9441361336394243	25.42	1.9441361336394243
vert.atpase6.tw0	NNI	0.4	50	2	0.04	0.027712812921102035	75.5	15.5	960003.02	27992.054932732874
vert.atpase6.tw0	NNI2	0.4	50	13	0.26	0.06203224967708329	7.230769230769231	0.651958058209801	740001.88	62661.58176110612
vert.atpase6.tw0	TBR	0.4	50	50	1.0	0.0	10.46	0.7789108041466151	10.46	0.7789108041466151
vert.atpase6.tw0	mc3_NNI	0.4	50	6	0.12	0.04595650117230423	50.0	22.783034623742875	880006.0	46420.75551254975
vert.atpase6.tw0	rTBR	0.4	50	50	1.0	0.0	30.78	2.988998876833895	30.78	2.988998876833895
vert.atpase6.tw0	NNI	0.5	50	1	0.02	0.01979898987322333	35.0	0.0	980000.7	19999.3
vert.atpase6.tw0	NNI2	0.5	50	18	0.36	0.06788225099390856	6556.333333333333	5404.858617923189	642360.28	68148.62598229195
vert.atpase6.tw0	TBR	0.5	50	50	1.0	0.0	9.7	0.8067318801997428	9.7	0.8067318801997428
vert.atpase6.tw0	mc3_NNI	0.5	50	1	0.02	0.01979898987322333	380.0	0.0	980007.6	19992.4
vert.atpase6.tw0	rTBR	0.5	50	50	1.0	0.0	25.02	1.224741538747949	25.02	1.224741538747949
