alignment	analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
vert.coi.tw5	NNI	0.0	50	50	1.0	0.0	37995.88	11136.923780431232	37995.88	11136.923780431232
vert.coi.tw5	NNI2	0.0	50	50	1.0	0.0	321.06	40.47139992939333	321.06	40.47139992939333
vert.coi.tw5	TBR	0.0	50	50	1.0	0.0	310.38	26.926140701207526	310.38	26.926140701207526
vert.coi.tw5	mc3_NNI	0.0	50	50	1.0	0.0	92.82	6.329373699551278	92.82	6.329373699551278
vert.coi.tw5	rTBR	0.0	50	50	1.0	0.0	245.56	21.706260923183113	245.56	21.706260923183113
vert.coi.tw5	NNI	0.02	50	50	1.0	0.0	44560.64	11483.274694173473	44560.64	11483.274694173473
vert.coi.tw5	NNI2	0.02	50	50	1.0	0.0	182.86	18.88054846142139	182.86	18.88054846142139
vert.coi.tw5	TBR	0.02	50	50	1.0	0.0	161.44	17.5000678715885	161.44	17.5000678715885
vert.coi.tw5	mc3_NNI	0.02	50	50	1.0	0.0	106.98	25.332748668512874	106.98	25.332748668512874
vert.coi.tw5	rTBR	0.02	50	50	1.0	0.0	193.14	17.123084072773377	193.14	17.123084072773377
vert.coi.tw5	NNI	0.05	50	50	1.0	0.0	37299.92	9613.677950301555	37299.92	9613.677950301555
vert.coi.tw5	NNI2	0.05	50	50	1.0	0.0	96.8	10.535188848883188	96.8	10.535188848883188
vert.coi.tw5	TBR	0.05	50	50	1.0	0.0	61.66	5.693147330836631	61.66	5.693147330836631
vert.coi.tw5	mc3_NNI	0.05	50	50	1.0	0.0	645.64	280.82715834709813	645.64	280.82715834709813
vert.coi.tw5	rTBR	0.05	50	50	1.0	0.0	101.74	11.579426160396794	101.74	11.579426160396794
vert.coi.tw5	NNI	0.1	50	50	1.0	0.0	12452.84	2977.421747748771	12452.84	2977.421747748771
vert.coi.tw5	NNI2	0.1	50	50	1.0	0.0	42.46	5.731631530375971	42.46	5.731631530375971
vert.coi.tw5	TBR	0.1	50	50	1.0	0.0	29.82	3.3089476716741157	29.82	3.3089476716741157
vert.coi.tw5	mc3_NNI	0.1	50	50	1.0	0.0	71.04	20.51613521308613	71.04	20.51613521308613
vert.coi.tw5	rTBR	0.1	50	50	1.0	0.0	52.96	6.938267736522818	52.96	6.938267736522818
vert.coi.tw5	NNI	0.2	50	50	1.0	0.0	12523.32	2911.0132991991445	12523.32	2911.0132991991445
vert.coi.tw5	NNI2	0.2	50	50	1.0	0.0	15.56	1.2335976918372222	15.56	1.2335976918372222
vert.coi.tw5	TBR	0.2	50	50	1.0	0.0	14.56	1.6505187805347625	14.56	1.6505187805347625
vert.coi.tw5	mc3_NNI	0.2	50	50	1.0	0.0	106.48	49.96516533484879	106.48	49.96516533484879
vert.coi.tw5	rTBR	0.2	50	50	1.0	0.0	32.12	2.568830433469358	32.12	2.568830433469358
vert.coi.tw5	NNI	0.3	50	50	1.0	0.0	13313.22	3657.3629204203003	13313.22	3657.3629204203003
vert.coi.tw5	NNI2	0.3	50	50	1.0	0.0	10.8	0.9570362413968129	10.8	0.9570362413968129
vert.coi.tw5	TBR	0.3	50	50	1.0	0.0	13.1	2.2011592493084926	13.1	2.2011592493084926
vert.coi.tw5	mc3_NNI	0.3	50	50	1.0	0.0	23.1	3.6308485543313145	23.1	3.6308485543313145
vert.coi.tw5	rTBR	0.3	50	50	1.0	0.0	34.74	3.031643993961436	34.74	3.031643993961436
vert.coi.tw5	NNI	0.4	50	50	1.0	0.0	14451.24	6809.108468632293	14451.24	6809.108468632293
vert.coi.tw5	NNI2	0.4	50	50	1.0	0.0	16.04	4.218323489400083	16.04	4.218323489400083
vert.coi.tw5	TBR	0.4	50	50	1.0	0.0	18.48	8.029041165719374	18.48	8.029041165719374
vert.coi.tw5	mc3_NNI	0.4	50	50	1.0	0.0	186.4	59.02028015341638	186.4	59.02028015341638
vert.coi.tw5	rTBR	0.4	50	50	1.0	0.0	42.24	7.037947288863161	42.24	7.037947288863161
vert.coi.tw5	NNI	0.5	50	50	1.0	0.0	15327.6	6173.233044593177	15327.6	6173.233044593177
vert.coi.tw5	NNI2	0.5	50	50	1.0	0.0	170.32	62.509613562676115	170.32	62.509613562676115
vert.coi.tw5	TBR	0.5	50	50	1.0	0.0	40.72	19.153814348103946	40.72	19.153814348103946
vert.coi.tw5	mc3_NNI	0.5	50	50	1.0	0.0	962.14	212.29602745569542	962.14	212.29602745569542
vert.coi.tw5	rTBR	0.5	50	50	1.0	0.0	38.44	4.5152042465158875	38.44	4.5152042465158875
