alignment	analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
vert.nd2.tw0	NNI	0.0	50	50	1.0	0.0	88.26	4.18879067833889	88.26	4.18879067833889
vert.nd2.tw0	NNI2	0.0	50	50	1.0	0.0	225.32	23.486834175593714	225.32	23.486834175593714
vert.nd2.tw0	TBR	0.0	50	50	1.0	0.0	179.0	13.832319444854134	179.0	13.832319444854134
vert.nd2.tw0	mc3_NNI	0.0	50	50	1.0	0.0	60.48	2.3430731607729824	60.48	2.3430731607729824
vert.nd2.tw0	rTBR	0.0	50	50	1.0	0.0	212.48	16.472989394516002	212.48	16.472989394516002
vert.nd2.tw0	NNI	0.02	50	50	1.0	0.0	36.88	1.9009428380331135	36.88	1.9009428380331135
vert.nd2.tw0	NNI2	0.02	50	50	1.0	0.0	48.12	4.962195037665966	48.12	4.962195037665966
vert.nd2.tw0	TBR	0.02	50	50	1.0	0.0	43.44	3.977196222958878	43.44	3.977196222958878
vert.nd2.tw0	mc3_NNI	0.02	50	50	1.0	0.0	23.58	0.9723063261322199	23.58	0.9723063261322199
vert.nd2.tw0	rTBR	0.02	50	50	1.0	0.0	50.18	3.683907641378117	50.18	3.683907641378117
vert.nd2.tw0	NNI	0.05	50	50	1.0	0.0	22.36	1.4754480467896898	22.36	1.4754480467896898
vert.nd2.tw0	NNI2	0.05	50	50	1.0	0.0	20.84	2.3998911539943655	20.84	2.3998911539943655
vert.nd2.tw0	TBR	0.05	50	50	1.0	0.0	24.04	2.389425684561212	24.04	2.389425684561212
vert.nd2.tw0	mc3_NNI	0.05	50	50	1.0	0.0	16.08	0.6146776158512456	16.08	0.6146776158512456
vert.nd2.tw0	rTBR	0.05	50	50	1.0	0.0	34.52	3.3964254919619505	34.52	3.3964254919619505
vert.nd2.tw0	NNI	0.1	50	50	1.0	0.0	16.54	0.9856977224281286	16.54	0.9856977224281286
vert.nd2.tw0	NNI2	0.1	50	50	1.0	0.0	12.52	1.3115623959108262	12.52	1.3115623959108262
vert.nd2.tw0	TBR	0.1	50	50	1.0	0.0	15.1	1.4468121184599088	15.1	1.4468121184599088
vert.nd2.tw0	mc3_NNI	0.1	50	50	1.0	0.0	13.18	0.5581968053199406	13.18	0.5581968053199406
vert.nd2.tw0	rTBR	0.1	50	50	1.0	0.0	28.16	2.571485713650808	28.16	2.571485713650808
vert.nd2.tw0	NNI	0.2	50	50	1.0	0.0	24404.32	19267.9863000769	24404.32	19267.9863000769
vert.nd2.tw0	NNI2	0.2	50	50	1.0	0.0	11.02	3.151868898133361	11.02	3.151868898133361
vert.nd2.tw0	TBR	0.2	50	50	1.0	0.0	10.1	0.795523188132906	10.1	0.795523188132906
vert.nd2.tw0	mc3_NNI	0.2	50	50	1.0	0.0	14.7	1.6535058610882096	14.7	1.6535058610882096
vert.nd2.tw0	rTBR	0.2	50	50	1.0	0.0	24.02	2.1124490091660273	24.02	2.1124490091660273
vert.nd2.tw0	NNI	0.3	50	44	0.88	0.04595650117230423	36398.77272727273	21522.352158176735	152030.92	48567.31371025243
vert.nd2.tw0	NNI2	0.3	50	48	0.96	0.02771281292110205	165.39583333333334	148.03302158084196	40158.78	27989.898833953124
vert.nd2.tw0	TBR	0.3	50	50	1.0	0.0	8.36	0.752009552696599	8.36	0.752009552696599
vert.nd2.tw0	mc3_NNI	0.3	50	49	0.98	0.019798989873223337	12148.979591836734	5514.793873736737	31906.0	20482.585013117652
vert.nd2.tw0	rTBR	0.3	50	50	1.0	0.0	25.92	1.924247003534693	25.92	1.924247003534693
vert.nd2.tw0	NNI	0.4	50	10	0.2	0.05656854249492381	188478.2	84471.94568070778	837695.64	49117.671784048536
vert.nd2.tw0	NNI2	0.4	50	33	0.66	0.0669925368977769	2779.212121212121	999.1966477269337	341834.28	67487.79314418178
vert.nd2.tw0	TBR	0.4	50	50	1.0	0.0	8.08	0.707879846832088	8.08	0.707879846832088
vert.nd2.tw0	mc3_NNI	0.4	50	32	0.64	0.06788225099390856	145997.96875	44549.523161446596	453438.7	65060.54643536877
vert.nd2.tw0	rTBR	0.4	50	50	1.0	0.0	24.44	1.569390886650627	24.44	1.569390886650627
vert.nd2.tw0	NNI	0.5	50	2	0.04	0.027712812921102035	251836.5	241892.5	970073.46	22055.04541062342
vert.nd2.tw0	NNI2	0.5	50	24	0.48	0.07065408693062278	830.7916666666666	359.78770904061025	520398.78	71312.3154167282
vert.nd2.tw0	TBR	0.5	50	50	1.0	0.0	104.98	80.14655193927624	104.98	80.14655193927624
vert.nd2.tw0	mc3_NNI	0.5	50	12	0.24	0.060398675482166	66727.5	26075.902099941963	776014.6	57261.48933067797
vert.nd2.tw0	rTBR	0.5	50	50	1.0	0.0	24.02	1.6296963533375268	24.02	1.6296963533375268
