alignment	analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
vert.nd4l.tw0	NNI	0.0	50	50	1.0	0.0	120.56	9.503089078863585	120.56	9.503089078863585
vert.nd4l.tw0	NNI2	0.0	50	50	1.0	0.0	202.98	19.002201591029458	202.98	19.002201591029458
vert.nd4l.tw0	TBR	0.0	50	50	1.0	0.0	269.2	21.23649150468531	269.2	21.23649150468531
vert.nd4l.tw0	mc3_NNI	0.0	50	50	1.0	0.0	78.7	3.4878506333867465	78.7	3.4878506333867465
vert.nd4l.tw0	rTBR	0.0	50	50	1.0	0.0	245.28	21.41845551702302	245.28	21.41845551702302
vert.nd4l.tw0	NNI	0.02	50	50	1.0	0.0	69.42	4.220174094484149	69.42	4.220174094484149
vert.nd4l.tw0	NNI2	0.02	50	50	1.0	0.0	124.94	9.788640229930836	124.94	9.788640229930836
vert.nd4l.tw0	TBR	0.02	50	50	1.0	0.0	132.16	9.88449042795875	132.16	9.88449042795875
vert.nd4l.tw0	mc3_NNI	0.02	50	50	1.0	0.0	52.02	2.7797357090638846	52.02	2.7797357090638846
vert.nd4l.tw0	rTBR	0.02	50	50	1.0	0.0	132.6	11.67005587311529	132.6	11.67005587311529
vert.nd4l.tw0	NNI	0.05	50	50	1.0	0.0	61.92	4.113575335497859	61.92	4.113575335497859
vert.nd4l.tw0	NNI2	0.05	50	50	1.0	0.0	74.02	7.582767251055084	74.02	7.582767251055084
vert.nd4l.tw0	TBR	0.05	50	50	1.0	0.0	56.26	5.671828701250289	56.26	5.671828701250289
vert.nd4l.tw0	mc3_NNI	0.05	50	50	1.0	0.0	32.64	1.8906342743068194	32.64	1.8906342743068194
vert.nd4l.tw0	rTBR	0.05	50	50	1.0	0.0	89.78	10.125106802157795	89.78	10.125106802157795
vert.nd4l.tw0	NNI	0.1	50	50	1.0	0.0	43.86	2.7937262074958205	43.86	2.7937262074958205
vert.nd4l.tw0	NNI2	0.1	50	50	1.0	0.0	41.32	4.08296011066801	41.32	4.08296011066801
vert.nd4l.tw0	TBR	0.1	50	50	1.0	0.0	44.36	3.433301499092888	44.36	3.433301499092888
vert.nd4l.tw0	mc3_NNI	0.1	50	50	1.0	0.0	27.66	1.5017296150554846	27.66	1.5017296150554846
vert.nd4l.tw0	rTBR	0.1	50	50	1.0	0.0	51.64	4.610083004255178	51.64	4.610083004255178
vert.nd4l.tw0	NNI	0.2	50	50	1.0	0.0	513.62	186.02513521191764	513.62	186.02513521191764
vert.nd4l.tw0	NNI2	0.2	50	50	1.0	0.0	37.06	7.338487304504065	37.06	7.338487304504065
vert.nd4l.tw0	TBR	0.2	50	50	1.0	0.0	22.76	1.9203656114481567	22.76	1.9203656114481567
vert.nd4l.tw0	mc3_NNI	0.2	50	50	1.0	0.0	63.68	22.952523137279414	63.68	22.952523137279414
vert.nd4l.tw0	rTBR	0.2	50	50	1.0	0.0	32.12	3.6021127587196116	32.12	3.6021127587196116
vert.nd4l.tw0	NNI	0.3	50	48	0.96	0.02771281292110205	85387.0	27265.97223591813	121971.52	36607.67131738686
vert.nd4l.tw0	NNI2	0.3	50	50	1.0	0.0	6312.64	2566.6083241507654	6312.64	2566.6083241507654
vert.nd4l.tw0	TBR	0.3	50	50	1.0	0.0	14.34	1.3545418684815127	14.34	1.3545418684815127
vert.nd4l.tw0	mc3_NNI	0.3	50	50	1.0	0.0	13818.98	8346.35729564236	13818.98	8346.35729564236
vert.nd4l.tw0	rTBR	0.3	50	50	1.0	0.0	35.62	2.4016813838200424	35.62	2.4016813838200424
vert.nd4l.tw0	NNI	0.4	50	25	0.5	0.07071067811865475	149976.44	48390.39495144603	574988.22	65267.82765626875
vert.nd4l.tw0	NNI2	0.4	50	28	0.56	0.07019971509913697	15235.857142857143	10800.585784098352	448532.08	70089.26595165851
vert.nd4l.tw0	TBR	0.4	50	50	1.0	0.0	13.16	1.3715357101007735	13.16	1.3715357101007735
vert.nd4l.tw0	mc3_NNI	0.4	50	44	0.88	0.04595650117230423	143444.86363636365	30510.26482471082	246231.48	47958.67127193137
vert.nd4l.tw0	rTBR	0.4	50	50	1.0	0.0	36.2	3.234381624019639	36.2	3.234381624019639
vert.nd4l.tw0	NNI	0.5	50	9	0.18	0.054332310828824504	90723.77777777778	42997.46099828899	836330.28	50446.06192599031
vert.nd4l.tw0	NNI2	0.5	50	18	0.36	0.06788225099390856	30575.222222222223	13187.08760469222	651007.08	66638.00920927469
vert.nd4l.tw0	TBR	0.5	50	50	1.0	0.0	10.34	1.065070659723608	10.34	1.065070659723608
vert.nd4l.tw0	mc3_NNI	0.5	50	12	0.24	0.060398675482166	51420.75	20137.476772412916	772340.98	58063.04815699237
vert.nd4l.tw0	rTBR	0.5	50	50	1.0	0.0	30.4	2.4382998426052893	30.4	2.4382998426052893
