analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
NNI	0.0	50	50	1.0	0.0	165.62	23.883285761710223	165.62	23.883285761710223
NNI	0.0	50	50	1.0	0.0	106.36	6.58215025966563	106.36	6.58215025966563
NNI	0.0	50	50	1.0	0.0	295.08	58.28479579108229	295.08	58.28479579108229
NNI	0.0	50	50	1.0	0.0	425.68	89.40390093301755	425.68	89.40390093301755
NNI	0.0	50	50	1.0	0.0	218.12	47.73514206279376	218.12	47.73514206279376
NNI2	0.0	50	50	1.0	0.0	220.7	19.607001040340624	220.7	19.607001040340624
NNI2	0.0	50	50	1.0	0.0	200.32	19.55121876257439	200.32	19.55121876257439
NNI2	0.0	50	50	1.0	0.0	489.84	81.76169134398194	489.84	81.76169134398194
NNI2	0.0	50	50	1.0	0.0	542.16	153.83918812864826	542.16	153.83918812864826
NNI2	0.0	50	50	1.0	0.0	187.94	13.451998106646629	187.94	13.451998106646629
TBR	0.0	50	50	1.0	0.0	231.5	19.296383292297687	231.5	19.296383292297687
TBR	0.0	50	50	1.0	0.0	205.78	16.55440726815672	205.78	16.55440726815672
TBR	0.0	50	50	1.0	0.0	169.12	13.175940968604985	169.12	13.175940968604985
TBR	0.0	50	50	1.0	0.0	426.76	45.7532562463357	426.76	45.7532562463357
TBR	0.0	50	50	1.0	0.0	197.06	18.903026644601933	197.06	18.903026644601933
rTBR	0.0	50	50	1.0	0.0	255.88	23.414728314477973	255.88	23.414728314477973
rTBR	0.0	50	50	1.0	0.0	231.44	19.692620807950227	231.44	19.692620807950227
rTBR	0.0	50	50	1.0	0.0	197.5	16.350454028520904	197.5	16.350454028520904
rTBR	0.0	50	50	1.0	0.0	405.26	48.135572233907375	405.26	48.135572233907375
rTBR	0.0	50	50	1.0	0.0	186.02	17.517093459398627	186.02	17.517093459398627
mc3_NNI	0.0	50	50	1.0	0.0	68.42	3.2077826278841126	68.42	3.2077826278841126
mc3_NNI	0.0	50	50	1.0	0.0	69.82	3.217007101931476	69.82	3.217007101931476
mc3_NNI	0.0	50	50	1.0	0.0	76.9	4.188248866940523	76.9	4.188248866940523
mc3_NNI	0.0	50	50	1.0	0.0	116.66	11.366388330224751	116.66	11.366388330224751
mc3_NNI	0.0	50	50	1.0	0.0	66.68	3.3473035142225345	66.68	3.3473035142225345
NNI	0.02	50	50	1.0	0.0	88.74	12.224559088079992	88.74	12.224559088079992
NNI	0.02	50	50	1.0	0.0	59.58	3.460339726155246	59.58	3.460339726155246
NNI	0.02	50	50	1.0	0.0	379.08	97.93958504285868	379.08	97.93958504285868
NNI	0.02	50	50	1.0	0.0	441.1	80.51944751779801	441.1	80.51944751779801
NNI	0.02	50	50	1.0	0.0	162.16	44.08813399525629	162.16	44.08813399525629
NNI2	0.02	50	50	1.0	0.0	77.42	8.724494722519196	77.42	8.724494722519196
NNI2	0.02	50	50	1.0	0.0	84.0	7.221396778225902	84.0	7.221396778225902
NNI2	0.02	50	50	1.0	0.0	255.36	43.57586637821725	255.36	43.57586637821725
NNI2	0.02	50	50	1.0	0.0	417.64	75.87432552233587	417.64	75.87432552233587
NNI2	0.02	50	50	1.0	0.0	78.12	6.8611083771694865	78.12	6.8611083771694865
TBR	0.02	50	50	1.0	0.0	79.78	6.668371278670983	79.78	6.668371278670983
TBR	0.02	50	50	1.0	0.0	88.92	7.171419464991372	88.92	7.171419464991372
TBR	0.02	50	50	1.0	0.0	86.86	7.720844301933168	86.86	7.720844301933168
TBR	0.02	50	50	1.0	0.0	211.58	26.87611928376383	211.58	26.87611928376383
TBR	0.02	50	50	1.0	0.0	61.12	4.774903781485966	61.12	4.774903781485966
rTBR	0.02	50	50	1.0	0.0	81.44	6.537749722081094	81.44	6.537749722081094
rTBR	0.02	50	50	1.0	0.0	72.22	5.4541719661864985	72.22	5.4541719661864985
rTBR	0.02	50	50	1.0	0.0	92.96	7.2501631227250645	92.96	7.2501631227250645
rTBR	0.02	50	50	1.0	0.0	239.08	27.271871432458966	239.08	27.271871432458966
rTBR	0.02	50	50	1.0	0.0	65.18	5.254478362039648	65.18	5.254478362039648
mc3_NNI	0.02	50	50	1.0	0.0	37.84	2.380423560320854	37.84	2.380423560320854
mc3_NNI	0.02	50	50	1.0	0.0	38.18	2.419257771149099	38.18	2.419257771149099
mc3_NNI	0.02	50	50	1.0	0.0	45.5	2.88136163956543	45.5	2.88136163956543
mc3_NNI	0.02	50	50	1.0	0.0	91.04	6.615255097122105	91.04	6.615255097122105
mc3_NNI	0.02	50	50	1.0	0.0	32.82	1.542510543079108	32.82	1.542510543079108
NNI	0.05	50	50	1.0	0.0	104.66	28.722082949876597	104.66	28.722082949876597
NNI	0.05	50	50	1.0	0.0	33.3	1.935753821420187	33.3	1.935753821420187
NNI	0.05	50	50	1.0	0.0	456.46	116.62422547372796	456.46	116.62422547372796
NNI	0.05	50	50	1.0	0.0	327.84	66.59108452920337	327.84	66.59108452920337
NNI	0.05	50	50	1.0	0.0	91.76	43.10256926856009	91.76	43.10256926856009
NNI2	0.05	50	50	1.0	0.0	55.86	11.364104245655371	55.86	11.364104245655371
NNI2	0.05	50	50	1.0	0.0	38.74	4.507482214980703	38.74	4.507482214980703
NNI2	0.05	50	50	1.0	0.0	151.02	41.85328592664073	151.02	41.85328592664073
NNI2	0.05	50	50	1.0	0.0	364.56	55.0099520495137	364.56	55.0099520495137
NNI2	0.05	50	50	1.0	0.0	29.6	2.756069369110099	29.6	2.756069369110099
TBR	0.05	50	50	1.0	0.0	43.64	4.6994363535232955	43.64	4.6994363535232955
TBR	0.05	50	50	1.0	0.0	34.78	3.016998102588135	34.78	3.016998102588135
TBR	0.05	50	50	1.0	0.0	57.7	5.755937484591942	57.7	5.755937484591942
TBR	0.05	50	50	1.0	0.0	175.8	19.333950259920016	175.8	19.333950259920016
TBR	0.05	50	50	1.0	0.0	20.78	1.3131330349004775	20.78	1.3131330349004775
rTBR	0.05	50	50	1.0	0.0	47.9	4.945684575300708	47.9	4.945684575300708
rTBR	0.05	50	50	1.0	0.0	44.4	3.665503835402023	44.4	3.665503835402023
rTBR	0.05	50	50	1.0	0.0	61.72	5.540503182040787	61.72	5.540503182040787
rTBR	0.05	50	50	1.0	0.0	185.36	24.53393751104617	185.36	24.53393751104617
rTBR	0.05	50	50	1.0	0.0	33.38	2.480929713816568	33.38	2.480929713816568
