twist	method	power	cycle	numAlignments	meanDiscoveredMass	seDiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	meanMeanTrueP	seMeanTrueP	meanUndiscoveredMass	seUndiscoveredMass
tw0	MC3_NNI	0.0	1	11	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
tw0	MC3_NNI	0.0	2	11	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
tw0	MC3_NNI	0.0	3	11	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
tw0	MC3_NNI	0.0	4	11	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
tw0	MC3_NNI	0.0	5	11	5e-06	4.9999999999999996e-06	0.0	0.0	1e-06	1e-06	0.999995	4.9999999999999996e-06
tw0	MC3_NNI	0.0	6	11	5e-06	4.9999999999999996e-06	0.0	0.0	1.6363636363636365e-06	1.6363636363636363e-06	0.999995	4.9999999999999996e-06
tw0	MC3_NNI	0.0	7	11	5e-06	4.9999999999999996e-06	0.0	0.0	2.181818181818182e-06	2.1818181818181815e-06	0.999995	4.9999999999999996e-06
tw0	MC3_NNI	0.0	8	11	5e-06	4.9999999999999996e-06	0.0	0.0	2.5454545454545456e-06	2.5454545454545456e-06	0.999995	4.9999999999999996e-06
tw0	MC3_NNI	0.0	9	11	7.663636363636364e-05	5.627453367639636e-05	7.163636363636365e-05	5.668738399443241e-05	1.0818181818181818e-05	6.602779279581896e-06	0.9999233636363636	5.627453367639636e-05
tw0	MC3_NNI	0.0	10	11	7.663636363636364e-05	5.627453367639636e-05	7.163636363636365e-05	5.668738399443241e-05	1.7272727272727274e-05	1.131860167165772e-05	0.9999233636363636	5.627453367639636e-05
tw0	MC3_NNI	0.0	20	11	0.004922181818181818	0.002702985991347622	0.004882363636363637	0.002707859544741859	0.0006972727272727273	0.00038142131539114425	0.9950778181818182	0.002702985991347622
tw0	MC3_NNI	0.0	30	11	0.026772636363636363	0.005118357023805637	0.02651227272727272	0.005152943780175841	0.004526181818181818	0.0013044759506350139	0.9732273636363636	0.005118357023805637
tw0	MC3_NNI	0.0	40	11	0.09331518181818182	0.010584681945509902	0.09255754545454545	0.010586307360637337	0.015186363636363637	0.0028105738148276843	0.9066848181818181	0.010584681945509902
tw0	MC3_NNI	0.0	50	11	0.21740790909090915	0.026870402540698446	0.21573099999999998	0.02705848299214802	0.03650900000000001	0.005526291093902443	0.7825920909090909	0.026870402540698446
tw0	MC3_NNI	0.0	60	11	0.3837442727272728	0.03505437710733812	0.3811684545454545	0.0352731442803841	0.06761890909090908	0.00974965559527342	0.6162557272727271	0.03505437710733812
tw0	MC3_NNI	0.0	70	11	0.5599960909090909	0.0488201323903189	0.5561113636363636	0.049171410510076015	0.10610909090909092	0.015283732870101732	0.44000390909090914	0.0488201323903189
tw0	MC3_NNI	0.0	80	11	0.702183	0.04925031158147862	0.6977256363636363	0.049507285004288686	0.14723799999999998	0.022057013043474405	0.297817	0.04925031158147862
tw0	MC3_NNI	0.0	90	11	0.8117304545454544	0.045573106662385406	0.8066056363636364	0.045924098679188764	0.18543227272727272	0.02847117018832493	0.18826954545454555	0.045573106662385406
tw0	MC3_NNI	0.0	100	11	0.8643794545454546	0.039957398766314205	0.8584686363636365	0.040216261167993116	0.22034754545454538	0.03446675255066003	0.13562054545454538	0.039957398766314205
tw0	MC3_NNI	0.0	200	11	0.9655259090909091	0.013436725000368849	0.9557382727272727	0.014162078525601012	0.3965701818181817	0.06473049344570123	0.034474090909090926	0.013436725000368849
tw0	MC3_NNI	0.0	300	11	0.9781076363636363	0.008230450950058709	0.9654965454545454	0.009540942682950092	0.45919118181818186	0.0759232644854261	0.02189236363636371	0.008230450950058709
tw0	MC3_NNI	0.0	400	11	0.9844697272727273	0.005811518161987229	0.9698518181818183	0.00757859485275132	0.49020945454545456	0.08162196891962177	0.015530272727272698	0.005811518161987229
tw0	MC3_NNI	0.0	500	11	0.9879336363636363	0.004270827985026552	0.9717803636363637	0.006618277074988808	0.5091388181818183	0.08517747763899886	0.012066363636363708	0.004270827985026552
tw0	MC3_NNI	0.0	600	11	0.990162818181818	0.00344479498484356	0.9726890000000001	0.006216668783491403	0.5218938181818182	0.08761248877973112	0.00983718181818205	0.00344479498484356
tw0	MC3_NNI	0.0	700	11	0.9915158181818182	0.0029391017886366134	0.973113090909091	0.006030157682929347	0.5309806363636363	0.08935031967529654	0.00848418181818178	0.0029391017886366134
tw0	MC3_NNI	0.0	800	11	0.9926200909090909	0.002579401810337728	0.973445090909091	0.005907754073256832	0.5381206363636363	0.09064641007375583	0.007379909090909131	0.002579401810337728
tw0	MC3_NNI	0.0	900	11	0.9934367272727272	0.0022853156897139825	0.973569272727273	0.005861218998391678	0.5436330909090908	0.09164102924459254	0.006563272727272751	0.0022853156897139825
tw0	MC3_NNI	0.0	1000	11	0.9943172727272728	0.002017836393453103	0.9738027272727273	0.005776380763845614	0.5481687272727273	0.0924108330188513	0.005682727272727228	0.002017836393453103
tw0	MC3_NNI	0.0	2000	11	0.9971554545454545	0.0011933950451901063	0.9739119090909092	0.005739874174190341	0.5676600909090909	0.0962998368189361	0.0028445454545454885	0.0011933950451901063
tw0	MC3_NNI	0.0	3000	11	0.9981462727272729	0.0008446407314883943	0.9739119090909092	0.005739874174190341	0.574454	0.09758207926682218	0.0018537272727271459	0.0008446407314883943
tw0	MC3_NNI	0.0	4000	11	0.9985856363636363	0.0006577288923772215	0.9739119090909092	0.005739874174190341	0.5775997272727272	0.09823846667047124	0.0014143636363637135	0.0006577288923772215
tw0	MC3_NNI	0.0	5000	11	0.9988665454545455	0.0005147206190764858	0.9739119090909092	0.005739874174190341	0.579484909090909	0.0986462904934461	0.0011334545454545486	0.0005147206190764858
tw0	MC3_NNI	0.0	6000	11	0.9990517272727274	0.0004338733390981339	0.9739119090909092	0.005739874174190341	0.5807895454545455	0.09886914015269821	0.0009482727272726033	0.0004338733390981339
tw0	MC3_NNI	0.0	7000	11	0.9991712727272727	0.0003677894924325609	0.9739119090909092	0.005739874174190341	0.5818048181818182	0.09905434019666527	0.0008287272727273143	0.0003677894924325609
tw0	MC3_NNI	0.0	8000	11	0.9992595454545454	0.00032798978264674607	0.9739119090909092	0.005739874174190341	0.5824686363636363	0.09921056840847266	0.0007404545454545719	0.00032798978264674607
tw0	MC3_NNI	0.0	9000	11	0.9993243636363638	0.0002964806071452662	0.9739119090909092	0.005739874174190341	0.5830522727272728	0.099325508108724	0.0006756363636362117	0.0002964806071452662
tw0	MC3_NNI	0.0	10000	11	0.9993723636363636	0.00027176712199057537	0.9739119090909092	0.005739874174190341	0.5835183636363637	0.09941301934841631	0.0006276363636363858	0.00027176712199057537
tw0	MC3_NNI	0.0	20000	11	0.9996585454545456	0.00012584415785453203	0.9739119090909092	0.005739874174190341	0.5855180909090909	0.09980701669835866	0.00034145454545442266	0.00012584415785453203
tw0	MC3_NNI	0.0	30000	11	0.9997644545454546	7.80712219865872e-05	0.9739119090909092	0.005739874174190341	0.5861151818181818	0.09994720238231403	0.00023554545454540499	7.80712219865872e-05
tw0	MC3_NNI	0.0	40000	11	0.999815	6.019256976193488e-05	0.9739119090909092	0.005739874174190341	0.5864324545454546	0.10001208342235123	0.00018499999999999073	6.019256976193488e-05
tw0	MC3_NNI	0.0	50000	11	0.9998421818181819	5.126399022915968e-05	0.9739119090909092	0.005739874174190341	0.5865863636363636	0.10007399210096067	0.00015781818181814788	5.126399022915968e-05
tw0	MC3_NNI	0.0	60000	11	0.9998665454545453	4.207187867455493e-05	0.9739119090909092	0.005739874174190341	0.5867255454545455	0.10010249987927045	0.00013345454545465874	4.207187867455493e-05
tw0	MC3_NNI	0.0	70000	11	0.9998820909090909	3.7788515462058004e-05	0.9739119090909092	0.005739874174190341	0.5868571818181819	0.10011017800029745	0.0001179090909091407	3.7788515462058004e-05
tw0	MC3_NNI	0.0	80000	11	0.9998934545454545	3.438138070006773e-05	0.9739119090909092	0.005739874174190341	0.5869390909090909	0.10012773530268539	0.00010654545454547026	3.438138070006773e-05
tw0	MC3_NNI	0.0	90000	11	0.9999020000000002	3.209786172430782e-05	0.9739119090909092	0.005739874174190341	0.5870010909090909	0.10014024947809716	9.799999999982045e-05	3.209786172430782e-05
tw0	MC3_NNI	0.0	100000	11	0.9999099090909092	2.962414695218462e-05	0.9739119090909092	0.005739874174190341	0.5870305454545455	0.10014961059265862	9.009090909084527e-05	2.962414695218462e-05
tw0	MC3_NNI	0.0	200000	11	0.9999482727272727	1.769904512529134e-05	0.9739119090909092	0.005739874174190341	0.5872700909090908	0.1001861356079005	5.172727272728661e-05	1.769904512529134e-05
tw0	MC3_NNI	0.0	300000	11	0.9999631818181818	1.2821727427100978e-05	0.9739119090909092	0.005739874174190341	0.5873264545454546	0.10019356911710847	3.681818181822116e-05	1.2821727427100978e-05
tw0	MC3_NNI	0.0	400000	11	0.9999710909090909	9.903584792159377e-06	0.9739119090909092	0.005739874174190341	0.5873749090909091	0.10019007532616597	2.890909090913496e-05	9.903584792159377e-06
