cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50	alignment	twist	method	power	dataset	source_file	baseTau95	speedupTau95
1000000	50	0.999994	0.0	6e-06	0.0	0.953254	0.0	1.0	234.64	13.442053	0.359119	0.000106	50	71	76	60	65	85	65	55	109	50	36	71	90	44	36	72	75	58	91	77	40	35	44	85	57	77	57	39	73	131	58	77	61	82	71	58	87	39	35	50	121	70	85	34	63	87	98	77	93	101	vert.atpase6	tw0	MC3_NNI	0.0	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.000000.tsv	765.0	3.260313672008183
1000000	50	0.999994	0.0	6e-06	0.0	0.953254	0.0	1.0	167.8	13.135153	0.359345	8.2e-05	56	13	33	11	74	36	36	33	21	55	55	55	50	18	13	47	29	43	51	29	56	18	23	36	51	60	32	67	34	26	52	8	5	61	38	41	30	40	54	41	35	26	38	66	25	64	18	30	30	29	vert.atpase6	tw0	MC3_NNI	0.02	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.020000.tsv	765.0	4.558998808104887
1000000	50	0.999994	0.0	6e-06	0.0	0.953254	0.0	1.0	127.6	7.542532	0.359186	8.5e-05	46	39	29	33	33	22	25	43	20	13	13	33	25	26	36	30	26	48	34	34	33	32	24	33	12	32	39	31	51	25	16	63	15	25	24	16	45	18	17	13	25	17	23	23	31	33	16	36	22	30	vert.atpase6	tw0	MC3_NNI	0.05	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.050000.tsv	765.0	5.995297805642633
1000000	50	0.999994	0.0	6e-06	0.0	0.953254	0.0	1.0	615.38	291.7421	0.359114	0.000127	185	15	30	39	79	29	21	18	12	23	21	24	29	16	34	47	23	13	37	11	16	18	13611	5206	47	55	24	20	28	27	25	17	20	21	24	8	39	65	22	20	69	28	17	22	49	1151	8	31	31	49	vert.atpase6	tw0	MC3_NNI	0.1	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.100000.tsv	765.0	1.2431343235074264
1000000	50	0.639987	0.06857	0.360013	0.06857	0.610083	0.065366	0.64	141367.4375	50587.895341	0.19732	0.024092	11	-1	-1	-1	123	106	19	-1	30	-1	822979	-1	248793	-1	-1	768181	33	-1	24	11	-1	20	14	-1	16	10	17	-1	16	8177	34	262	214238	-1	994577	303212	737900	131	43	-1	25	92	-1	418654	29	-1	97	27	-1	-1	vert.atpase6	tw0	MC3_NNI	0.2	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.200000.tsv	765.0	0.00541143005439283
1000000	50	0.179999	0.054884	0.820001	0.054884	0.171586	0.052318	0.18	10635.444444	10226.688543	0.063949	0.019509	2173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	106	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	29	-1	-1	92393	-1	-1	-1	-1	-1	20	-1	-1	9	-1	-1	vert.atpase6	tw0	MC3_NNI	0.3	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.300000.tsv	765.0	0.07192929303782652
1000000	50	0.119999	0.046423	0.880001	0.046423	0.114391	0.044253	0.12	216.5	52.973421	0.043129	0.016685	-1	-1	-1	-1	-1	7	-1	21	-1	-1	-1	-1	-1	-1	154	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	19	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	vert.atpase6	tw0	MC3_NNI	0.4	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.400000.tsv	765.0	3.533487297921478
1000000	50	0.02	0.02	0.98	0.02	0.019065	0.019065	0.02	457.0	0.0	0.007168	0.007168	-1	-1	-1	-1	380	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	vert.atpase6	tw0	MC3_NNI	0.5	vert.atpase6.tw0	vert.atpase6.tw0.conv_mc3_NNI_0.500000.tsv	765.0	1.6739606126914661
1000000	50	0.999977	2e-06	2.3e-05	2e-06	0.953254	0.0	1.0	765.0	79.400488	0.358967	0.000201	185	73	253	280	102	128	105	154	139	66	114	110	87	64	64	75	69	109	298	41	118	51	117	68	136	90	177	572	117	187	102	145	238	105	161	178	167	1047	45	216	161	121	80	57	133	82	637	156	158	143	vert.atpase6	tw0	NNI	0.0	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.000000.tsv	765.0	1.0
1000000	50	0.999989	1e-06	1.1e-05	1e-06	0.953254	0.0	1.0	512.04	55.83689	0.358966	0.000168	55	50	39	55	104	47	52	150	58	35	32	16	47	52	92	31	66	189	39	81	152	42	28	34	70	463	18	38	346	61	107	37	45	63	70	76	112	112	62	75	81	48	151	41	326	224	49	76	63	77	vert.atpase6	tw0	NNI	0.02	vert.atpase6.tw0	vert.atpase6.tw0.conv_NNI_0.020000.tsv	765.0	1.4940239043824701
