section	statistic	value
summary	numTrees	2027025
summary	numEdges	295527487
summary	meanDegree	291.5874125874
local	numLocalPeaks	1
local	posteriorMassOfLocalPeaks	0.5614382869
local	meanUphillFraction	0.4964488210
local	posteriorWeightedMeanUphillFraction	0.0039477509
local	meanBestNeighborLnLDifference	227.2921046522
local	posteriorWeightedMeanBestNeighborLnLDifference	0.8832567581
local	meanNeighborAbsLnLDifference	47.3925123873
local	posteriorWeightedMeanNeighborAbsLnLDifference	129.0745798249
basin	numPeaks	1
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	2027025
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	787259318825343417
basin	mapPeakHash	787259318825343417
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	0.0000000000
ascent	meanAscentLength	4.7096587363
ascent	posteriorWeightedMeanAscentLength	0.4617694799
ascent	meanAscentLengthCredible95	1.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.4311046027
ascent	maxAscentLength	7
credible95	credible95NumTrees	7
credible95	credible95Mass	0.9532543632
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	7
credible95	credible95LargestComponentMass	0.9532543632
credible95	credible95MapComponentSize	7
credible95	credible95MapComponentMass	0.9532543632
barrier	basinGraphEdges	0
barrier	meanBasinGraphDegree	0.0000000000
barrier	mapBasinGraphDegree	0
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	0.0000000000
barrier	meanBarrier	0.0000000000
barrier	posteriorWeightedMeanBarrier	0.0000000000
barrier	maxBarrier	0.0000000000

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	787259318825343417	0.5614382869	2027025	1.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
