cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	50	0.015171	0.009226	0.984829	0.009226	0.014786	0.009234	0.000000	0.000000	0.000000	0.003793	0.002307	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	50	0.039173	0.014325	0.960827	0.014325	0.038637	0.014351	0.000000	0.000000	0.000000	0.009678	0.003739	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1
6	50	0.072839	0.018893	0.927161	0.018893	0.072002	0.018940	0.000000	0.000000	0.000000	0.017715	0.004801	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1
7	50	0.104876	0.023169	0.895124	0.023169	0.103804	0.023184	0.000000	0.000000	0.000000	0.027524	0.006265	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	5	-1	7	-1	-1	-1	-1	-1
8	50	0.140909	0.025983	0.859091	0.025983	0.139344	0.025905	0.000000	0.000000	0.000000	0.038474	0.007577	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	8	6	-1	-1	8	-1	-1	-1	-1	5	-1	7	-1	-1	-1	-1	8
9	50	0.185991	0.029170	0.814009	0.029170	0.184189	0.029142	0.000000	0.000000	0.000000	0.049897	0.008548	-1	-1	-1	-1	-1	-1	-1	9	-1	4	-1	9	-1	-1	-1	-1	-1	6	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	8	6	-1	-1	8	-1	-1	-1	-1	5	-1	7	-1	-1	-1	-1	8
10	50	0.202845	0.030484	0.797155	0.030484	0.200872	0.030456	0.000000	0.000000	0.000000	0.059715	0.009482	-1	-1	-1	-1	-1	-1	-1	9	-1	4	-1	9	-1	-1	-1	-1	-1	6	-1	9	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	7	-1	-1	8	6	-1	-1	8	-1	-1	-1	-1	5	-1	7	-1	-1	-1	-1	8
20	50	0.563235	0.031210	0.436765	0.031210	0.559914	0.031185	0.020000	19.000000	0.000000	0.131127	0.008388	11	-1	18	13	17	-1	19	9	15	4	12	9	17	-1	19	13	13	6	15	9	13	-1	-1	18	10	13	18	-1	-1	-1	7	-1	-1	8	6	17	-1	8	17	-1	12	-1	5	11	7	11	16	-1	-1	8
30	50	0.723579	0.024841	0.276421	0.024841	0.719295	0.024903	0.080000	26.500000	2.500000	0.165286	0.007188	11	-1	18	13	17	24	19	9	15	4	12	9	17	-1	19	13	13	6	15	9	13	-1	-1	18	10	13	18	26	30	-1	7	-1	24	8	6	17	27	8	17	30	12	-1	5	11	7	11	16	21	-1	8
40	50	0.827664	0.018020	0.172336	0.018020	0.821967	0.018067	0.160000	30.375000	2.043609	0.183637	0.006678	11	-1	18	13	17	24	19	9	15	4	12	9	17	32	19	13	13	6	15	9	13	36	-1	18	10	13	18	26	30	31	7	31	24	8	6	17	27	8	17	30	12	40	5	11	7	11	16	21	39	8
