section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	40
local	posteriorMassOfLocalPeaks	0.3856659880
local	meanUphillFraction	0.4855980704
local	posteriorWeightedMeanUphillFraction	0.0706445215
local	meanBestNeighborLnLDifference	13.9276680668
local	posteriorWeightedMeanBestNeighborLnLDifference	0.5047639596
local	meanNeighborAbsLnLDifference	5.0568076728
local	posteriorWeightedMeanNeighborAbsLnLDifference	7.5295449812
basin	numPeaks	40
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	761179
basin	largestBasinMass	0.6711855436
basin	basinMassEntropy	0.6366648128
basin	effectiveNumBasins	1.8901662966
basin	mapTreeHash	1112143900177730164
basin	mapPeakHash	1112143900177730164
basin	mapPeakId	0
basin	mapBasinMass	0.6711855436
basin	posteriorMassOutsideMapBasin	0.3288144564
ascent	meanAscentLength	10.3718982252
ascent	posteriorWeightedMeanAscentLength	0.7771612117
ascent	meanAscentLengthCredible95	1.4210526316
ascent	posteriorWeightedMeanAscentLengthCredible95	0.6959881934
ascent	maxAscentLength	22
credible95	credible95NumTrees	19
credible95	credible95Mass	0.9522804974
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	19
credible95	credible95LargestComponentMass	0.9522804974
credible95	credible95MapComponentSize	19
credible95	credible95MapComponentMass	0.9522804974
barrier	basinGraphEdges	545
barrier	meanBasinGraphDegree	27.2500000000
barrier	mapBasinGraphDegree	39
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	4.4988020355
barrier	meanBarrier	36.9774113996
barrier	posteriorWeightedMeanBarrier	4.1558327086
barrier	maxBarrier	108.9341950449

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1112143900177730164	0.2578256411	761179	0.6711855436
1	16191424585248929739	0.1276519248	663980	0.3284183754
2	6254347374194516194	0.0001312101	46801	0.0003107169
3	11255519786028419502	0.0000327154	11051	0.0000331448
4	6102475088595509628	0.0000241196	146590	0.0000506553
5	10268494607608216116	0.0000003541	36389	0.0000015008
6	9443765165143502165	0.0000000132	46892	0.0000000294
7	18326684677768512587	0.0000000095	68075	0.0000000333
8	6171433528656602192	0.0000000001	40524	0.0000000003
9	10843757336854554639	0.0000000001	264	0.0000000001
10	18252836019220672118	0.0000000001	25589	0.0000000001
11	3963222842358754461	0.0000000000	40089	0.0000000001
12	16990937458384057721	0.0000000000	6537	0.0000000000
13	12079397865226316756	0.0000000000	59369	0.0000000000
14	6757233194896791746	0.0000000000	7469	0.0000000000
15	15142786534678676314	0.0000000000	3913	0.0000000000
16	7149069964051399364	0.0000000000	3252	0.0000000000
17	17509837678050591061	0.0000000000	11282	0.0000000000
18	15799089575926884061	0.0000000000	3867	0.0000000000
19	6135415438869299767	0.0000000000	2888	0.0000000000
20	2197459155809300914	0.0000000000	4330	0.0000000000
21	1433639190970930429	0.0000000000	1336	0.0000000000
22	15536370891336765481	0.0000000000	4870	0.0000000000
23	14313779397652414134	0.0000000000	1410	0.0000000000
24	659306188541723	0.0000000000	1254	0.0000000000
25	1651605962663356740	0.0000000000	1467	0.0000000000
26	2962571463738271888	0.0000000000	561	0.0000000000
27	15730800231288691617	0.0000000000	449	0.0000000000
28	11223077814217674237	0.0000000000	9088	0.0000000000
29	16043310052193777828	0.0000000000	2382	0.0000000000
30	5571308555810940405	0.0000000000	5994	0.0000000000
31	2494840462825653075	0.0000000000	373	0.0000000000
32	10452955878208585174	0.0000000000	2470	0.0000000000
33	5073824159519772812	0.0000000000	931	0.0000000000
34	6158182650757970840	0.0000000000	1067	0.0000000000
35	10769668235712292168	0.0000000000	1027	0.0000000000
36	8953354272887878005	0.0000000000	33	0.0000000000
37	452214270933702656	0.0000000000	1454	0.0000000000
38	14800997528833384879	0.0000000000	311	0.0000000000
39	18381214835278648243	0.0000000000	218	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	1112143900177730164	16191424585248929739	970042078855046722	15851575641724118385	-2099.1474609375	0.0028678611	4.4988020355	3.7958257108
2	1	6254347374194516194	16191424585248929739	105797958095937349	7910086547673702246	-2103.2292480469	0.0000483919	0.9973505273	7.8776128202
3	1	11255519786028419502	16191424585248929739	5114618593581483604	11255519786028419502	-2104.1723632812	0.0000188484	0.5515103246	8.8207280546
4	1	6102475088595509628	16191424585248929739	10219038020571670220	17430482073569333021	-2104.7944335938	0.0000101183	0.8687603822	9.4427983671
2	3	6254347374194516194	11255519786028419502	11217618368302215416	11255519786028419502	-2104.8969726562	0.0000091323	2.6650751367	1.2761196996
5	1	10268494607608216116	16191424585248929739	12423763129498917874	13464290552261309912	-2108.1745605469	0.0000003444	0.0277009043	12.8229253202
0	2	1112143900177730164	6254347374194516194	5113914142143079352	14724169026547519191	-2108.7492675781	0.0000001939	14.1006086761	6.5173700586
0	5	1112143900177730164	10268494607608216116	4087648104940049989	4103119608503752937	-2109.9421386719	0.0000000588	15.2934797698	1.7952790293
0	3	1112143900177730164	11255519786028419502	10282566899571493077	14498695598073965283	-2109.9470214844	0.0000000585	15.2983625823	6.3261685277
1	7	16191424585248929739	18326684677768512587	7091413436385824114	16974256430750116422	-2112.2001953125	0.0000000061	16.8485600858	0.4392102162
0	6	1112143900177730164	9443765165143502165	9443765165143502165	17690956364017182599	-2112.8220214844	0.0000000033	18.1733625823	1.3824814723
4	2	6102475088595509628	6254347374194516194	10219038020571670220	12000920990984343566	-2112.8601074219	0.0000000032	8.9344342104	10.6282099023
4	6	6102475088595509628	9443765165143502165	8328586540279376041	13155522204867523060	-2113.1193847656	0.0000000025	9.1937115541	1.6798447536
4	3	6102475088595509628	11255519786028419502	5302857800089740761	5345000977890872617	-2114.1682128906	0.0000000009	10.2425396791	10.5473599340
6	1	9443765165143502165	16191424585248929739	1996464901359749531	5582816771947253885	-2114.3234863281	0.0000000007	2.8839463161	18.9718511015
0	4	1112143900177730164	6102475088595509628	1378648966369624865	12835142617330183579	-2114.8930664062	0.0000000004	20.2444075042	10.9673931947
0	7	1112143900177730164	18326684677768512587	16020522932746104740	18302590190854738776	-2115.8105468750	0.0000000002	21.1618879730	4.0495617787
4	9	6102475088595509628	10843757336854554639	10843757336854554639	14571460354387919171	-2116.7832031250	0.0000000001	12.8575299135	0.0690018938
9	1	10843757336854554639	16191424585248929739	10843757336854554639	14891304099005077542	-2116.7861328125	0.0000000001	0.0719315813	21.4344975858
2	9	6254347374194516194	10843757336854554639	10843757336854554639	15622692821388271198	-2117.0539550781	0.0000000000	14.8220575586	0.3397538470
8	1	6171433528656602192	16191424585248929739	2898276357199272784	3051492040289382938	-2117.3286132812	0.0000000000	0.6684466210	21.9769780546
0	11	1112143900177730164	3963222842358754461	2960748275118430583	3541514705435340902	-2118.2187500000	0.0000000000	23.5700910980	0.1629536194
4	10	6102475088595509628	18252836019220672118	5715421032723704146	18252836019220672118	-2118.4846191406	0.0000000000	14.5589459291	1.5559676413
8	7	6171433528656602192	18326684677768512587	12915325397009005964	17321373278753800955	-2118.7980957031	0.0000000000	2.1379290429	7.0371106069
11	1	3963222842358754461	16191424585248929739	2544118925909283470	3197260744071386147	-2119.8144531250	0.0000000000	1.7586567444	24.4628178983
4	12	6102475088595509628	16990937458384057721	1356738593449802178	16990937458384057721	-2120.2280273438	0.0000000000	16.3023541322	0.3179371171
4	7	6102475088595509628	18326684677768512587	2718826067737352647	11726847397425483718	-2120.5112304688	0.0000000000	16.5855572572	8.7502453725
10	7	18252836019220672118	18326684677768512587	11726847397425483718	18252836019220672118	-2120.5112304688	0.0000000000	3.5825789694	8.7502453725
0	12	1112143900177730164	16990937458384057721	12616966284607696591	15234332537193817324	-2120.7954101562	0.0000000000	26.1467512542	0.8853199296
11	2	3963222842358754461	6254347374194516194	4818892321291743849	17787143556452080960	-2122.8955078125	0.0000000000	4.8397114319	20.6636102929
11	4	3963222842358754461	6102475088595509628	145418121949413202	4818892321291743849	-2122.8955078125	0.0000000000	4.8397114319	18.9698346010
