section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	6
local	posteriorMassOfLocalPeaks	0.3856332498
local	meanUphillFraction	0.4982227393
local	posteriorWeightedMeanUphillFraction	0.0156232918
local	meanBestNeighborLnLDifference	26.3828039205
local	posteriorWeightedMeanBestNeighborLnLDifference	0.7020553649
local	meanNeighborAbsLnLDifference	7.7459386713
local	posteriorWeightedMeanNeighborAbsLnLDifference	14.4346790730
basin	numPeaks	6
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	996735
basin	largestBasinMass	0.6611759731
basin	basinMassEntropy	0.6417625192
basin	effectiveNumBasins	1.8998264107
basin	mapTreeHash	1112143900177730164
basin	mapPeakHash	1112143900177730164
basin	mapPeakId	0
basin	mapBasinMass	0.6611759731
basin	posteriorMassOutsideMapBasin	0.3388240269
ascent	meanAscentLength	5.7142462476
ascent	posteriorWeightedMeanAscentLength	0.6309539465
ascent	meanAscentLengthCredible95	0.8947368421
ascent	posteriorWeightedMeanAscentLengthCredible95	0.5952058591
ascent	maxAscentLength	12
credible95	credible95NumTrees	19
credible95	credible95Mass	0.9522804974
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	19
credible95	credible95LargestComponentMass	0.9522804974
credible95	credible95MapComponentSize	19
credible95	credible95MapComponentMass	0.9522804974
barrier	basinGraphEdges	15
barrier	meanBasinGraphDegree	5.0000000000
barrier	mapBasinGraphDegree	5
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	2.6543196136
barrier	meanBarrier	10.5868573323
barrier	posteriorWeightedMeanBarrier	2.3049310154
barrier	maxBarrier	28.8747785980

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1112143900177730164	0.2578256411	825159	0.6611759731
1	16191424585248929739	0.1276519248	996735	0.3386585207
2	6254347374194516194	0.0001312101	41150	0.0001346932
3	6102475088595509628	0.0000241196	84822	0.0000301324
4	10268494607608216116	0.0000003541	35287	0.0000006804
5	6171433528656602192	0.0000000001	43872	0.0000000002

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	1112143900177730164	16191424585248929739	6283861580851612391	7568260401126539655	-2097.3029785156	0.0181372762	2.6543196136	1.9513432890
2	1	6254347374194516194	16191424585248929739	6254347374194516194	13902263442694429247	-2102.4948730469	0.0001008773	0.2629755273	7.1432378202
0	2	1112143900177730164	6254347374194516194	6254347374194516194	14724169026547519191	-2102.8322753906	0.0000719827	8.1836164886	0.6003778711
3	1	6102475088595509628	16191424585248929739	6102475088595509628	17430482073569333021	-2104.6235351562	0.0000120038	0.6978619447	9.2718999296
4	1	10268494607608216116	16191424585248929739	10268494607608216116	13464290552261309912	-2108.1672363281	0.0000003469	0.0203766855	12.8156011015
0	4	1112143900177730164	10268494607608216116	4087648104940049989	10268494607608216116	-2109.9421386719	0.0000000588	15.2934797698	1.7952790293
0	3	1112143900177730164	6102475088595509628	4981178865837136926	6102475088595509628	-2111.0957031250	0.0000000186	16.4470442230	7.1700299135
3	2	6102475088595509628	6254347374194516194	9927028468440051555	15853516852636409040	-2112.8339843750	0.0000000033	8.9083111635	10.6020868554
5	1	6171433528656602192	16191424585248929739	6171433528656602192	12915325397009005964	-2117.0996093750	0.0000000000	0.4394427148	21.7479741483
3	4	6102475088595509628	10268494607608216116	4152678659297746089	11601520203841345769	-2119.2255859375	0.0000000000	15.2999127260	11.0787262949
2	4	6254347374194516194	10268494607608216116	1003302583882784084	12000920990984343566	-2119.6872558594	0.0000000000	17.4553583398	11.5403962168
0	5	1112143900177730164	6171433528656602192	4865357834544147248	16780359185283365951	-2123.5234375000	0.0000000000	28.8747785980	6.8632708398
5	4	6171433528656602192	10268494607608216116	10881115701735951334	17501126077742723962	-2123.7089843750	0.0000000000	7.0488177148	15.5621247324
5	2	6171433528656602192	6254347374194516194	100110703041034485	14199447417206721370	-2129.3383789062	0.0000000000	12.6782122460	27.1064813867
3	5	6102475088595509628	6171433528656602192	4991181923521056471	6919517615019206938	-2129.3391113281	0.0000000000	25.4134381166	12.6789446679
