cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.019985	0.019985	0.980015	0.019985	0.019985	0.019985	0.020000	2.000000	0.000000	0.009992	0.009992	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.079969	0.038726	0.920031	0.038726	0.079940	0.038727	0.080000	2.750000	0.250000	0.033318	0.017156	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1
4	50	0.379803	0.069288	0.620197	0.069288	0.379714	0.069289	0.380000	3.736842	0.128921	0.119932	0.024970	-1	-1	4	4	4	-1	4	4	4	4	-1	-1	3	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2	-1	-1	-1	-1	-1	-1	4	-1	4	4	-1	-1	-1	-1	-1	4	-1	3	4	-1	-1	-1	-1	4
5	50	0.759590	0.060955	0.240410	0.060955	0.759429	0.060966	0.760000	4.368421	0.121753	0.247846	0.027118	-1	-1	4	4	4	-1	4	4	4	4	5	5	3	-1	3	5	5	5	-1	5	5	5	5	4	4	2	5	5	5	5	5	5	4	-1	4	4	5	-1	5	5	5	4	-1	3	4	-1	-1	-1	-1	4
6	50	0.839544	0.052333	0.160456	0.052333	0.839369	0.052333	0.840000	4.523810	0.133034	0.346438	0.028484	-1	-1	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	-1	4	4	5	-1	5	5	5	4	-1	3	4	-1	6	-1	-1	4
7	50	0.899499	0.042833	0.100501	0.042833	0.899324	0.042825	0.900000	4.688889	0.155122	0.425421	0.028399	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	-1	5	5	5	4	-1	3	4	-1	6	-1	-1	4
8	50	0.899513	0.042827	0.100487	0.042827	0.899324	0.042825	0.900000	4.688889	0.155122	0.484661	0.028912	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	-1	5	5	5	4	-1	3	4	-1	6	-1	-1	4
9	50	0.919498	0.038735	0.080502	0.038735	0.919309	0.038727	0.920000	4.782609	0.178326	0.532955	0.028899	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	-1	5	5	5	4	9	3	4	-1	6	-1	-1	4
10	50	0.919498	0.038735	0.080502	0.038735	0.919309	0.038727	0.920000	4.782609	0.178326	0.571591	0.029120	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	-1	5	5	5	4	9	3	4	-1	6	-1	-1	4
20	50	0.959483	0.027979	0.040517	0.027979	0.959278	0.027973	0.960000	5.250000	0.373668	0.755443	0.028394	7	7	4	4	4	6	4	4	4	4	5	5	3	6	3	5	5	5	6	5	5	5	5	4	4	2	5	5	5	5	5	5	4	7	4	4	5	14	5	5	5	4	9	3	4	18	6	-1	-1	4
