section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	1
local	posteriorMassOfLocalPeaks	0.9992484053
local	meanUphillFraction	0.5011684946
local	posteriorWeightedMeanUphillFraction	0.0000061841
local	meanBestNeighborLnLDifference	96.6764311398
local	posteriorWeightedMeanBestNeighborLnLDifference	-7.2165786246
local	meanNeighborAbsLnLDifference	25.1722279303
local	posteriorWeightedMeanNeighborAbsLnLDifference	48.6592475213
basin	numPeaks	1
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	2027025
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	-0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	787259318825343417
basin	mapPeakHash	787259318825343417
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	-0.0000000000
ascent	meanAscentLength	6.0322921523
ascent	posteriorWeightedMeanAscentLength	0.0007516308
ascent	meanAscentLengthCredible95	0.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0000000000
ascent	maxAscentLength	11
credible95	credible95NumTrees	1
credible95	credible95Mass	0.9992484053
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	1
credible95	credible95LargestComponentMass	0.9992484053
credible95	credible95MapComponentSize	1
credible95	credible95MapComponentMass	0.9992484053
barrier	basinGraphEdges	0
barrier	meanBasinGraphDegree	0.0000000000
barrier	mapBasinGraphDegree	0
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	0.0000000000
barrier	meanBarrier	0.0000000000
barrier	posteriorWeightedMeanBarrier	0.0000000000
barrier	maxBarrier	0.0000000000

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	787259318825343417	0.9992484053	2027025	1.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
