cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.000004	0.000004	0.999996	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	50	0.001240	0.000867	0.998760	0.000867	0.000000	0.000000	0.000000	0.000000	0.000000	0.000310	0.000217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	50	0.020262	0.019627	0.979738	0.019627	0.019009	0.019009	0.020000	5.000000	0.000000	0.004176	0.003929	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	50	0.059553	0.032548	0.940447	0.032548	0.057026	0.032245	0.060000	5.666667	0.333333	0.013302	0.007701	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1
7	50	0.061766	0.032484	0.938234	0.032484	0.057026	0.032245	0.060000	5.666667	0.333333	0.020133	0.011016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1
8	50	0.177095	0.052354	0.822905	0.052354	0.171077	0.052163	0.180000	7.222222	0.400617	0.039554	0.014187	8	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	8	-1	8	-1	-1	-1	-1	-1	-1	6	8	-1
9	50	0.235438	0.058241	0.764562	0.058241	0.228102	0.057987	0.240000	7.666667	0.376051	0.061039	0.017619	8	-1	-1	-1	-1	-1	-1	-1	8	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	6	-1	9	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	8	-1	8	-1	9	-1	-1	-1	-1	6	8	-1
10	50	0.333900	0.064748	0.666100	0.064748	0.323145	0.064318	0.340000	8.352941	0.373193	0.085974	0.020583	8	-1	10	-1	-1	-1	-1	-1	8	-1	9	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	8	-1	6	-1	9	-1	-1	-1	10	-1	-1	-1	5	-1	10	-1	-1	8	-1	8	-1	9	-1	-1	-1	-1	6	8	10
20	50	0.725951	0.059910	0.274049	0.059910	0.703316	0.059556	0.740000	11.378378	0.577807	0.336577	0.034514	8	-1	10	13	18	15	17	-1	8	-1	9	11	-1	16	12	-1	-1	10	16	17	13	8	11	6	-1	9	11	-1	14	10	18	14	12	5	-1	10	16	-1	8	-1	8	13	9	11	-1	-1	11	6	8	10
30	50	0.901620	0.037202	0.098380	0.037202	0.874393	0.036835	0.920000	13.608696	0.823846	0.493137	0.031954	8	21	10	13	18	15	17	-1	8	-1	9	11	26	16	12	23	-1	10	16	17	13	8	11	6	23	9	11	22	14	10	18	14	12	5	23	10	16	-1	8	24	8	13	9	11	21	22	11	6	8	10
40	50	0.959550	0.019704	0.040450	0.019704	0.931418	0.019009	0.980000	14.918367	1.075325	0.593013	0.027710	8	21	10	13	18	15	17	32	8	34	9	11	26	16	12	23	-1	10	16	17	13	8	11	6	23	9	11	22	14	10	18	14	12	5	23	10	16	39	8	24	8	13	9	11	21	22	11	6	8	10
