section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	62
local	posteriorMassOfLocalPeaks	0.9519885520
local	meanUphillFraction	0.4999849181
local	posteriorWeightedMeanUphillFraction	0.0034814557
local	meanBestNeighborLnLDifference	27.3239217847
local	posteriorWeightedMeanBestNeighborLnLDifference	-3.0777323055
local	meanNeighborAbsLnLDifference	12.1458840150
local	posteriorWeightedMeanNeighborAbsLnLDifference	14.1233538117
basin	numPeaks	62
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	678611
basin	largestBasinMass	0.9981671942
basin	basinMassEntropy	0.0144489919
basin	effectiveNumBasins	1.0145538831
basin	mapTreeHash	5444899062009725693
basin	mapPeakHash	5444899062009725693
basin	mapPeakId	0
basin	mapBasinMass	0.9981671942
basin	posteriorMassOutsideMapBasin	0.0018328058
ascent	meanAscentLength	10.4154073087
ascent	posteriorWeightedMeanAscentLength	0.0484893111
ascent	meanAscentLengthCredible95	0.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0000000000
ascent	maxAscentLength	24
credible95	credible95NumTrees	1
credible95	credible95Mass	0.9504268348
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	1
credible95	credible95LargestComponentMass	0.9504268348
credible95	credible95MapComponentSize	1
credible95	credible95MapComponentMass	0.9504268348
barrier	basinGraphEdges	1059
barrier	meanBasinGraphDegree	34.1612903226
barrier	mapBasinGraphDegree	61
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	14.7891323683
barrier	meanBarrier	61.4638775420
barrier	posteriorWeightedMeanBarrier	13.6317790114
barrier	maxBarrier	215.0149362688

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	5444899062009725693	0.9504268348	678611	0.9981671942
1	1663944637883146712	0.0011133924	376674	0.0013392734
2	12980956238794167044	0.0004483239	308867	0.0004935314
3	13136219978582782769	0.0000000006	98444	0.0000000008
4	2069402501119643584	0.0000000002	58729	0.0000000002
5	11364101874875170124	0.0000000000	57948	0.0000000000
6	4796237258125298137	0.0000000000	36698	0.0000000000
7	1907708025110167701	0.0000000000	6842	0.0000000000
8	8916047823452606935	0.0000000000	34195	0.0000000000
9	13077063049571320896	0.0000000000	39837	0.0000000000
10	18349919653237969261	0.0000000000	14651	0.0000000000
11	14470321411588657683	0.0000000000	17974	0.0000000000
12	10194892126269310538	0.0000000000	50725	0.0000000000
13	15240768799881704423	0.0000000000	2611	0.0000000000
14	6423494559006860906	0.0000000000	81111	0.0000000000
15	11580906775826567448	0.0000000000	25218	0.0000000000
16	11354232127007768028	0.0000000000	24970	0.0000000000
17	5689076028406110073	0.0000000000	9820	0.0000000000
18	16030136969698508910	0.0000000000	18178	0.0000000000
19	1253612228629062932	0.0000000000	27443	0.0000000000
20	7725911544457183932	0.0000000000	4214	0.0000000000
21	11214117775404256812	0.0000000000	4623	0.0000000000
22	617586723319126522	0.0000000000	9156	0.0000000000
23	15238012433641292203	0.0000000000	2102	0.0000000000
24	10279634891113422966	0.0000000000	1344	0.0000000000
25	2355730244983573362	0.0000000000	4087	0.0000000000
26	8029882856898897762	0.0000000000	8125	0.0000000000
27	10673404053386457034	0.0000000000	258	0.0000000000
28	7957190595068679351	0.0000000000	905	0.0000000000
29	14398537078556745867	0.0000000000	3317	0.0000000000
30	4593130431803895541	0.0000000000	1517	0.0000000000
31	15767696770331013607	0.0000000000	1501	0.0000000000
32	7951120196974632971	0.0000000000	700	0.0000000000
