cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000067	0.000066	0.999933	0.000066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000034	0.000033	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.092217	0.033715	0.907783	0.033715	0.092080	0.033693	0.000000	0.000000	0.000000	0.030739	0.011238	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	3	-1
4	50	0.193432	0.040424	0.806568	0.040424	0.192796	0.040460	0.000000	0.000000	0.000000	0.071379	0.017067	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	4	-1	-1	-1	3	-1	-1	-1	4	-1	-1	-1	4	3	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	3	-1
5	50	0.404543	0.051177	0.595457	0.051177	0.403772	0.051211	0.100000	5.000000	0.000000	0.130740	0.019708	-1	-1	5	-1	-1	3	3	-1	-1	5	-1	4	-1	-1	-1	3	-1	5	5	4	-1	-1	-1	4	3	-1	-1	5	-1	5	4	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	3	5	5	-1	-1	-1	3	-1
6	50	0.519711	0.045446	0.480289	0.045446	0.518941	0.045506	0.140000	5.285714	0.184428	0.186184	0.020829	-1	6	5	-1	-1	3	3	6	-1	5	-1	4	-1	6	-1	3	6	5	5	4	-1	6	-1	4	3	-1	-1	5	-1	5	4	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	3	5	5	-1	-1	-1	3	-1
7	50	0.622518	0.046349	0.377482	0.046349	0.621747	0.046387	0.280000	6.142857	0.253701	0.232506	0.021289	-1	6	5	7	-1	3	3	6	-1	5	7	4	-1	6	-1	3	6	5	5	4	7	6	7	4	3	-1	-1	5	-1	5	4	-1	-1	-1	7	5	5	5	5	-1	-1	7	3	5	5	-1	-1	-1	3	-1
8	50	0.671240	0.044802	0.328760	0.044802	0.670469	0.044836	0.340000	6.470588	0.272753	0.267247	0.021105	8	6	5	7	-1	3	3	6	-1	5	7	4	-1	6	8	3	6	5	5	4	7	6	7	4	3	-1	-1	5	8	5	4	-1	-1	-1	7	5	5	5	5	-1	-1	7	3	5	5	-1	-1	-1	3	-1
9	50	0.710872	0.043007	0.289128	0.043007	0.710101	0.043049	0.400000	6.850000	0.310136	0.296463	0.021022	8	6	5	7	9	3	3	6	-1	5	7	4	-1	6	8	3	6	5	5	4	7	6	7	4	3	-1	-1	5	8	5	4	-1	-1	-1	7	5	5	5	5	-1	9	7	3	5	5	-1	-1	-1	3	-1
10	50	0.768683	0.037876	0.231317	0.037876	0.767912	0.037902	0.460000	7.260870	0.351268	0.324001	0.020507	8	6	5	7	9	3	3	6	10	5	7	4	-1	6	8	3	6	5	5	4	7	6	7	4	3	10	-1	5	8	5	4	-1	-1	10	7	5	5	5	5	-1	9	7	3	5	5	-1	10	-1	3	-1
20	50	0.945067	0.018560	0.054933	0.018560	0.944166	0.018571	0.860000	10.465116	0.626429	0.450640	0.014527	8	6	5	7	9	3	3	6	10	5	7	4	14	6	8	3	6	5	5	4	7	6	7	4	3	10	11	5	8	5	4	11	-1	10	7	5	5	5	5	11	9	7	3	5	5	11	10	13	3	12
30	50	0.970601	0.010380	0.029399	0.010380	0.969345	0.010393	0.920000	11.326087	0.762056	0.495731	0.013051	8	6	5	7	9	3	3	6	10	5	7	4	14	6	8	3	6	5	5	4	7	6	7	4	3	10	11	5	8	5	4	11	22	10	7	5	5	5	5	11	9	7	3	5	5	11	10	13	3	12
40	50	0.981392	0.007455	0.018608	0.007455	0.980071	0.007507	0.960000	12.354167	1.025166	0.518107	0.011627	8	6	5	7	9	3	3	6	10	5	7	4	14	6	8	3	6	5	5	4	7	6	7	4	3	10	11	5	8	5	4	11	22	10	7	5	5	5	5	11	9	7	3	5	5	11	10	13	3	12
50	50	0.992475	0.000345	0.007525	0.000345	0.990797	0.000000	1.000000	13.680000	1.352380	0.531836	0.010216	8	6	5	7	9	3	3	6	10	5	7	4	14	6	8	3	6	5	5	4	7	6	7	4	3	10	11	5	8	5	4	11	22	10	7	5	5	5	5	11	9	7	3	5	5	11	10	13	3	12
