section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	13
local	posteriorMassOfLocalPeaks	0.7227025112
local	meanUphillFraction	0.4980736371
local	posteriorWeightedMeanUphillFraction	0.0202248908
local	meanBestNeighborLnLDifference	51.9564017657
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.4021994739
local	meanNeighborAbsLnLDifference	14.3595417013
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.4020426313
basin	numPeaks	13
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	1698989
basin	largestBasinMass	0.9998914746
basin	basinMassEntropy	0.0011045037
basin	effectiveNumBasins	1.0011051138
basin	mapTreeHash	5435530658329307186
basin	mapPeakHash	5435530658329307186
basin	mapPeakId	0
basin	mapBasinMass	0.9998914746
basin	posteriorMassOutsideMapBasin	0.0001085254
ascent	meanAscentLength	10.7555900889
ascent	posteriorWeightedMeanAscentLength	0.2797125139
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.2706448567
ascent	maxAscentLength	21
credible95	credible95NumTrees	2
credible95	credible95Mass	0.9907968767
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	2
credible95	credible95LargestComponentMass	0.9907968767
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.9907968767
barrier	basinGraphEdges	59
barrier	meanBasinGraphDegree	9.0769230769
barrier	mapBasinGraphDegree	12
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	10.0800567840
barrier	meanBarrier	98.1164427799
barrier	posteriorWeightedMeanBarrier	5.3934461731
barrier	maxBarrier	310.1771776918

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	5435530658329307186	0.7226427980	1698989	0.9998914746
1	4076066198144877761	0.0000589584	110088	0.0001076049
2	5992688462066423607	0.0000007548	201132	0.0000009205
3	17052949270038207327	0.0000000000	5166	0.0000000000
4	3738083784612777911	0.0000000000	3658	0.0000000000
5	2521601781439631034	0.0000000000	703	0.0000000000
6	12312984601807304062	0.0000000000	974	0.0000000000
7	16237408160967706830	0.0000000000	1250	0.0000000000
8	3464453927680151539	0.0000000000	1537	0.0000000000
9	16285450625700017486	0.0000000000	791	0.0000000000
10	17138798100336876765	0.0000000000	594	0.0000000000
11	9094973625959108331	0.0000000000	727	0.0000000000
12	972319861590535275	0.0000000000	1416	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	4076066198144877761	5435530658329307186	5755985813745992227	8680536914020389084	-5321.8876953125	0.0000302837	0.6662184277	10.0800567840
0	2	5435530658329307186	5992688462066423607	787259318825343417	5992688462066423607	-5326.4599609375	0.0000003130	14.6523224090	0.8803026918
1	2	4076066198144877761	5992688462066423607	13168052727289027827	17072561494114041142	-5339.8896484375	0.0000000000	18.6681715527	14.3099901918
1	3	4076066198144877761	17052949270038207327	17052949270038207327	17108929367005673961	-5342.0361328125	0.0000000000	20.8146559277	0.1361833265
0	3	5435530658329307186	17052949270038207327	12102662984875628732	17052949270038207327	-5343.4716796875	0.0000000000	31.6640411590	1.5717302015
2	3	5992688462066423607	17052949270038207327	9628194709087369506	17052949270038207327	-5344.3671875000	0.0000000000	18.7875292543	2.4672380140
4	1	3738083784612777911	4076066198144877761	3738083784612777911	17088506477286536725	-5362.2060546875	0.0000000000	0.8302195281	40.9845778027
4	0	3738083784612777911	5435530658329307186	3738083784612777911	12285611960489055670	-5362.5957031250	0.0000000000	1.2198679656	50.7880645965
4	3	3738083784612777911	17052949270038207327	1413679348908416785	9874398511100331330	-5387.4458007812	0.0000000000	26.0699656218	45.5458512952
4	2	3738083784612777911	5992688462066423607	567021883402288480	4116931586347017709	-5394.7270507812	0.0000000000	33.3512156218	69.1473925356
5	0	2521601781439631034	5435530658329307186	2521601781439631034	5505943537112109086	-5465.9277343750	0.0000000000	0.4233861994	154.1200958465
5	1	2521601781439631034	4076066198144877761	2521601781439631034	2908146110318125287	-5466.0410156250	0.0000000000	0.5366674494	144.8195387402
0	6	5435530658329307186	12312984601807304062	12312984601807304062	17814432400249333892	-5467.9541015625	0.0000000000	156.1464630340	0.9247830314
1	6	4076066198144877761	12312984601807304062	3665843007835723292	5012507284562445966	-5468.3183593750	0.0000000000	147.0968824902	1.2890408439
2	6	5992688462066423607	12312984601807304062	743637255512461614	2443167396105049948	-5477.5727539062	0.0000000000	151.9930956606	10.5434353751
5	6	2521601781439631034	12312984601807304062	10786175842470561311	12522920843976731789	-5482.6088867188	0.0000000000	17.1045385432	15.5795681876
1	7	4076066198144877761	16237408160967706830	14701908085517045183	16237408160967706830	-5505.3828125000	0.0000000000	184.1613356152	0.1371464715
0	7	5435530658329307186	16237408160967706830	5477751149868198533	16237408160967706830	-5507.3447265625	0.0000000000	195.5370880340	2.0990605340
8	2	3464453927680151539	5992688462066423607	2435604594054493153	3464453927680151539	-5515.4179687500	0.0000000000	0.5645927375	189.8383105043
8	0	3464453927680151539	5435530658329307186	3464453927680151539	3726704250544614401	-5516.0639648438	0.0000000000	1.2105888313	204.2563263153
8	3	3464453927680151539	17052949270038207327	8372347989989128251	10190802331544466721	-5521.7705078125	0.0000000000	6.9171318000	179.8705583265
8	1	3464453927680151539	4076066198144877761	3034526197960490385	8372347989989128251	-5522.2646484375	0.0000000000	7.4112724250	201.0431715527
7	3	16237408160967706830	17052949270038207327	2232869115161537074	13265734381487430329	-5528.4282226562	0.0000000000	23.1825566277	186.5282731702
0	9	5435530658329307186	16285450625700017486	1552759906897205383	16285450625700017486	-5529.8769531250	0.0000000000	218.0693145965	0.6326526650
2	9	5992688462066423607	16285450625700017486	4996259950482298670	16285450625700017486	-5529.9902343750	0.0000000000	204.4105761293	0.7459339150
9	3	16285450625700017486	17052949270038207327	5841678065836566952	16285450625700017486	-5532.0439453125	0.0000000000	2.7996448525	190.1439958265
2	7	5992688462066423607	16237408160967706830	13577731373485169349	15148814729275767943	-5532.4301757812	0.0000000000	206.8505175356	27.1845097527
0	10	5435530658329307186	17138798100336876765	13651370553107022778	17138798100336876765	-5533.2890625000	0.0000000000	221.4814239715	0.0427139652
1	9	4076066198144877761	16285450625700017486	10298904386474175952	12018554896024639243	-5534.4042968750	0.0000000000	213.1828199902	5.1599964150
4	10	3738083784612777911	17138798100336876765	3546715017952221579	17138798100336876765	-5534.6225585938	0.0000000000	173.2467234343	1.3762100590
1	11	4076066198144877761	9094973625959108331	9094973625959108331	18064873376287721862	-5534.6406250000	0.0000000000	213.4191481152	0.7548458498
0	11	5435530658329307186	9094973625959108331	3598177535751475851	9094973625959108331	-5535.1743164062	0.0000000000	223.3666778778	1.2885372561
12	0	972319861590535275	5435530658329307186	409443761078774701	972319861590535275	-5538.1938476562	0.0000000000	0.5335022550	226.3862091278
12	1	972319861590535275	4076066198144877761	13142667865084592406	14041628230472715155	-5538.8637695312	0.0000000000	1.2034241300	217.6422926465
12	2	972319861590535275	5992688462066423607	4232646935995968674	14419445690890676754	-5548.1381835938	0.0000000000	10.4778381925	222.5585253481
12	11	972319861590535275	9094973625959108331	1524842950226546426	8245889609799168302	-5550.7690429688	0.0000000000	13.1086975675	16.8832638186
5	3	2521601781439631034	17052949270038207327	4258088963609181556	8611444800847752472	-5557.3007812500	0.0000000000	91.7964330744	215.4008317640
8	4	3464453927680151539	3738083784612777911	6716654407865369291	8619618713332026772	-5559.9072265625	0.0000000000	45.0538505500	198.5313914031
9	10	16285450625700017486	17138798100336876765	3086285390304318671	15678470196077105256	-5560.6816406250	0.0000000000	31.4373401650	27.4352920902
8	9	3464453927680151539	16285450625700017486	3086285390304318671	6048206207062253211	-5561.7563476562	0.0000000000	46.9029716438	32.5120471962
8	10	3464453927680151539	17138798100336876765	6048206207062253211	15678470196077105256	-5561.7563476562	0.0000000000	46.9029716438	28.5099991215
11	3	9094973625959108331	17052949270038207327	1583981897414642301	4571964717431704110	-5564.9399414062	0.0000000000	31.0541622561	223.0399919202
5	2	2521601781439631034	5992688462066423607	12543699463456783214	15884115348308187063	-5565.7939453125	0.0000000000	100.2895971369	240.2142870668
2	10	5992688462066423607	17138798100336876765	7552733733891362637	17590463185740629776	-5575.3486328125	0.0000000000	249.7689745668	42.1022842777
12	6	972319861590535275	12312984601807304062	9119639962637361786	13779810719821388645	-5600.6118164062	0.0000000000	62.9514710050	133.5824978751
8	7	3464453927680151539	16237408160967706830	4318531342931436386	9134313178459340119	-5604.1469726562	0.0000000000	89.2935966438	98.9013066277
11	7	9094973625959108331	16237408160967706830	1765852319472703886	15674480662391474267	-5605.8041992188	0.0000000000	71.9184200686	100.5585331902
1	10	4076066198144877761	17138798100336876765	1010007066807801016	2484560844676405603	-5607.0712890625	0.0000000000	285.8498121777	73.8249405277
5	11	2521601781439631034	9094973625959108331	2115631414619067126	9115006684551241159	-5607.1352539062	0.0000000000	141.6309057307	73.2494747561
12	5	972319861590535275	2521601781439631034	7200119594717923359	14879910697341801469	-5612.0336914062	0.0000000000	74.3733460050	146.5293432307
4	7	3738083784612777911	16237408160967706830	14001559238106205011	14894427365651475395	-5620.1757812500	0.0000000000	258.7999460906	114.9301152215
12	3	972319861590535275	17052949270038207327	63664817368324384	3785048442961485839	-5632.5688476562	0.0000000000	94.9085022550	290.6688981702
2	11	5992688462066423607	9094973625959108331	3781224519462838503	12120807281988577465	-5635.7568359375	0.0000000000	310.1771776918	101.8710567873
