cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.000002	0.000001	0.999998	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	50	0.019420	0.012862	0.980580	0.012862	0.019417	0.012862	0.000000	0.000000	0.000000	0.004855	0.003216	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	50	0.050952	0.020779	0.949048	0.020779	0.050938	0.020779	0.000000	0.000000	0.000000	0.014074	0.006010	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	50	0.136138	0.033884	0.863862	0.033884	0.136103	0.033883	0.000000	0.000000	0.000000	0.033549	0.009082	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	6	-1	-1	6	-1	6	-1	-1	6	-1	5	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	50	0.149611	0.036156	0.850389	0.036156	0.149427	0.036167	0.000000	0.000000	0.000000	0.048845	0.012092	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	7	-1	-1	6	-1	-1	6	-1	6	-1	-1	6	-1	5	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	50	0.266702	0.042858	0.733298	0.042858	0.266224	0.042869	0.000000	0.000000	0.000000	0.072009	0.013947	-1	-1	8	5	-1	-1	-1	-1	8	-1	-1	8	6	-1	8	8	-1	-1	-1	-1	-1	4	-1	7	-1	-1	6	-1	8	6	-1	6	-1	-1	6	-1	5	-1	8	-1	6	-1	-1	-1	-1	-1	8	-1	-1	-1
9	50	0.305989	0.044286	0.694011	0.044286	0.305163	0.044331	0.000000	0.000000	0.000000	0.090736	0.015676	-1	9	8	5	-1	-1	-1	-1	8	-1	-1	8	6	-1	8	8	-1	-1	-1	-1	-1	4	-1	7	-1	-1	6	-1	8	6	-1	6	-1	-1	6	-1	5	-1	8	-1	6	9	-1	-1	-1	-1	8	-1	-1	-1
10	50	0.342759	0.044233	0.657241	0.044233	0.341557	0.044255	0.000000	0.000000	0.000000	0.108353	0.016868	-1	9	8	5	-1	-1	-1	-1	8	-1	10	8	6	-1	8	8	-1	-1	-1	-1	-1	4	-1	7	-1	-1	6	-1	8	6	-1	6	-1	-1	6	-1	5	-1	8	-1	6	9	-1	-1	-1	-1	8	-1	-1	10
20	50	0.697810	0.034398	0.302190	0.034398	0.695162	0.034530	0.080000	17.750000	0.853913	0.220606	0.016546	-1	9	8	5	15	17	-1	13	8	15	10	8	6	-1	8	8	12	-1	18	11	-1	4	11	7	12	-1	6	14	8	6	14	6	18	19	6	11	5	16	8	-1	6	9	15	17	14	19	8	13	-1	10
30	50	0.847186	0.016918	0.152814	0.016918	0.844480	0.016940	0.240000	22.500000	1.311372	0.283660	0.014599	24	9	8	5	15	17	26	13	8	15	10	8	6	30	8	8	12	22	18	11	21	4	11	7	12	22	6	14	8	6	14	6	18	19	6	11	5	16	8	24	6	9	15	17	14	19	8	13	22	10
40	50	0.909093	0.012431	0.090907	0.012431	0.905896	0.012314	0.420000	28.857143	1.832622	0.317316	0.012560	24	9	8	5	15	17	26	13	8	15	10	8	6	30	8	8	12	22	18	11	21	4	11	7	12	22	6	14	8	6	14	6	18	19	6	11	5	16	8	24	6	9	15	17	14	19	8	13	22	10
50	50	0.930366	0.010635	0.069634	0.010635	0.927019	0.010532	0.540000	33.000000	2.086451	0.340334	0.012262	24	9	8	5	15	17	26	13	8	15	10	8	6	30	8	8	12	22	18	11	21	4	11	7	12	22	6	14	8	6	14	6	18	19	6	11	5	16	8	24	6	9	15	17	14	19	8	13	22	10
