section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	8
local	posteriorMassOfLocalPeaks	0.9883684475
local	meanUphillFraction	0.4996849711
local	posteriorWeightedMeanUphillFraction	0.0009074946
local	meanBestNeighborLnLDifference	43.7070671051
local	posteriorWeightedMeanBestNeighborLnLDifference	-5.0230436986
local	meanNeighborAbsLnLDifference	13.9157740167
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.0843459613
basin	numPeaks	8
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	1973437
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	-0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	15144537013330723791
basin	mapPeakHash	15144537013330723791
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	-0.0000000000
ascent	meanAscentLength	11.1568416768
ascent	posteriorWeightedMeanAscentLength	0.0116740679
ascent	meanAscentLengthCredible95	0.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0000000000
ascent	maxAscentLength	24
credible95	credible95NumTrees	1
credible95	credible95Mass	0.9883684475
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	1
credible95	credible95LargestComponentMass	0.9883684475
credible95	credible95MapComponentSize	1
credible95	credible95MapComponentMass	0.9883684475
barrier	basinGraphEdges	14
barrier	meanBasinGraphDegree	3.5000000000
barrier	mapBasinGraphDegree	7
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	76.5526276025
barrier	meanBarrier	101.5607508502
barrier	posteriorWeightedMeanBarrier	39.2303832939
barrier	maxBarrier	270.1561432275

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	15144537013330723791	0.9883684475	1973437	1.0000000000
1	5409870136003657491	0.0000000000	28536	0.0000000000
2	17123659522096511733	0.0000000000	21933	0.0000000000
3	3720881390651309434	0.0000000000	2687	0.0000000000
4	6340500844190358543	0.0000000000	224	0.0000000000
5	5252729903447262592	0.0000000000	26	0.0000000000
6	13118107414136219485	0.0000000000	92	0.0000000000
7	13993080749974791385	0.0000000000	90	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	5409870136003657491	15144537013330723791	4563970079884452216	5409870136003657491	-5678.8964843750	0.0000000000	1.8105683275	76.5526276025
1	2	5409870136003657491	17123659522096511733	17123659522096511733	17396063395757285687	-5681.2539062500	0.0000000000	4.1679902025	0.3623707671
0	2	15144537013330723791	17123659522096511733	4604065930710055088	8510901156781559425	-5682.0981445312	0.0000000000	79.7542877587	1.2066090484
3	0	3720881390651309434	15144537013330723791	3141156739790012812	3720881390651309434	-5683.1503906250	0.0000000000	1.1104316277	80.8065338525
3	1	3720881390651309434	5409870136003657491	255844490839562354	18127234787367907663	-5747.1479492188	0.0000000000	65.1079902215	70.0620331713
4	0	6340500844190358543	15144537013330723791	6340500844190358543	14335561301456651862	-5777.5703125000	0.0000000000	0.2267969811	175.2264557275
5	0	5252729903447262592	15144537013330723791	5252729903447262592	6478938101223386865	-5822.3608398438	0.0000000000	0.4188029042	220.0169830712
3	2	3720881390651309434	17123659522096511733	2365838329306684707	14130986630369266032	-5839.2392578125	0.0000000000	157.1992988152	158.3477223296
6	0	13118107414136219485	15144537013330723791	9132762734930065936	13118107414136219485	-5863.1474609375	0.0000000000	0.1291486733	260.8036041650
7	0	13993080749974791385	15144537013330723791	8792377447688835105	13993080749974791385	-5872.5000000000	0.0000000000	0.2877346009	270.1561432275
3	7	3720881390651309434	13993080749974791385	12410245289044651411	16235410500576544212	-5908.1435546875	0.0000000000	226.1035956902	35.9312892884
1	6	5409870136003657491	13118107414136219485	8191055059299124656	17068660928382651302	-5911.4946289062	0.0000000000	234.4087128588	48.4763166420
6	2	13118107414136219485	17123659522096511733	16472386530963013419	17068660928382651302	-5916.3364257812	0.0000000000	53.3181135170	235.4448902984
4	2	6340500844190358543	17123659522096511733	2864682002517236072	12464486451279252693	-5922.2495117188	0.0000000000	144.9059961999	241.3579762359
