section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	62
local	posteriorMassOfLocalPeaks	0.9191591206
local	meanUphillFraction	0.4999767781
local	posteriorWeightedMeanUphillFraction	0.0066618706
local	meanBestNeighborLnLDifference	20.0631539152
local	posteriorWeightedMeanBestNeighborLnLDifference	-2.7202544121
local	meanNeighborAbsLnLDifference	8.1140200398
local	posteriorWeightedMeanNeighborAbsLnLDifference	8.9098805797
basin	numPeaks	62
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	869039
basin	largestBasinMass	0.6941523332
basin	basinMassEntropy	0.6157382840
basin	effectiveNumBasins	1.8510226757
basin	mapTreeHash	9259356767843306794
basin	mapPeakHash	9259356767843306794
basin	mapPeakId	0
basin	mapBasinMass	0.6941523332
basin	posteriorMassOutsideMapBasin	0.3058476668
ascent	meanAscentLength	10.0777938111
ascent	posteriorWeightedMeanAscentLength	0.0826685628
ascent	meanAscentLengthCredible95	0.3333333333
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0462505173
ascent	maxAscentLength	23
credible95	credible95NumTrees	3
credible95	credible95Mass	0.9637322140
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	2
credible95	credible95LargestComponentMass	0.6625509080
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.6625509080
barrier	basinGraphEdges	972
barrier	meanBasinGraphDegree	31.3548387097
barrier	mapBasinGraphDegree	61
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	9.7083023123
barrier	meanBarrier	51.7450632558
barrier	posteriorWeightedMeanBarrier	9.3489329748
barrier	maxBarrier	158.9753347355

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	9259356767843306794	0.6179777946	869039	0.6941523332
1	13456819742471436309	0.3011813060	664627	0.3058476448
2	17327495626708656360	0.0000000199	66134	0.0000000219
3	935515840064901728	0.0000000001	50671	0.0000000001
4	13744796507174131493	0.0000000000	73958	0.0000000000
5	2398313083122902780	0.0000000000	54455	0.0000000000
6	5020305692600317862	0.0000000000	9598	0.0000000000
7	7184753854421583295	0.0000000000	26014	0.0000000000
8	7484687342783232930	0.0000000000	28602	0.0000000000
9	18271804820455617114	0.0000000000	63161	0.0000000000
10	7102445278865218129	0.0000000000	1117	0.0000000000
11	8354271691829693942	0.0000000000	10938	0.0000000000
12	14533962943741030116	0.0000000000	9198	0.0000000000
13	11417629257336667085	0.0000000000	18754	0.0000000000
14	247812421322574847	0.0000000000	1431	0.0000000000
15	14873374013526969923	0.0000000000	3453	0.0000000000
16	6777124504336706803	0.0000000000	16536	0.0000000000
17	4419624833696315872	0.0000000000	6545	0.0000000000
18	18152464656191664773	0.0000000000	743	0.0000000000
19	2058379798036840621	0.0000000000	7130	0.0000000000
20	15372946583148891887	0.0000000000	2840	0.0000000000
21	10128525784335278497	0.0000000000	8610	0.0000000000
22	3034672325705139760	0.0000000000	5040	0.0000000000
23	17353902391342528634	0.0000000000	522	0.0000000000
24	1979202043794946016	0.0000000000	1339	0.0000000000
25	13763019986136493506	0.0000000000	444	0.0000000000
26	10069114262970339920	0.0000000000	314	0.0000000000
27	14565777880098740991	0.0000000000	1496	0.0000000000
28	15635922165147853917	0.0000000000	2761	0.0000000000
29	13585000793708429708	0.0000000000	2235	0.0000000000
30	8500866450241111561	0.0000000000	1090	0.0000000000
31	14666872076358745344	0.0000000000	1216	0.0000000000
32	11229436157254813284	0.0000000000	2376	0.0000000000
33	7887039593394851227	0.0000000000	1234	0.0000000000
34	3412929990841189636	0.0000000000	1968	0.0000000000
35	5302060071100678696	0.0000000000	1589	0.0000000000
36	13235648486743037915	0.0000000000	342	0.0000000000
37	13285854435125799969	0.0000000000	599	0.0000000000
38	16761810037874385395	0.0000000000	178	0.0000000000
39	9810354197824293314	0.0000000000	228	0.0000000000
40	17329439133771538937	0.0000000000	29	0.0000000000
41	13470350209540924502	0.0000000000	261	0.0000000000
42	12136865425921854489	0.0000000000	1211	0.0000000000
43	17615345215767154738	0.0000000000	1171	0.0000000000
44	8258607018018373577	0.0000000000	417	0.0000000000
45	4653565511850072245	0.0000000000	277	0.0000000000
46	2604688087602281337	0.0000000000	424	0.0000000000
47	8892433088587367261	0.0000000000	279	0.0000000000
48	5044532849186003532	0.0000000000	337	0.0000000000
49	3485241805714512442	0.0000000000	215	0.0000000000
50	7119631893703464391	0.0000000000	31	0.0000000000
51	9320651249542022581	0.0000000000	1426	0.0000000000
52	13163627984283868779	0.0000000000	670	0.0000000000
53	5657007686144780447	0.0000000000	545	0.0000000000
54	2021110977399019692	0.0000000000	508	0.0000000000
55	18283626660868936511	0.0000000000	163	0.0000000000
56	8925404338917957100	0.0000000000	163	0.0000000000
57	16244187196017896716	0.0000000000	142	0.0000000000
58	5922156570017638153	0.0000000000	37	0.0000000000
59	3807724572909194356	0.0000000000	88	0.0000000000
60	13912855578732038628	0.0000000000	28	0.0000000000
61	15100574952147350199	0.0000000000	78	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	9259356767843306794	13456819742471436309	1669112845279479524	5940622826101855317	-5792.5136718750	0.0000375644	9.7083023123	8.9895622155
0	2	9259356767843306794	17327495626708656360	11545778473149273445	17327495626708656360	-5800.9545898438	0.0000000081	18.1492202811	0.8972097355
3	0	935515840064901728	9259356767843306794	8346304184059506135	18139298388098577543	-5808.0976562500	0.0000000000	2.2767552193	25.2922866873
1	4	13456819742471436309	13744796507174131493	7489750153691219396	9952558338115432846	-5810.7255859375	0.0000000000	27.2014762780	3.7515816286
5	0	2398313083122902780	9259356767843306794	1682113179662466453	3567386172320494354	-5811.3803710938	0.0000000000	3.5134580215	28.5750015311
3	1	935515840064901728	13456819742471436309	2198101982082788475	6999006632442192421	-5812.4038085938	0.0000000000	6.5829075630	28.8796989343
6	1	5020305692600317862	13456819742471436309	5020305692600317862	5158608339074578668	-5814.2163085938	0.0000000000	0.8423242722	30.6921989343
5	4	2398313083122902780	13744796507174131493	6580157127640700520	7649177647879808020	-5818.0922851562	0.0000000000	10.2253720840	11.1182808473
7	0	7184753854421583295	9259356767843306794	5082070714351296726	5286222709671032002	-5819.2617187500	0.0000000000	1.0382090169	36.4563491873
7	2	7184753854421583295	17327495626708656360	6644614483682566357	7184753854421583295	-5819.5815429688	0.0000000000	1.3580332357	19.5241628605
8	1	7484687342783232930	13456819742471436309	1102315141984639438	6355569763771038213	-5820.6152343750	0.0000000000	1.0594805067	37.0911247155
