section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	29
local	posteriorMassOfLocalPeaks	0.8183942496
local	meanUphillFraction	0.4999606390
local	posteriorWeightedMeanUphillFraction	0.0137115076
local	meanBestNeighborLnLDifference	27.0141679007
local	posteriorWeightedMeanBestNeighborLnLDifference	-1.4684077575
local	meanNeighborAbsLnLDifference	9.9536124140
local	posteriorWeightedMeanNeighborAbsLnLDifference	13.9490587304
basin	numPeaks	29
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	503667
basin	largestBasinMass	0.9281666091
basin	basinMassEntropy	0.2661763637
basin	effectiveNumBasins	1.3049651869
basin	mapTreeHash	11980647480481983567
basin	mapPeakHash	11980647480481983567
basin	mapPeakId	0
basin	mapBasinMass	0.9281666091
basin	posteriorMassOutsideMapBasin	0.0718333909
ascent	meanAscentLength	10.4755738089
ascent	posteriorWeightedMeanAscentLength	0.2028590976
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.1411916922
ascent	maxAscentLength	27
credible95	credible95NumTrees	4
credible95	credible95Mass	0.9516158643
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	3
credible95	credible95LargestComponentMass	0.9169490342
credible95	credible95MapComponentSize	3
credible95	credible95MapComponentMass	0.9169490342
barrier	basinGraphEdges	364
barrier	meanBasinGraphDegree	25.1034482759
barrier	mapBasinGraphDegree	28
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	8.4902929618
barrier	meanBarrier	51.8251999891
barrier	posteriorWeightedMeanBarrier	7.0913636209
barrier	maxBarrier	184.3777573577

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	11980647480481983567	0.7825887800	503667	0.9281666091
1	2368437438886534048	0.0346668301	185986	0.0704799764
2	10016259065765636172	0.0006210718	32227	0.0008168887
3	3271363114651503806	0.0004818612	202778	0.0004934995
4	5135454289099175652	0.0000208939	64606	0.0000216100
5	6925199430973522422	0.0000117002	173611	0.0000162900
6	4547092858312465736	0.0000018146	113470	0.0000031815
7	3407315660741998918	0.0000011218	129792	0.0000016863
8	7646423808209864380	0.0000001012	35261	0.0000001728
9	9915382808789733087	0.0000000724	66873	0.0000000801
10	10643338997898779043	0.0000000017	25526	0.0000000046
11	4857078269151549616	0.0000000006	147373	0.0000000010
12	11936920668185805881	0.0000000001	73197	0.0000000001
13	8632831784179799418	0.0000000000	56371	0.0000000000
14	18241009177151967742	0.0000000000	76647	0.0000000000
15	2310168232479834778	0.0000000000	2759	0.0000000000
16	2366885871750587334	0.0000000000	25933	0.0000000000
17	5068025685943288271	0.0000000000	57823	0.0000000000
18	11473762796051967383	0.0000000000	10832	0.0000000000
19	12976142475335680872	0.0000000000	14881	0.0000000000
20	18351819732852120847	0.0000000000	12531	0.0000000000
21	16140728623258478899	0.0000000000	1592	0.0000000000
22	545770292245091316	0.0000000000	6003	0.0000000000
23	1661295881198169406	0.0000000000	3960	0.0000000000
24	5283724761129346452	0.0000000000	217	0.0000000000
25	16718553533005530244	0.0000000000	1857	0.0000000000
26	17757697774520701316	0.0000000000	159	0.0000000000
27	4822782577277008059	0.0000000000	630	0.0000000000
28	14472019494373361988	0.0000000000	463	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	2368437438886534048	11980647480481983567	9168359582575743926	17713191827818530918	-8017.8481445312	0.0001607778	5.3734689136	8.4902929618
1	2	2368437438886534048	10016259065765636172	2286818756070818851	10016259065765636172	-8018.6171875000	0.0000745171	6.1425118823	2.1204200415
4	0	5135454289099175652	11980647480481983567	5135454289099175652	14727846142330042971	-8020.0483398438	0.0000178096	0.1595844012	10.6904882743
1	3	2368437438886534048	3271363114651503806	3271363114651503806	15067731627962734075	-8020.4370117188	0.0000120751	7.9623361011	3.6864535012
3	2	3271363114651503806	10016259065765636172	12383468835526150801	16595194757599009781	-8020.9394531250	0.0000073081	4.1888949075	4.4426856665
5	0	6925199430973522422	11980647480481983567	4459169674896790417	8158064293128774975	-8023.3007812500	0.0000006889	2.8321771718	13.9429296805
3	6	3271363114651503806	4547092858312465736	4547092858312465736	15016715206061696858	-8024.5351562500	0.0000002005	7.7845980325	2.2027963661
1	8	2368437438886534048	7646423808209864380	3103581399527256549	7309685731266010103	-8026.0756835938	0.0000000430	13.6010079761	0.8568241656
3	0	3271363114651503806	11980647480481983567	903009298956319482	10301002723538358770	-8026.6533203125	0.0000000241	9.9027620950	17.2954687430
1	6	2368437438886534048	4547092858312465736	5187534246281417214	6778962486205879072	-8026.7392578125	0.0000000221	14.2645821948	4.4068979286
7	2	3407315660741998918	10016259065765636172	14155059500409336896	18257834848021743158	-8026.8120117188	0.0000000206	3.9987607887	10.3152442602
8	9	7646423808209864380	9915382808789733087	9915382808789733087	12548167498379812466	-8026.9741210938	0.0000000175	1.7552616656	1.4197098550
7	6	3407315660741998918	4547092858312465736	2861336393754927416	4706590319018369831	-8027.1303710938	0.0000000150	4.3171201637	4.7980112098
7	8	3407315660741998918	7646423808209864380	7646423808209864380	15112937214014886219	-8027.8374023438	0.0000000074	5.0241514137	2.6185429156
6	9	4547092858312465736	9915382808789733087	1015983413551176582	9694909478616015532	-8028.1352539062	0.0000000055	5.8028940223	2.5808426675
2	0	10016259065765636172	11980647480481983567	10052990219158070491	12874225308870083235	-8030.0039062500	0.0000000008	13.5071387915	20.6460546805
6	5	4547092858312465736	6925199430973522422	4831337318293207254	17914695058447153857	-8030.1577148438	0.0000000007	7.8253549598	9.6891107656
4	10	5135454289099175652	10643338997898779043	94434748485633010	4811523420693999866	-8030.6845703125	0.0000000004	10.7958148699	1.3946941133
11	5	4857078269151549616	6925199430973522422	86737646063737415	4821520915349034603	-8031.1201171875	0.0000000003	0.7146233408	10.6515131093
1	7	2368437438886534048	3407315660741998918	6832540841757275492	7540440663404736876	-8031.2285156250	0.0000000002	18.7538400073	8.4152646949
1	4	2368437438886534048	5135454289099175652	15470942798614411960	18226306572655124156	-8031.2768554688	0.0000000002	18.8021798511	11.3881000262
10	0	10643338997898779043	11980647480481983567	8010273140996601989	10771092011742752719	-8031.6147460938	0.0000000002	2.3248698946	22.2568945243
1	9	2368437438886534048	9915382808789733087	1015983413551176582	18091953506337471859	-8032.5366210938	0.0000000001	20.0619454761	6.9822098550
7	5	3407315660741998918	6925199430973522422	5425080959354792227	6872065404459535684	-8032.5639648438	0.0000000001	9.7507139137	12.0953607656
3	5	3271363114651503806	6925199430973522422	2992754788799806114	14925712645266516042	-8032.9755859375	0.0000000000	16.2250277200	12.5069818593
6	8	4547092858312465736	7646423808209864380	716600341796864352	11281499372305326544	-8033.8027343750	0.0000000000	11.4703744911	8.5838749468
1	12	2368437438886534048	11936920668185805881	17297875531365055179	18285495436799040739	-8034.5937500000	0.0000000000	22.1190743823	1.8230698577
11	4	4857078269151549616	5135454289099175652	3233247110611424429	16624428082986830856	-8034.6904296875	0.0000000000	4.2849358408	14.8016742449
11	0	4857078269151549616	11980647480481983567	1761529270230069503	2010574230308497303	-8035.4975585938	0.0000000000	5.0920647470	26.1397070243
9	0	9915382808789733087	11980647480481983567	654042995499715427	15786215592635046830	-8035.5146484375	0.0000000000	9.9602371988	26.1567968680
6	2	4547092858312465736	10016259065765636172	7338925358243881695	15975428589724282874	-8036.0214843750	0.0000000000	13.6891244911	19.5247169165
7	9	3407315660741998918	9915382808789733087	8755769556044510750	17028272245016904573	-8036.1337890625	0.0000000000	13.3205381324	10.5793778238
5	2	6925199430973522422	10016259065765636172	11012868420034519447	13673505164867147659	-8036.4785156250	0.0000000000	16.0099115468	19.9817481665
10	12	10643338997898779043	11936920668185805881	8996983337104375161	17297875531365055179	-8037.5336914062	0.0000000000	8.2438152071	4.7630112639
13	2	8632831784179799418	10016259065765636172	8632831784179799418	9451331945371946118	-8037.6625976562	0.0000000000	2.1489465643	21.1658301977
1	5	2368437438886534048	6925199430973522422	3524598670438954254	15017986886157302843	-8037.7475585938	0.0000000000	25.2728829761	17.2789545156
9	12	9915382808789733087	11936920668185805881	5037487209585131519	11936920668185805881	-8039.1064453125	0.0000000000	13.5520340738	6.3357651702
3	4	3271363114651503806	5135454289099175652	4661333069944483611	8831571370608282975	-8039.1250000000	0.0000000000	22.3744417825	19.2362445574
6	0	4547092858312465736	11980647480481983567	4392007810039529995	12302673464895649288	-8039.2392578125	0.0000000000	16.9068979286	29.8814062430
8	0	7646423808209864380	11980647480481983567	8976645479629357445	10628074836271098575	-8039.7333984375	0.0000000000	14.5145390093	30.3755468680
3	13	3271363114651503806	8632831784179799418	1831575868869210991	18220585472239326605	-8040.7080078125	0.0000000000	23.9574495950	5.1943567205
1	13	2368437438886534048	8632831784179799418	11136425324681056872	16416347973243277068	-8041.0107421875	0.0000000000	28.5360665698	5.4970910955
7	0	3407315660741998918	11980647480481983567	10299040829232222092	14955910983086857724	-8041.1533203125	0.0000000000	18.3400693824	31.7954687430
6	12	4547092858312465736	11936920668185805881	3319509984646922429	11940782563960007314	-8041.3471679688	0.0000000000	19.0148080848	8.5764878264
5	8	6925199430973522422	7646423808209864380	11432203998576559908	15601433224543802812	-8042.1518554688	0.0000000000	21.6832513906	16.9329960406
3	12	3271363114651503806	11936920668185805881	6767563797172134502	10042597419446592357	-8043.2290039062	0.0000000000	26.4784456887	10.4583237639
4	5	5135454289099175652	6925199430973522422	7029154570814842417	12358675143842527281	-8044.1372070312	0.0000000000	24.2484515887	23.6686029531
5	14	6925199430973522422	18241009177151967742	15554563678491295644	18241009177151967742	-8044.3291015625	0.0000000000	23.8604974843	0.3667002353
3	11	3271363114651503806	4857078269151549616	9914281886259889476	17853432295514619643	-8044.5151367188	0.0000000000	27.7645785012	14.1096428720
12	0	11936920668185805881	11980647480481983567	7026614393144158076	16466081321664748271	-8045.8945312500	0.0000000000	13.1238511077	36.5366796805
3	7	3271363114651503806	3407315660741998918	898919469239036116	15226596376367283115	-8046.2089843750	0.0000000000	29.4584261575	23.3957334449
1	11	2368437438886534048	4857078269151549616	6367592822963017115	11952067279913358244	-8046.3964843750	0.0000000000	33.9218087573	15.9909905283
9	10	9915382808789733087	10643338997898779043	7542443593193628892	11723349680058704156	-8046.5981445312	0.0000000000	21.0437332925	17.3082683321
11	10	4857078269151549616	10643338997898779043	1130890089935426841	16659480979237583979	-8047.2768554688	0.0000000000	16.8713616220	17.9869792696
6	11	4547092858312465736	4857078269151549616	2855837158943419568	3289267810103141465	-8047.8994140625	0.0000000000	25.5670541786	17.4939202158
7	13	3407315660741998918	8632831784179799418	11445973274963624898	11868263641073853993	-8047.9360351562	0.0000000000	25.1227842262	12.4223840643
3	9	3271363114651503806	9915382808789733087	15730170124847894650	17654622625572239377	-8047.9462890625	0.0000000000	31.1957308450	22.3918778238
8	2	7646423808209864380	10016259065765636172	6139338564795587311	10994851415981261276	-8048.3193359375	0.0000000000	23.1004765093	31.8225684790
4	12	5135454289099175652	11936920668185805881	12134813051557046236	14497234441529023634	-8048.6650390625	0.0000000000	28.7762836199	15.8943589202
5	13	6925199430973522422	8632831784179799418	7041440495070517851	9803743985633197269	-8049.2070312500	0.0000000000	28.7384271718	13.6933801580
5	10	6925199430973522422	10643338997898779043	9982710296227887025	10898366661937497831	-8049.5693359375	0.0000000000	29.1007318593	20.2794597383
9	2	9915382808789733087	10016259065765636172	763610083305304817	13728257871554363227	-8049.6308593750	0.0000000000	24.0764481363	33.1340919165
5	9	6925199430973522422	9915382808789733087	3865403552412814133	9443041561292545659	-8049.6962890625	0.0000000000	29.2276849843	24.1418778238
8	12	7646423808209864380	11936920668185805881	3602331456931786994	14505200150290553151	-8050.8974609375	0.0000000000	25.6786015093	18.1267807952
15	1	2310168232479834778	2368437438886534048	2310168232479834778	16270083649179193053	-8051.0952148438	0.0000000000	0.0218306140	38.6205392261
16	11	2366885871750587334	4857078269151549616	2366885871750587334	12674397388744516368	-8051.6464843750	0.0000000000	0.0952372437	21.2409905283
15	12	2310168232479834778	11936920668185805881	2310168232479834778	18076016570077221222	-8051.6586914062	0.0000000000	0.5853071765	18.8880112639
16	14	2366885871750587334	18241009177151967742	2366885871750587334	6940902108094542036	-8051.8310546875	0.0000000000	0.2798075562	7.8686533603
11	12	4857078269151549616	11936920668185805881	552241107299263670	6606449425275260778	-8052.4360351562	0.0000000000	22.0305413095	19.6653550139
