section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	48
local	posteriorMassOfLocalPeaks	0.5462744869
local	meanUphillFraction	0.4998854761
local	posteriorWeightedMeanUphillFraction	0.0358863441
local	meanBestNeighborLnLDifference	19.7993440953
local	posteriorWeightedMeanBestNeighborLnLDifference	0.0527022370
local	meanNeighborAbsLnLDifference	8.1969510916
local	posteriorWeightedMeanNeighborAbsLnLDifference	12.2905104486
basin	numPeaks	48
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	1
basin	largestBasinSize	634106
basin	largestBasinMass	0.9847102021
basin	basinMassEntropy	0.0811448408
basin	effectiveNumBasins	1.0845279691
basin	mapTreeHash	5874517974390222770
basin	mapPeakHash	5874517974390222770
basin	mapPeakId	0
basin	mapBasinMass	0.9847102021
basin	posteriorMassOutsideMapBasin	0.0152897979
ascent	meanAscentLength	10.1371221371
ascent	posteriorWeightedMeanAscentLength	0.7582801089
ascent	meanAscentLengthCredible95	2.1666666667
ascent	posteriorWeightedMeanAscentLengthCredible95	0.7353510147
ascent	maxAscentLength	29
credible95	credible95NumTrees	6
credible95	credible95Mass	0.9560905976
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	6
credible95	credible95LargestComponentMass	0.9560905976
credible95	credible95MapComponentSize	6
credible95	credible95MapComponentMass	0.9560905976
barrier	basinGraphEdges	991
barrier	meanBasinGraphDegree	41.2916666667
barrier	mapBasinGraphDegree	47
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	9.6325864618
barrier	meanBarrier	44.8154571476
barrier	posteriorWeightedMeanBarrier	7.5132456569
barrier	maxBarrier	143.8163645121

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	5874517974390222770	0.5375785955	634106	0.9847102021
1	383973396239497234	0.0084331202	375915	0.0148427642
2	7604814475627013949	0.0002572329	78201	0.0004409529
3	4183733511738232621	0.0000054296	71067	0.0000059206
4	9024492492365768215	0.0000000981	151371	0.0000001448
5	3385796812958382910	0.0000000083	135018	0.0000000106
6	9582979206688607472	0.0000000013	16175	0.0000000031
7	1796989720132837495	0.0000000008	19915	0.0000000016
8	1839343803567254752	0.0000000001	27909	0.0000000001
9	5746666710665073476	0.0000000000	24534	0.0000000000
10	754947880694956163	0.0000000000	9802	0.0000000000
11	3001278052383147661	0.0000000000	3803	0.0000000000
12	14394349440709765673	0.0000000000	16302	0.0000000000
13	15062700894552547369	0.0000000000	25571	0.0000000000
14	1968597673214381706	0.0000000000	3500	0.0000000000
15	10889985071537923578	0.0000000000	39324	0.0000000000
16	16760675531699762610	0.0000000000	22709	0.0000000000
17	12019777639744586537	0.0000000000	8213	0.0000000000
18	4102021481620702813	0.0000000000	12055	0.0000000000
19	4456958143231976993	0.0000000000	37800	0.0000000000
20	11948823402266708910	0.0000000000	41255	0.0000000000
21	5460945689865835779	0.0000000000	13004	0.0000000000
22	8084408184248863152	0.0000000000	72938	0.0000000000
23	6253649888491474579	0.0000000000	29095	0.0000000000
24	16916071204564990963	0.0000000000	5907	0.0000000000
25	15842488174011736914	0.0000000000	10236	0.0000000000
26	6939462828963091689	0.0000000000	2363	0.0000000000
27	11944859071411479555	0.0000000000	29678	0.0000000000
28	7678506972583948757	0.0000000000	7891	0.0000000000
29	2333186330148494937	0.0000000000	12056	0.0000000000
30	12275435012016799356	0.0000000000	12056	0.0000000000
31	8677021675660175084	0.0000000000	4880	0.0000000000
32	17721363126477514040	0.0000000000	921	0.0000000000
33	16861076980183817118	0.0000000000	22189	0.0000000000
34	5380568022192713325	0.0000000000	2044	0.0000000000
35	384338114271739224	0.0000000000	14964	0.0000000000
36	6581859286858331108	0.0000000000	7535	0.0000000000
37	14993917302309667038	0.0000000000	4785	0.0000000000
38	14425606513275351767	0.0000000000	1532	0.0000000000
39	12448359132345075491	0.0000000000	3391	0.0000000000
40	16535145090002969504	0.0000000000	2321	0.0000000000
41	10108700564787259822	0.0000000000	591	0.0000000000
42	2227060936785475869	0.0000000000	237	0.0000000000
43	1773230080302454734	0.0000000000	6622	0.0000000000
44	6743523441069707817	0.0000000000	613	0.0000000000
45	10526932698018637905	0.0000000000	3757	0.0000000000
46	9988977233721128909	0.0000000000	745	0.0000000000
47	608691779696482770	0.0000000000	129	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	383973396239497234	5874517974390222770	5528032227831353305	6048360497462272042	-10280.8525390625	0.0000352468	5.4776783216	9.6325864618
0	2	5874517974390222770	7604814475627013949	4086090285553701483	4593130431803895541	-10281.0136718750	0.0000299853	9.7937192743	2.1488709440
1	2	383973396239497234	7604814475627013949	2375847600362976140	11061469133668501168	-10285.9345703125	0.0000002189	10.5597095716	7.0697693815
3	2	4183733511738232621	7604814475627013949	14146418286523056272	16517984310543363983	-10287.1943359375	0.0000000621	4.4714144462	8.3295350065
1	5	383973396239497234	3385796812958382910	3385796812958382910	18359533388054727388	-10291.5126953125	0.0000000008	16.1378345716	2.3067096011
0	6	5874517974390222770	9582979206688607472	8531697330715716422	14180775147365797409	-10291.8994140625	0.0000000006	20.6794614618	0.8470136896
0	4	5874517974390222770	9024492492365768215	4141576917601880765	8807723009658018460	-10292.4287109375	0.0000000003	21.2087583368	5.6926121469
3	0	4183733511738232621	5874517974390222770	12319987925751510474	16701912529212115498	-10292.4794921875	0.0000000003	9.7565706962	21.2595395868
3	4	4183733511738232621	9024492492365768215	13575924476543718925	14031213286698102599	-10293.3632812500	0.0000000001	10.6403597587	6.6271824594
7	6	1796989720132837495	9582979206688607472	11782626639048989228	16999462917267558674	-10293.5058593750	0.0000000001	2.0005932106	2.4534590021
7	0	1796989720132837495	5874517974390222770	2651211156067354057	10026569526455814460	-10294.4472656250	0.0000000000	2.9419994606	23.2273130243
2	4	7604814475627013949	9024492492365768215	7542244625875208448	16392627709985775189	-10294.8847656250	0.0000000000	16.0199646940	8.1486668344
1	8	383973396239497234	1839343803567254752	1839343803567254752	8807412603912768031	-10295.0537109375	0.0000000000	19.6788501966	1.5878152095
7	4	1796989720132837495	9024492492365768215	1796989720132837495	13967560481199383353	-10295.4462890625	0.0000000000	3.9410228981	8.7101902719
8	3	1839343803567254752	4183733511738232621	1839343803567254752	14606851621536128987	-10296.2099609375	0.0000000000	2.7440652095	13.4870394462
8	2	1839343803567254752	7604814475627013949	1839343803567254752	17364815142109953673	-10297.0566406250	0.0000000000	3.5907448970	18.1918396940
10	0	754947880694956163	5874517974390222770	754947880694956163	8527097730726586307	-10298.3750000000	0.0000000000	0.8056347083	27.1550473993
11	0	3001278052383147661	5874517974390222770	3001278052383147661	17962135662708037945	-10298.8955078125	0.0000000000	0.8153879496	27.6755552118
4	6	9024492492365768215	9582979206688607472	12899965498708098567	13967560481199383353	-10298.9638671875	0.0000000000	12.2277683969	7.9114668146
1	3	383973396239497234	4183733511738232621	8807412603912768031	11910007642786296013	-10299.0351562500	0.0000000000	23.6602955091	16.3122347587
5	4	3385796812958382910	9024492492365768215	4905347069605342048	8499248152441176199	-10300.2890625000	0.0000000000	11.0830767886	13.5529637094
9	0	5746666710665073476	5874517974390222770	12262311699117656819	12786730292850289644	-10300.3466796875	0.0000000000	3.4187303794	29.1267270868
9	12	5746666710665073476	14394349440709765673	8705571718716015738	14394349440709765673	-10300.3867187500	0.0000000000	3.4587694419	1.5880253467
9	6	5746666710665073476	9582979206688607472	8762335912718769634	12786730292850289644	-10300.5400390625	0.0000000000	3.6120897544	9.4876386896
0	13	5874517974390222770	15062700894552547369	1045037298683596169	15062700894552547369	-10300.7675781250	0.0000000000	29.5476255243	0.5899510544
7	12	1796989720132837495	14394349440709765673	14394349440709765673	15271714122189242679	-10301.6093750000	0.0000000000	10.1041088356	2.8106815967
4	12	9024492492365768215	14394349440709765673	2450026562686960475	14394349440709765673	-10302.1884765625	0.0000000000	15.4523777719	3.3897831592
14	0	1968597673214381706	5874517974390222770	1968597673214381706	14219218043520747370	-10302.3339843750	0.0000000000	0.1053871831	31.1140317743
14	6	1968597673214381706	9582979206688607472	1968597673214381706	2583813510028034688	-10302.6308593750	0.0000000000	0.4022621831	11.5784590021
10	13	754947880694956163	15062700894552547369	9489382912243747704	14259354804218440210	-10303.5244140625	0.0000000000	5.9550487708	3.3467869919
10	8	754947880694956163	1839343803567254752	3130651178442939307	4636757038192601601	-10303.6669921875	0.0000000000	6.0976268958	10.2010964595
14	9	1968597673214381706	5746666710665073476	1968597673214381706	8435862940870793933	-10303.6962890625	0.0000000000	1.4676918706	6.7683397544
7	9	1796989720132837495	5746666710665073476	8705571718716015738	9281406872833957428	-10303.7675781250	0.0000000000	12.2623119606	6.8396288169
1	4	383973396239497234	9024492492365768215	8650350969159990161	17593711923906711786	-10304.6425781250	0.0000000000	29.2677173841	17.9064793344
