section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	6
local	posteriorMassOfLocalPeaks	0.4399989116
local	meanUphillFraction	0.4905585772
local	posteriorWeightedMeanUphillFraction	0.0618560683
local	meanBestNeighborLnLDifference	38.3860080345
local	posteriorWeightedMeanBestNeighborLnLDifference	0.4084340304
local	meanNeighborAbsLnLDifference	11.0107338576
local	posteriorWeightedMeanNeighborAbsLnLDifference	12.8988565117
basin	numPeaks	6
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	2025118
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	16088072311982832910
basin	mapPeakHash	16088072311982832910
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	0.0000000000
ascent	meanAscentLength	10.9196265463
ascent	posteriorWeightedMeanAscentLength	0.6487173625
ascent	meanAscentLengthCredible95	1.1666666667
ascent	posteriorWeightedMeanAscentLengthCredible95	0.6126211053
ascent	maxAscentLength	21
credible95	credible95NumTrees	6
credible95	credible95Mass	0.9661687357
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	6
credible95	credible95LargestComponentMass	0.9661687357
credible95	credible95MapComponentSize	6
credible95	credible95MapComponentMass	0.9661687357
barrier	basinGraphEdges	10
barrier	meanBasinGraphDegree	3.3333333333
barrier	mapBasinGraphDegree	5
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	73.3322073677
barrier	meanBarrier	74.1901419481
barrier	posteriorWeightedMeanBarrier	36.7000436273
barrier	maxBarrier	237.7169729927

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	16088072311982832910	0.4399989116	2025118	1.0000000000
1	17396378301984669152	0.0000000000	872	0.0000000000
2	17665965588476132046	0.0000000000	397	0.0000000000
3	4385017028859549828	0.0000000000	375	0.0000000000
4	93817015914636814	0.0000000000	256	0.0000000000
5	7512685718666550709	0.0000000000	7	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	16088072311982832910	17396378301984669152	10132512326758832171	17396378301984669152	-3046.2434082031	0.0000000000	73.3322073677	0.0678798869
0	2	16088072311982832910	17665965588476132046	774190882330969322	17665965588476132046	-3142.3120117188	0.0000000000	169.4008108833	0.6701310174
3	0	4385017028859549828	16088072311982832910	4385017028859549828	9166141826557691878	-3149.0659179688	0.0000000000	0.6716204743	176.1547171333
1	2	17396378301984669152	17665965588476132046	7573769739591464242	11896404818206692975	-3149.3500976562	0.0000000000	103.1745693400	7.7082169549
3	1	4385017028859549828	17396378301984669152	2627907991369069379	2784664807827630483	-3157.3969726562	0.0000000000	9.0026751618	111.2214443400
4	0	93817015914636814	16088072311982832910	93817015914636814	2977279340033893422	-3161.7934570312	0.0000000000	0.4861458374	188.8822561958
3	2	4385017028859549828	17665965588476132046	13346359890721377943	15937729690633126801	-3192.6450195312	0.0000000000	44.2507220368	51.0031388299
4	2	93817015914636814	17665965588476132046	15772564160341062531	17375187824253637180	-3193.5769042969	0.0000000000	32.2695931030	51.9350235955
5	0	7512685718666550709	16088072311982832910	7512685718666550709	15394594589258690720	-3210.6281738281	0.0000000000	0.2941154684	237.7169729927
4	3	93817015914636814	4385017028859549828	6747351048969004739	16576288224576603427	-3267.6311035156	0.0000000000	106.3237923218	119.2368060212
