section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	15
local	posteriorMassOfLocalPeaks	0.8520359120
local	meanUphillFraction	0.4999122218
local	posteriorWeightedMeanUphillFraction	0.0106345745
local	meanBestNeighborLnLDifference	38.2610433649
local	posteriorWeightedMeanBestNeighborLnLDifference	-1.2386206361
local	meanNeighborAbsLnLDifference	13.5777172564
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.3923789665
basin	numPeaks	15
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	923922
basin	largestBasinMass	0.9974139662
basin	basinMassEntropy	0.0179949579
basin	effectiveNumBasins	1.0181578427
basin	mapTreeHash	2870967922423119304
basin	mapPeakHash	2870967922423119304
basin	mapPeakId	0
basin	mapBasinMass	0.9974139662
basin	posteriorMassOutsideMapBasin	0.0025860338
ascent	meanAscentLength	10.8285936286
ascent	posteriorWeightedMeanAscentLength	0.1482736008
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.1458854002
ascent	maxAscentLength	24
credible95	credible95NumTrees	2
credible95	credible95Mass	0.9963428870
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	2
credible95	credible95LargestComponentMass	0.9963428870
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.9963428870
barrier	basinGraphEdges	96
barrier	meanBasinGraphDegree	12.8000000000
barrier	mapBasinGraphDegree	14
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	8.5946784524
barrier	meanBarrier	69.3950734602
barrier	posteriorWeightedMeanBarrier	5.2440695419
barrier	maxBarrier	296.0308936324

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	2870967922423119304	0.8509910062	923922	0.9974139662
1	8503988867675560274	0.0010444460	561955	0.0025854319
2	792803319761188329	0.0000004596	280412	0.0000006017
3	10198584476546627274	0.0000000002	59549	0.0000000002
4	3829751152940691828	0.0000000000	37078	0.0000000000
5	5247846392087791657	0.0000000000	20930	0.0000000000
6	16393983788334470586	0.0000000000	57995	0.0000000000
7	15640370084378316098	0.0000000000	78480	0.0000000000
8	3900591401446325758	0.0000000000	1198	0.0000000000
9	17011690504967338450	0.0000000000	1561	0.0000000000
10	7095251626885902155	0.0000000000	2092	0.0000000000
11	14587690802677974397	0.0000000000	986	0.0000000000
12	13402267296112360766	0.0000000000	664	0.0000000000
13	14039454163682028397	0.0000000000	131	0.0000000000
14	193094558787805893	0.0000000000	72	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	2870967922423119304	8503988867675560274	8115613508094187979	11167150417369755274	-12320.4248046875	0.0001575059	8.5946784524	1.8917634827
2	0	792803319761188329	2870967922423119304	792803319761188329	3386666819457658727	-12327.8984375000	0.0000000895	1.6368634697	16.0683112649
0	3	2870967922423119304	10198584476546627274	7374944880294167255	10198584476546627274	-12338.5878906250	0.0000000000	26.7577643899	4.4635108199
2	1	792803319761188329	8503988867675560274	1962062056555435304	12314349739146770612	-12340.9472656250	0.0000000000	14.6856915947	22.4142244202
2	4	792803319761188329	3829751152940691828	7338925358243881695	16878766679992316973	-12345.6347656250	0.0000000000	19.3731915947	4.3917598501
4	1	3829751152940691828	8503988867675560274	2423065872821122838	7338925358243881695	-12345.6347656250	0.0000000000	4.3917598501	27.1017244202
0	4	2870967922423119304	3829751152940691828	1860595840967385067	3829751152940691828	-12349.0742187500	0.0000000000	37.2440925149	7.8312129751
5	1	5247846392087791657	8503988867675560274	5247846392087791657	12699372515667593010	-12349.7255859375	0.0000000000	1.5988633503	31.1925447327
1	3	8503988867675560274	10198584476546627274	1625815550427367973	8178308807837218395	-12352.6181640625	0.0000000000	34.0851228577	18.4937842574
5	3	5247846392087791657	10198584476546627274	5247846392087791657	15774820266278953690	-12352.9423828125	0.0000000000	4.8156602253	18.8180030074
0	5	2870967922423119304	5247846392087791657	5736412801197173962	12061609414930144070	-12353.0507812500	0.0000000000	41.2206550149	4.9240586628
1	6	8503988867675560274	16393983788334470586	6729003599781357050	14920575531172234350	-12355.9023437500	0.0000000000	37.3693025452	2.1981737093
2	3	792803319761188329	10198584476546627274	13726204900489085358	14192312651912633123	-12357.2890625000	0.0000000000	31.0274884697	23.1646826949
2	7	792803319761188329	15640370084378316098	7138701166185608094	13371424665105654505	-12361.6796875000	0.0000000000	35.4181134697	4.4025838348
4	7	3829751152940691828	15640370084378316098	12322326129054050287	15343620585143601894	-12364.2597656250	0.0000000000	23.0167598501	6.9826619598
7	6	15640370084378316098	16393983788334470586	7444160155986630666	10538514154309816202	-12364.6142578125	0.0000000000	7.3371541473	10.9100877718
1	7	8503988867675560274	15640370084378316098	7444160155986630666	10044027161007198589	-12365.8447265625	0.0000000000	47.3116853577	8.5676228973
0	7	2870967922423119304	15640370084378316098	4670350676001446377	10505480859507272409	-12367.3447265625	0.0000000000	55.5146003274	10.0676228973
0	6	2870967922423119304	16393983788334470586	5917038229549796640	11735387482331838513	-12368.3681640625	0.0000000000	56.5380378274	14.6639940218
2	6	792803319761188329	16393983788334470586	3054708617835180118	17441916510561042498	-12368.9443359375	0.0000000000	42.6827619072	15.2401658968
