section	statistic	value
summary	numTrees	2027025
summary	numEdges	295527487
summary	meanDegree	291.5874125874
local	numLocalPeaks	1
local	posteriorMassOfLocalPeaks	0.3486742551
local	meanUphillFraction	0.4960200577
local	posteriorWeightedMeanUphillFraction	0.0076772864
local	meanBestNeighborLnLDifference	124.4374266883
local	posteriorWeightedMeanBestNeighborLnLDifference	1.1724774828
local	meanNeighborAbsLnLDifference	25.2880863629
local	posteriorWeightedMeanNeighborAbsLnLDifference	54.6019616510
basin	numPeaks	1
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	2027025
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	-0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	11864084796413165844
basin	mapPeakHash	11864084796413165844
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	-0.0000000000
ascent	meanAscentLength	4.5651790185
ascent	posteriorWeightedMeanAscentLength	0.7315775485
ascent	meanAscentLengthCredible95	1.1176470588
ascent	posteriorWeightedMeanAscentLengthCredible95	0.6919241506
ascent	maxAscentLength	7
credible95	credible95NumTrees	17
credible95	credible95Mass	0.9523363254
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	17
credible95	credible95LargestComponentMass	0.9523363254
credible95	credible95MapComponentSize	17
credible95	credible95MapComponentMass	0.9523363254
barrier	basinGraphEdges	0
barrier	meanBasinGraphDegree	0.0000000000
barrier	mapBasinGraphDegree	0
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	0.0000000000
barrier	meanBarrier	0.0000000000
barrier	posteriorWeightedMeanBarrier	0.0000000000
barrier	maxBarrier	0.0000000000

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	11864084796413165844	0.3486742551	2027025	1.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
