section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	25
local	posteriorMassOfLocalPeaks	0.2397206916
local	meanUphillFraction	0.4927787909
local	posteriorWeightedMeanUphillFraction	0.1060475019
local	meanBestNeighborLnLDifference	12.1039046738
local	posteriorWeightedMeanBestNeighborLnLDifference	0.8037018601
local	meanNeighborAbsLnLDifference	4.5236518345
local	posteriorWeightedMeanNeighborAbsLnLDifference	6.8370761489
basin	numPeaks	25
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	1
basin	largestBasinSize	644096
basin	largestBasinMass	0.9507296600
basin	basinMassEntropy	0.1969134058
basin	effectiveNumBasins	1.2176385958
basin	mapTreeHash	13871337096678400226
basin	mapPeakHash	13871337096678400226
basin	mapPeakId	0
basin	mapBasinMass	0.9507296600
basin	posteriorMassOutsideMapBasin	0.0492703400
ascent	meanAscentLength	10.1424886225
ascent	posteriorWeightedMeanAscentLength	1.3308934142
ascent	meanAscentLengthCredible95	1.7916666667
ascent	posteriorWeightedMeanAscentLengthCredible95	1.2741459274
ascent	maxAscentLength	23
credible95	credible95NumTrees	24
credible95	credible95Mass	0.9533495217
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	21
credible95	credible95LargestComponentMass	0.9121104292
credible95	credible95MapComponentSize	21
credible95	credible95MapComponentMass	0.9121104292
barrier	basinGraphEdges	283
barrier	meanBasinGraphDegree	22.6400000000
barrier	mapBasinGraphDegree	24
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	5.9146324500
barrier	meanBarrier	25.6049053711
barrier	posteriorWeightedMeanBarrier	4.7897431757
barrier	maxBarrier	74.5243381660

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	13871337096678400226	0.2170049817	644096	0.9507296600
1	3145368506380147429	0.0226857340	369914	0.0492022011
2	4847690154216819309	0.0000251891	135074	0.0000595147
3	1794495616524050231	0.0000024088	262379	0.0000050004
4	10034525331251806011	0.0000016968	59487	0.0000020430
5	18053295813964894369	0.0000003491	132046	0.0000006703
6	6419012701990514701	0.0000003081	146151	0.0000008575
7	15741092437790820062	0.0000000154	45058	0.0000000273
8	4082691580623491599	0.0000000086	50919	0.0000000254
9	15536256549007645941	0.0000000001	17628	0.0000000001
10	165288350909462483	0.0000000000	11177	0.0000000000
11	10334602604355831122	0.0000000000	28559	0.0000000000
12	14021216200313225161	0.0000000000	18506	0.0000000000
13	3399799676176879235	0.0000000000	32174	0.0000000000
14	16631169613740335243	0.0000000000	19249	0.0000000000
15	1019447090273515639	0.0000000000	6555	0.0000000000
16	5406849495933628930	0.0000000000	6475	0.0000000000
17	4077820340331101249	0.0000000000	21935	0.0000000000
18	6387018444082811531	0.0000000000	9011	0.0000000000
19	10418242485808949898	0.0000000000	5107	0.0000000000
20	15749539636955644638	0.0000000000	1678	0.0000000000
21	6167178044607810403	0.0000000000	2019	0.0000000000
22	16544568066576985109	0.0000000000	621	0.0000000000
23	15256604489715936653	0.0000000000	454	0.0000000000
24	153035825777059933	0.0000000000	753	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	3145368506380147429	13871337096678400226	3145368506380147429	5863664823487335276	-2785.4431152344	0.0005858264	3.6564484103	5.9146324500
2	0	4847690154216819309	13871337096678400226	4847690154216819309	18104394574671476334	-2790.2963867188	0.0000045711	1.7066394553	10.7679039344
4	0	10034525331251806011	13871337096678400226	3319417996559797464	10034525331251806011	-2792.3625488281	0.0000005790	1.0751194160	12.8340660438
6	5	6419012701990514701	18053295813964894369	7418377347468404178	8287293567774665677	-2794.5014648438	0.0000000682	1.5079622062	1.6328781988
6	4	6419012701990514701	10034525331251806011	4277254992589200060	18224724162991339591	-2794.5493164062	0.0000000650	1.5558137687	3.2618869941
1	7	3145368506380147429	15741092437790820062	10244516360528618676	15741092437790820062	-2796.1386718750	0.0000000133	14.3520050509	0.1502727550
6	0	6419012701990514701	13871337096678400226	8162239726399247277	13633765476397889477	-2796.8291015625	0.0000000067	3.8355989249	17.3006187781
7	5	15741092437790820062	18053295813964894369	15741092437790820062	17528028566195909778	-2797.1423339844	0.0000000049	1.1539348643	4.2737473394
3	1	1794495616524050231	3145368506380147429	13357926874710560700	16032762038849318239	-2797.4138183594	0.0000000037	6.4767715791	15.6271515353
8	0	4082691580623491599	13871337096678400226	2222292298127260157	17870892240140687867	-2797.6552734375	0.0000000029	1.0827122545	18.1267906531
1	5	3145368506380147429	18053295813964894369	5016668087787296148	16881778117123538307	-2798.1115722656	0.0000000018	16.3249054415	5.2429856207
1	6	3145368506380147429	6419012701990514701	6463161147634206798	13357926874710560700	-2799.1477050781	0.0000000007	17.3610382540	6.1542024406
3	6	1794495616524050231	6419012701990514701	6463161147634206798	12066395483449673278	-2799.7185058594	0.0000000004	8.7814590791	6.7250032218
4	5	10034525331251806011	18053295813964894369	5573592993487072447	13890032603541356377	-2800.0493164062	0.0000000003	8.7618869941	7.1807297613
6	7	6419012701990514701	15741092437790820062	14377798112371243106	14479779890005224170	-2800.2592773438	0.0000000002	7.2657747062	4.2708782237
1	2	3145368506380147429	4847690154216819309	4099014234450522350	12154781072676941820	-2800.7155761719	0.0000000001	18.9289093478	12.1258289084
1	4	3145368506380147429	10034525331251806011	14033747454446544115	16693709996401773383	-2800.9172363281	0.0000000001	19.1305695040	9.6298069160
2	5	4847690154216819309	18053295813964894369	6355017053653273302	15939205314935939735	-2801.1921386719	0.0000000001	12.6023914084	8.3235520269
9	5	15536256549007645941	18053295813964894369	3157302453164848530	15536256549007645941	-2801.6406250000	0.0000000001	0.1973472439	8.7720383550
0	5	13871337096678400226	18053295813964894369	7867720169688943814	12193398506749118022	-2802.2033691406	0.0000000000	22.6748863563	9.3347824957
3	7	1794495616524050231	15741092437790820062	4909159806767494409	7317690230123621515	-2802.3835449219	0.0000000000	11.4464981416	6.3951458018
1	8	3145368506380147429	4082691580623491599	1553519325211799160	17631083418283687781	-2803.1711425781	0.0000000000	21.3844757540	6.5985813951
3	0	1794495616524050231	13871337096678400226	12066395483449673278	15195389205317774422	-2803.3862304688	0.0000000000	12.4491836885	23.8577476844
10	1	165288350909462483	3145368506380147429	165288350909462483	14917873033605063638	-2803.9743652344	0.0000000000	0.3498496449	22.1876984103
