cycle	numReps	meanDiscoveredMass	seDiscoveredMass	meanUndiscoveredMass	seUndiscoveredMass	meanCredible95MassDiscovered	seCredible95MassDiscovered	tau95Fraction	meanTau95	seTau95	meanMeanTrueP	seMeanTrueP	mapFirstHitCycle_rep1	mapFirstHitCycle_rep2	mapFirstHitCycle_rep3	mapFirstHitCycle_rep4	mapFirstHitCycle_rep5	mapFirstHitCycle_rep6	mapFirstHitCycle_rep7	mapFirstHitCycle_rep8	mapFirstHitCycle_rep9	mapFirstHitCycle_rep10	mapFirstHitCycle_rep11	mapFirstHitCycle_rep12	mapFirstHitCycle_rep13	mapFirstHitCycle_rep14	mapFirstHitCycle_rep15	mapFirstHitCycle_rep16	mapFirstHitCycle_rep17	mapFirstHitCycle_rep18	mapFirstHitCycle_rep19	mapFirstHitCycle_rep20	mapFirstHitCycle_rep21	mapFirstHitCycle_rep22	mapFirstHitCycle_rep23	mapFirstHitCycle_rep24	mapFirstHitCycle_rep25	mapFirstHitCycle_rep26	mapFirstHitCycle_rep27	mapFirstHitCycle_rep28	mapFirstHitCycle_rep29	mapFirstHitCycle_rep30	mapFirstHitCycle_rep31	mapFirstHitCycle_rep32	mapFirstHitCycle_rep33	mapFirstHitCycle_rep34	mapFirstHitCycle_rep35	mapFirstHitCycle_rep36	mapFirstHitCycle_rep37	mapFirstHitCycle_rep38	mapFirstHitCycle_rep39	mapFirstHitCycle_rep40	mapFirstHitCycle_rep41	mapFirstHitCycle_rep42	mapFirstHitCycle_rep43	mapFirstHitCycle_rep44	mapFirstHitCycle_rep45	mapFirstHitCycle_rep46	mapFirstHitCycle_rep47	mapFirstHitCycle_rep48	mapFirstHitCycle_rep49	mapFirstHitCycle_rep50
1	50	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	50	0.000070	0.000065	0.999930	0.000065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000035	0.000033	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	50	0.020228	0.019186	0.979772	0.019186	0.019131	0.019131	0.020000	3.000000	0.000000	0.006743	0.006395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	50	0.309651	0.063604	0.690349	0.063604	0.306103	0.063746	0.320000	3.937500	0.062500	0.082306	0.017525	-1	4	4	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	4	4	3	4	4	-1	-1	-1	4	-1	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	4	-1	4	-1
5	50	0.521507	0.067880	0.478493	0.067880	0.516550	0.068108	0.540000	4.370370	0.108711	0.169773	0.024734	-1	4	4	5	-1	-1	-1	5	4	4	5	-1	-1	-1	-1	4	4	3	4	4	-1	5	5	4	-1	-1	5	-1	4	-1	-1	4	-1	5	5	5	-1	-1	-1	5	4	4	-1	-1	5	-1	4	-1	4	-1
6	50	0.770887	0.054655	0.229113	0.054655	0.765259	0.054661	0.800000	4.900000	0.142325	0.266083	0.026307	6	4	4	5	-1	-1	-1	5	4	4	5	-1	-1	6	6	4	4	3	4	4	-1	5	5	4	6	6	5	-1	4	6	6	4	6	5	5	5	6	-1	6	5	4	4	6	6	5	-1	4	6	4	-1
7	50	0.809489	0.050181	0.190511	0.050181	0.803522	0.050098	0.840000	5.000000	0.152410	0.337601	0.027557	6	4	4	5	-1	-1	-1	5	4	4	5	7	-1	6	6	4	4	3	4	4	-1	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	-1	6	5	4	4	6	6	5	-1	4	6	4	-1
8	50	0.867657	0.040967	0.132343	0.040967	0.860916	0.040996	0.900000	5.200000	0.181464	0.400763	0.027768	6	4	4	5	8	8	-1	5	4	4	5	7	8	6	6	4	4	3	4	4	-1	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	-1	6	5	4	4	6	6	5	-1	4	6	4	-1
9	50	0.887671	0.037236	0.112329	0.037236	0.880048	0.037073	0.920000	5.282609	0.195759	0.449900	0.027116	6	4	4	5	8	8	-1	5	4	4	5	7	8	6	6	4	4	3	4	4	-1	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	-1	6	5	4	4	6	6	5	9	4	6	4	-1
10	50	0.925934	0.027028	0.074066	0.027028	0.918310	0.026778	0.960000	5.479167	0.232527	0.494872	0.025757	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	-1	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	-1	6	5	4	4	6	6	5	9	4	6	4	10
20	50	0.966227	0.001450	0.033773	0.001450	0.956573	0.000000	1.000000	5.880000	0.358728	0.700154	0.018011	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
30	50	0.970325	0.001777	0.029675	0.001777	0.956573	0.000000	1.000000	5.880000	0.358728	0.766803	0.012151	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
40	50	0.972878	0.002019	0.027122	0.002019	0.956573	0.000000	1.000000	5.880000	0.358728	0.803903	0.009193	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
50	50	0.973987	0.002108	0.026013	0.002108	0.956573	0.000000	1.000000	5.880000	0.358728	0.828434	0.007835	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
60	50	0.975497	0.002197	0.024503	0.002197	0.956573	0.000000	1.000000	5.880000	0.358728	0.846655	0.006459	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
70	50	0.976790	0.002132	0.023210	0.002132	0.956573	0.000000	1.000000	5.880000	0.358728	0.858320	0.005758	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
80	50	0.978135	0.002091	0.021865	0.002091	0.956573	0.000000	1.000000	5.880000	0.358728	0.865891	0.005386	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
90	50	0.979309	0.002124	0.020691	0.002124	0.956573	0.000000	1.000000	5.880000	0.358728	0.873037	0.004844	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
100	50	0.982182	0.002028	0.017818	0.002028	0.956573	0.000000	1.000000	5.880000	0.358728	0.874824	0.004934	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
200	50	0.992645	0.001329	0.007355	0.001329	0.956573	0.000000	1.000000	5.880000	0.358728	0.893067	0.003495	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
300	50	0.995647	0.000869	0.004353	0.000869	0.956573	0.000000	1.000000	5.880000	0.358728	0.899081	0.002962	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
400	50	0.997031	0.000499	0.002969	0.000499	0.956573	0.000000	1.000000	5.880000	0.358728	0.903127	0.002255	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
500	50	0.997788	0.000386	0.002212	0.000386	0.956573	0.000000	1.000000	5.880000	0.358728	0.904345	0.002044	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
600	50	0.998123	0.000210	0.001877	0.000210	0.956573	0.000000	1.000000	5.880000	0.358728	0.906484	0.001900	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
700	50	0.998296	0.000196	0.001704	0.000196	0.956573	0.000000	1.000000	5.880000	0.358728	0.908195	0.001844	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
800	50	0.998679	0.000143	0.001321	0.000143	0.956573	0.000000	1.000000	5.880000	0.358728	0.909050	0.001712	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
900	50	0.998765	0.000137	0.001235	0.000137	0.956573	0.000000	1.000000	5.880000	0.358728	0.909405	0.001724	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
1000	50	0.998797	0.000137	0.001203	0.000137	0.956573	0.000000	1.000000	5.880000	0.358728	0.910177	0.001719	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
2000	50	0.999175	0.000059	0.000825	0.000059	0.956573	0.000000	1.000000	5.880000	0.358728	0.914314	0.001253	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
3000	50	0.999319	0.000052	0.000681	0.000052	0.956573	0.000000	1.000000	5.880000	0.358728	0.915036	0.000963	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
4000	50	0.999430	0.000048	0.000570	0.000048	0.956573	0.000000	1.000000	5.880000	0.358728	0.915027	0.000795	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
5000	50	0.999497	0.000046	0.000503	0.000046	0.956573	0.000000	1.000000	5.880000	0.358728	0.915551	0.000719	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
6000	50	0.999557	0.000045	0.000443	0.000045	0.956573	0.000000	1.000000	5.880000	0.358728	0.915960	0.000605	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
7000	50	0.999603	0.000041	0.000397	0.000041	0.956573	0.000000	1.000000	5.880000	0.358728	0.915716	0.000549	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
8000	50	0.999679	0.000029	0.000321	0.000029	0.956573	0.000000	1.000000	5.880000	0.358728	0.915408	0.000578	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
9000	50	0.999696	0.000027	0.000304	0.000027	0.956573	0.000000	1.000000	5.880000	0.358728	0.915148	0.000498	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
10000	50	0.999755	0.000027	0.000245	0.000027	0.956573	0.000000	1.000000	5.880000	0.358728	0.915067	0.000494	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
20000	50	0.999909	0.000011	0.000091	0.000011	0.956573	0.000000	1.000000	5.880000	0.358728	0.915593	0.000354	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
30000	50	0.999923	0.000010	0.000077	0.000010	0.956573	0.000000	1.000000	5.880000	0.358728	0.915876	0.000298	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
40000	50	0.999941	0.000007	0.000059	0.000007	0.956573	0.000000	1.000000	5.880000	0.358728	0.915897	0.000268	6	4	4	5	8	8	10	5	4	4	5	7	8	6	6	4	4	3	4	4	16	5	5	4	6	6	5	7	4	6	6	4	6	5	5	5	6	15	6	5	4	4	6	6	5	9	4	6	4	10
