section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	71
local	posteriorMassOfLocalPeaks	0.9567540723
local	meanUphillFraction	0.4865788180
local	posteriorWeightedMeanUphillFraction	0.0043448589
local	meanBestNeighborLnLDifference	31.3463325657
local	posteriorWeightedMeanBestNeighborLnLDifference	-3.4365112157
local	meanNeighborAbsLnLDifference	12.4123797415
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.1670785654
basin	numPeaks	71
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	467273
basin	largestBasinMass	0.9998164247
basin	basinMassEntropy	0.0017632372
basin	effectiveNumBasins	1.0017647926
basin	mapTreeHash	13940322141675501375
basin	mapPeakHash	13940322141675501375
basin	mapPeakId	0
basin	mapBasinMass	0.9998164247
basin	posteriorMassOutsideMapBasin	0.0001835753
ascent	meanAscentLength	9.8122356656
ascent	posteriorWeightedMeanAscentLength	0.0436240553
ascent	meanAscentLengthCredible95	0.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.0000000000
ascent	maxAscentLength	24
credible95	credible95NumTrees	1
credible95	credible95Mass	0.9565733934
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	1
credible95	credible95LargestComponentMass	0.9565733934
credible95	credible95MapComponentSize	1
credible95	credible95MapComponentMass	0.9565733934
barrier	basinGraphEdges	702
barrier	meanBasinGraphDegree	19.7746478873
barrier	mapBasinGraphDegree	67
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	26.8696429566
barrier	meanBarrier	86.3590261491
barrier	posteriorWeightedMeanBarrier	22.5844117423
barrier	maxBarrier	296.8877958941

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	13940322141675501375	0.9565733934	467273	0.9998164247
1	11993650843181535046	0.0001806375	270986	0.0001835328
2	16531372613019317365	0.0000000409	302307	0.0000000419
3	15359024489942092982	0.0000000005	130998	0.0000000006
4	3363193800092709526	0.0000000001	416679	0.0000000001
5	15218680173632198353	0.0000000000	18006	0.0000000000
6	1930472328265584947	0.0000000000	78563	0.0000000000
7	17748571174786502837	0.0000000000	35910	0.0000000000
8	9028929048894877113	0.0000000000	11469	0.0000000000
9	7089991791314083402	0.0000000000	13498	0.0000000000
10	5133041246497841227	0.0000000000	12983	0.0000000000
11	15399116508150339984	0.0000000000	42458	0.0000000000
12	11113158138541946373	0.0000000000	41251	0.0000000000
13	10145743082110905434	0.0000000000	21712	0.0000000000
14	9419846241024838160	0.0000000000	43146	0.0000000000
15	9862139535600805	0.0000000000	5851	0.0000000000
16	1330626491942655010	0.0000000000	20886	0.0000000000
17	7942649753865635285	0.0000000000	19832	0.0000000000
18	14569243558959732203	0.0000000000	18632	0.0000000000
19	13923406844324291804	0.0000000000	7433	0.0000000000
20	421643100292575889	0.0000000000	28742	0.0000000000
21	11524547973131240959	0.0000000000	9243	0.0000000000
22	14844742007295551442	0.0000000000	7714	0.0000000000
23	16520171566700863004	0.0000000000	73	0.0000000000
24	3954724485913335009	0.0000000000	433	0.0000000000
25	4291659517472418152	0.0000000000	73	0.0000000000
26	10455710094836959401	0.0000000000	278	0.0000000000
27	18164910871943640905	0.0000000000	6	0.0000000000
28	17668581314882703021	0.0000000000	28	0.0000000000
29	1950334851094163880	0.0000000000	42	0.0000000000
30	1502034777662907986	0.0000000000	46	0.0000000000
31	11242801417506144930	0.0000000000	16	0.0000000000
32	547879015599754888	0.0000000000	22	0.0000000000
33	16600342241667575434	0.0000000000	97	0.0000000000
34	5758841203289320496	0.0000000000	14	0.0000000000
35	464423080113127962	0.0000000000	27	0.0000000000
36	2296122815841935449	0.0000000000	13	0.0000000000
37	6672507286968009894	0.0000000000	15	0.0000000000
38	8516470539335001013	0.0000000000	12	0.0000000000
39	17853265189825989763	0.0000000000	3	0.0000000000
40	7039041914971718649	0.0000000000	7	0.0000000000
41	2492826542859794127	0.0000000000	38	0.0000000000
42	12299412750025058355	0.0000000000	13	0.0000000000
43	13226925821911394995	0.0000000000	4	0.0000000000
44	3639760460067492152	0.0000000000	22	0.0000000000
45	12993210964000509488	0.0000000000	5	0.0000000000
46	1643027625903258829	0.0000000000	11	0.0000000000
47	5736698748186567336	0.0000000000	12	0.0000000000
48	4132298291667132837	0.0000000000	18	0.0000000000
49	11608734901956515531	0.0000000000	6	0.0000000000
50	7954439446442797217	0.0000000000	16	0.0000000000
51	13292691416804620568	0.0000000000	5	0.0000000000
52	10173048394798867302	0.0000000000	9	0.0000000000
53	10227180572385240627	0.0000000000	4	0.0000000000
54	12531669751321223030	0.0000000000	6	0.0000000000
55	10470006149621968214	0.0000000000	5	0.0000000000
56	140596763415134435	0.0000000000	10	0.0000000000
57	12754911752208218123	0.0000000000	4	0.0000000000
58	14054484091089698115	0.0000000000	3	0.0000000000
59	532342847330142605	0.0000000000	4	0.0000000000
60	11898300834540334386	0.0000000000	5	0.0000000000
