move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	6.3791284308621879e-17	1	9.9999999999999995e-07	3.1199173186380354e-27	0.071428571428571425	0.039596154227293526	0.010013390039785493	0.99999999999999967	0.55434615906967621	28378350	0	1	1	1	194863	0	1	1	1	311910	0	1	1	1	536514	0	1	1	1	948429	0	1	1	1	1699139	0	1	1	1	3227076	0	0	0	nan	nan	0.99998860506814824	1.1394931851760326e-05	87758.313345728064	175515.62669145613	1	4	1	0	0.15713147296011878	0.61552554969051898	90589.868036796775	0	0.075230634560090215	nan	3.733584428382327	5.9232937912371341e+85	1029879	0.26783912863951925	7	0.95254155887792158	nan	nan	9.9999999999999995e-07	18544573.232578591
NNI2	0	NNI2 (0.000000)	2027025	1.6671640499077677e-16	1	9.9999999999999995e-07	2.7780955730677765e-43	0.0081967213114754103	0.0042419791921593985	0.0014961086820833142	1.0000000000000009	0.53448937828524345	255405150	0	1	1	1	6069961	0	1	1	1	9690902	0	1	1	1	15615951	0	1	1	1	24942369	0	1	1	1	39574697	0	1	1	1	61391129	0	0	0	nan	nan	0.99993902938413759	6.0970615862410149e-05	16401.343267659595	32801.68653531919	1	4	1	0	0.029953996928060701	0.18800699479148403	17964.070583760476	0	0.01551149578299796	nan	3.7335844283823238	5.9232937912371292e+85	865435	0.26783912863951947	7	0.95254155887792269	nan	nan	9.9999999999999995e-07	3465835.52650982
TBR	0	TBR (0.000000)	2027025	2.0073571950612746e-16	1	9.9999999999999995e-07	3.2041807992766504e-61	0.013114754098360656	0.0017212001155827036	0.0053855429637039891	0.95538057742781823	0.50015908906562045	589027950	0	1	1	1	35581327	0	1	1	1	50898592	0	1	1	1	71996113	0	1	1	1	100441263	0	1	1	1	138024939	0	1	1	1	186066193	0	0	0	nan	nan	0.99702936466202496	0.0029706353379750361	336.6283256704474	672.25665134089479	1	4	1	0	0.026266946234110768	0.15336078049513963	1749.0591321099505	0	0.012437678189323403	nan	3.7335844283823238	5.9232937912371292e+85	865435	0.26783912863951947	7	0.95254155887792269	nan	nan	9.9999999999999995e-07	71134.323759475345
NNI	0.02	NNI (0.020000)	2027025	6.2576521952315723e-17	1	9.9999999999999995e-07	8.1844377305575934e-27	0.2045591673669451	0.044736485776868846	0.011691648473200646	1.0000000000000002	0.62631080087774327	28378350	0	1	1	1	182912	0	1	1	1	294935	0	1	1	1	505361	0	1	1	1	907752	0	1	1	1	1635864	0	1	1	1	3141246	0	0	0	nan	nan	0.9999859908156925	1.4009184307495204e-05	71381.743437052166	142762.48687410433	1	4	1	0	0.19303206273875728	0.71337911549643107	73653.559872520127	0	0.092635633941017453	nan	3.733584428382327	5.9232937912371341e+85	1029879	0.26783912863951925	7	0.95254155887792158	nan	nan	9.9999999999999995e-07	15083957.409796888
NNI2	0.02	NNI2 (0.020000)	2027025	6.9519206652980572e-17	1	9.9999999999999995e-07	1.3832328306663963e-42	0.03880745395810354	0.0050379832853750892	0.0023051469764449194	1.0000000000000009	0.63478589399480623	255405150	0	1	1	1	5736683	0	1	1	1	9230684	0	1	1	1	15010316	0	1	1	1	24205065	0	1	1	1	38771544	0	1	1	1	60717779	0	0	0	nan	nan	0.99990871213536014	9.1287864639855165e-05	10954.358544206896	21907.717088413792	1	4	1	0	0.045297871128959805	0.26554019982153626	11983.671369953445	0	0.023433694939925358	nan	3.7335844283823238	5.9232937912371292e+85	865435	0.26783912863951947	7	0.95254155887792269	nan	nan	9.9999999999999995e-07	2314812.5264346381
TBR	0.02	TBR (0.020000)	2027025	2.544966044176942e-16	1	9.9999999999999995e-07	2.5100887460472565e-60	0.037983737073404175	0.0021205688816882534	0.0094853575596697617	0.97379669677718494	0.61621062465449716	589027950	0	1	1	1	34232341	0	1	1	1	49335113	0	1	1	1	70300328	0	1	1	1	98756740	0	1	1	1	136600433	0	1	1	1	185239594	0	0	0	nan	nan	0.99475969548391152	0.0052403045160884787	190.82860488924987	380.65720977849975	1	4	1	0	0.046362956586178922	0.24408465435879584	977.37157043137358	0	0.021953766612470178	nan	3.7335844283823238	5.9232937912371292e+85	865435	0.26783912863951947	7	0.95254155887792269	nan	nan	9.9999999999999995e-07	40324.78179441674
NNI	0.050000000000000003	NNI (0.050000)	2027025	6.209377181590871e-17	1	9.9999999999999995e-07	2.3315672870927492e-26	0.59648647636407448	0.051970901305064293	0.01363393116776861	1.0000000000000004	0.72759261827274369	28378350	0	1	1	1	168758	0	1	1	1	274347	0	1	1	1	467793	0	1	1	1	857058	0	1	1	1	1561074	0	1	1	1	3046225	0	0	0	nan	nan	0.99998188788082099	1.8112119179014563e-05	55211.650835350105	110422.3016707002	1	4	1	0	0.25035386064068721	0.85282191672819729	56971.328341220295	0	0.12057047893811201	nan	3.733584428382327	5.9232937912371341e+85	1029879	0.26783912863951925	7	0.95254155887792158	nan	nan	9.9999999999999995e-07	11667013.578514397
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	1.2827011958997543e-16	1	9.9999999999999995e-07	7.8298776243834208e-42	0.23622350928397429	0.006120202779841215	0.0041043756293236032	1.0000000000000007	0.77114555030628185	255405150	0	1	1	1	5364689	0	1	1	1	8726823	0	1	1	1	14366190	0	1	1	1	23487822	0	1	1	1	38149146	0	1	1	1	60560012	0	0	0	nan	nan	0.99984977731594904	0.00015022268405096018	6656.7842687511102	13312.56853750222	1	4	1	0	0.075208803118666331	0.40205859195875587	7265.9547305185351	0	0.038950983392998455	nan	3.7335844283823238	5.9232937912371292e+85	865435	0.26783912863951947	7	0.95254155887792269	nan	nan	9.9999999999999995e-07	1406670.5143986293
TBR	0.050000000000000003	TBR (0.050000)	2027025	1.1741513449530785e-16	1	9.9999999999999995e-07	1.7000242654371096e-59	0.27627713328134085	0.002674744515319058	0.017453284045305762	0.99543997765980075	0.7772470881838679	589027950	0	1	1	1	32939338	0	1	1	1	47964461	0	1	1	1	69038846	0	1	1	1	97930447	0	1	1	1	136693991	0	1	1	1	186849583	0	0	0	nan	nan	0.99031078838442932	0.0096892116155706809	103.2075714388349	205.41514287766981	1	4	1	0	0.082755441646538058	0.38665740373034618	520.6410748195625	0	0.039350100096828253	nan	3.7335844283823238	5.9232937912371292e+85	865435	0.26783912863951947	7	0.95254155887792269	nan	nan	9.9999999999999995e-07	21809.218801716408
NNI	0.10000000000000001	NNI (0.100000)	2027025	7.0192390502562786e-17	1	9.9999999999999995e-07	4.1105961837490991e-26	0.96043659564756156	0.061087083331390915	0.012814348979503577	1.0000000000000004	0.85521916664128239	28378350	0	1	1	1	155132	0	1	1	1	253102	0	1	1	1	428639	0	1	1	1	801527	0	1	1	1	1487187	0	1	1	1	2982067	0	0	0	nan	nan	0.99997548449358065	2.4515506419353628e-05	40790.509602141268	81580.019204282537	1	4	1	0	0.34775206031387229	1.0501836222041463	42245.894588282717	0	0.16871815055147282	nan	3.733584428382327	5.9232937912371341e+85	1029879	0.26783912863951925	7	0.95254155887792158	nan	nan	9.9999999999999995e-07	8619611.8834221065
