section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	31
local	posteriorMassOfLocalPeaks	0.2551603420
local	meanUphillFraction	0.4900193634
local	posteriorWeightedMeanUphillFraction	0.0998835976
local	meanBestNeighborLnLDifference	8.4337729177
local	posteriorWeightedMeanBestNeighborLnLDifference	1.0078674893
local	meanNeighborAbsLnLDifference	3.1361417205
local	posteriorWeightedMeanNeighborAbsLnLDifference	3.9356000401
basin	numPeaks	31
basin	numPeaksMassGreater01	8
basin	numPeaksMassGreater05	4
basin	largestBasinSize	423653
basin	largestBasinMass	0.4005487556
basin	basinMassEntropy	1.6544651607
basin	effectiveNumBasins	5.2302818137
basin	mapTreeHash	11924552966062684110
basin	mapPeakHash	11924552966062684110
basin	mapPeakId	0
basin	mapBasinMass	0.4005487556
basin	posteriorMassOutsideMapBasin	0.5994512444
ascent	meanAscentLength	10.0324766591
ascent	posteriorWeightedMeanAscentLength	1.1576204569
ascent	meanAscentLengthCredible95	1.9666666667
ascent	posteriorWeightedMeanAscentLengthCredible95	1.0585081940
ascent	maxAscentLength	23
credible95	credible95NumTrees	330
credible95	credible95Mass	0.9500675885
credible95	credible95NumComponents	3
credible95	credible95LargestComponentSize	320
credible95	credible95LargestComponentMass	0.9473667405
credible95	credible95MapComponentSize	320
credible95	credible95MapComponentMass	0.9473667405
barrier	basinGraphEdges	410
barrier	meanBasinGraphDegree	26.4516129032
barrier	mapBasinGraphDegree	30
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	1.9485254233
barrier	meanBarrier	18.7276895028
barrier	posteriorWeightedMeanBarrier	4.7038542915
barrier	maxBarrier	64.2751389915

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	11924552966062684110	0.0927021269	297942	0.4005487556
1	7151865426717208474	0.0654027239	423653	0.2662420072
2	15083554637051522463	0.0244306753	182585	0.0625544305
3	17824096576384865359	0.0230489726	39208	0.0390656884
4	16032003882534961703	0.0176488294	320406	0.1393341147
5	11847925066322304999	0.0145920597	258138	0.0339945151
6	11974113247624385663	0.0091855636	30974	0.0159313986
7	6664440996596744883	0.0040699029	140438	0.0271832643
8	5942375604138840610	0.0022762861	64675	0.0075925893
9	7959159305565208280	0.0008301686	81858	0.0038059245
10	17396633091649746358	0.0004921589	84410	0.0027823637
11	7838681930491769141	0.0002990420	7633	0.0004877302
12	15380433478849105164	0.0001752663	29214	0.0004593704
13	4554131551438584532	0.0000038904	5680	0.0000099520
14	15573413124086338658	0.0000019551	10080	0.0000051218
15	17386830038459447941	0.0000004521	5664	0.0000021673
16	6727119485005078247	0.0000001066	408	0.0000001274
17	17810031303443729544	0.0000000969	5012	0.0000002514
18	10151621459013354361	0.0000000388	2314	0.0000001159
19	3356640162406944433	0.0000000165	2977	0.0000000606
20	1156685722345304925	0.0000000092	2123	0.0000000506
21	9003197609332971102	0.0000000001	7056	0.0000000004
22	5084124420637145553	0.0000000000	8410	0.0000000001
23	3841367543624964478	0.0000000000	2690	0.0000000000
24	998797211429550714	0.0000000000	3622	0.0000000000
25	3768013663584133330	0.0000000000	3702	0.0000000000
26	8242945048863774426	0.0000000000	1348	0.0000000000
27	13182423793665650952	0.0000000000	1775	0.0000000000
28	7778234576965880697	0.0000000000	847	0.0000000000
29	15031927851809197990	0.0000000000	1853	0.0000000000
30	18100523249714503590	0.0000000000	330	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	3	7151865426717208474	17824096576384865359	17824096576384865359	18305417736197591599	-1896.6801757812	0.0227643382	1.0553863909	0.0124436790
0	4	11924552966062684110	16032003882534961703	1716979476102124121	2108124713031344832	-1897.2244873047	0.0132083989	1.9485254233	0.2898034665
1	5	7151865426717208474	11847925066322304999	10494483654906642674	11847925066322304999	-1897.5655517578	0.0093920104	1.9407623675	0.4406759858
1	0	7151865426717208474	11924552966062684110	462481464427533571	2656870009790268034	-1898.4769287109	0.0037751443	2.8521393206	3.2009668295
1	6	7151865426717208474	11974113247624385663	1212856402658661576	11974113247624385663	-1898.7427978516	0.0028936346	3.1180084612	1.1550776320
1	2	7151865426717208474	15083554637051522463	5837721175038932678	17022461917828043727	-1899.3100585938	0.0016410423	3.6852692034	2.7005448250
6	2	11974113247624385663	15083554637051522463	7139015579638451381	11974113247624385663	-1899.3211669922	0.0016229411	1.7334467727	2.7116532234
8	7	5942375604138840610	6664440996596744883	542497155785525138	5942375604138840610	-1900.2174072266	0.0006623290	1.2345991451	1.8156730663
1	9	7151865426717208474	7959159305565208280	2702073834382265510	7339097094381602749	-1900.3330078125	0.0005899664	4.7082184222	0.3415280679
0	2	11924552966062684110	15083554637051522463	12347832157634263094	15704533059732364879	-1900.3679199219	0.0005697608	5.0919580405	3.7584061531
8	4	5942375604138840610	16032003882534961703	1178723383959370092	13089157534192376759	-1900.9138183594	0.0003300658	1.9310102780	3.9791345212
9	3	7959159305565208280	17824096576384865359	953379333355375832	16018874780914928702	-1901.0045166016	0.0003014421	1.0130368569	4.3367844993
1	11	7151865426717208474	7838681930491769141	7838681930491769141	11087907437003809103	-1901.4300537109	0.0001969781	5.8052643206	0.4175292358
7	6	6664440996596744883	11974113247624385663	2598638628031773538	12808932951661242661	-1901.5045166016	0.0001828380	3.1027824413	3.9167963820
2	4	15083554637051522463	16032003882534961703	1007326196877796356	17183576650261587504	-1901.6823730469	0.0001530409	5.0728592781	4.7476892087
11	2	7838681930491769141	15083554637051522463	1007326196877796356	7838681930491769141	-1901.6823730469	0.0001530409	0.6698485718	5.0728592781
11	4	7838681930491769141	16032003882534961703	6908838666086884333	7838681930491769141	-1901.7258300781	0.0001465450	0.7133056030	4.7911462399
4	10	16032003882534961703	17396633091649746358	9592722915720030732	10777502275128965746	-1901.7327880859	0.0001455293	4.7981042478	1.2184811824
0	6	11924552966062684110	11974113247624385663	8439351235052211771	17869502074637017185	-1902.0778808594	0.0001030541	6.8019189780	4.4901606399
7	2	6664440996596744883	15083554637051522463	1007326196877796356	8108791114762415001	-1902.1035156250	0.0001004411	3.7017814647	5.4940018562
7	11	6664440996596744883	7838681930491769141	7838681930491769141	8108791114762415001	-1902.1035156250	0.0001004411	3.7017814647	1.0909911499
7	9	6664440996596744883	7959159305565208280	6288574693541011544	7339097094381602749	-1902.2657470703	0.0000854039	3.8640129101	2.2742673257
5	0	11847925066322304999	11924552966062684110	1490899003280985092	4715572396702282734	-1902.5159912109	0.0000664966	5.3911154389	7.2400293295
7	4	6664440996596744883	16032003882534961703	1088188155718457135	10023260725285347254	-1902.8161621094	0.0000492541	4.4144279491	5.8814782712
5	2	11847925066322304999	15083554637051522463	9024078649441900807	17960762336871689242	-1903.0664062500	0.0000383461	5.9415304780	6.4568924812
7	12	6664440996596744883	15380433478849105164	7444312581225864870	16888500258330469023	-1903.1839599609	0.0000340970	4.7822258007	1.6371581792
7	0	6664440996596744883	11924552966062684110	4122856835094229572	8643055370215906516	-1903.4881591797	0.0000251529	5.0864250194	8.2121972983
7	1	6664440996596744883	7151865426717208474	4122856835094229572	12379140906960936097	-1903.4881591797	0.0000251529	5.0864250194	7.8633697894
12	10	15380433478849105164	17396633091649746358	2616966541697848182	4487173143681213693	-1904.2779541016	0.0000114182	2.7311523198	3.7636471980
