move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	6.5288343769601553e-17	1	9.9999999999999995e-07	1.2043389666430481e-24	0.071428571428571425	0.038129944237857843	0.000921610041155886	0.99999999999999967	0.53381921919672104	28378350	0	1	1	1	85480	0	1	1	1	271663	0	1	1	1	709768	0	1	1	1	1551481	0	1	1	1	2912343	0	1	1	1	5011823	0	0	0	nan	nan	0.9999202027807722	7.9797219227795146e-05	12531.765012328622	25062.530024657244	1	4	1	0	0.038510896360889509	0.17334287433313975	58773.922406143072	0	0.012620909898840113	nan	2.040472369178858	2.1103215743457225e+96	802894	0.49008259808116267	8	0.95809734029716742	nan	nan	9.9999999999999995e-07	2951732.9343392258
NNI2	0	NNI2 (0.000000)	2027025	6.8232965435244166e-17	1	9.9999999999999995e-07	4.8205574565152898e-40	0.0081967213114754103	0.0041728081830430174	0.0016945644454803464	1.0000000000000009	0.52577383114406839	255405150	0	1	1	1	8308246	0	1	1	1	14502813	0	1	1	1	23830676	0	1	1	1	36919721	0	1	1	1	54181136	0	1	1	1	75877811	0	0	0	nan	nan	0.99924636869712069	0.00075363130287930957	1326.9087897217364	2652.8175794434728	1	4	1	0	0.0080220466059856086	0.054370035490814261	5526.3247798009606	0	0.0025809224267978482	nan	2.0404723691788575	2.110321574345722e+96	1084602	0.49008259808116278	8	0.95809734029716753	nan	nan	9.9999999999999995e-07	312633.63104845607
TBR	0	TBR (0.000000)	2027025	6.2598176946832384e-17	1	9.9999999999999995e-07	4.5434263770388165e-59	0.013114754098360656	0.0016878353258013205	0.0028570831223969318	0.95538057742781768	0.49046370112636622	589027950	0	1	1	1	47416104	0	1	1	1	67285262	0	1	1	1	92976467	0	1	1	1	124950582	0	1	1	1	163196620	0	1	1	1	207325837	0	0	0	nan	nan	0.99886519290432985	0.0011348070956701539	881.20703846097797	1761.4140769219557	1	4	1	0	0.0082568972706846561	0.054275993857802164	3487.513832219729	0	0.0028570831223969327	nan	2.0404723691788575	2.110321574345722e+96	1084602	0.49008259808116278	8	0.95809734029716753	nan	nan	9.9999999999999995e-07	207621.23112669034
NNI	0.02	NNI (0.020000)	2027025	6.5302710224477583e-17	1	9.9999999999999995e-07	2.6716011600660519e-24	0.18447646571658763	0.044434331563226334	0.0012938496497933265	1.0000000000000004	0.62208064188846057	28378350	0	1	1	1	72360	0	1	1	1	241421	0	1	1	1	653979	0	1	1	1	1470604	0	1	1	1	2818239	0	1	1	1	4910412	0	0	0	nan	nan	0.99989532682682025	0.00010467317317974789	9553.5462394244059	19106.092478848812	1	4	1	0	0.049045660148847404	0.20898062279942414	45498.882524300003	0	0.016608821328245978	nan	2.040472369178858	2.1103215743457225e+96	802894	0.49008259808116267	8	0.95809734029716742	nan	nan	9.9999999999999995e-07	2250555.6474706689
NNI2	0.02	NNI2 (0.020000)	2027025	5.9224286773799767e-17	1	9.9999999999999995e-07	1.6957926451503246e-39	0.038231046108816613	0.0050850339818774241	0.0025642640175915004	1.0000000000000011	0.64071428176976042	255405150	0	1	1	1	7785123	0	1	1	1	13804975	0	1	1	1	23002151	0	1	1	1	36050186	0	1	1	1	53401897	0	1	1	1	75342148	0	0	0	nan	nan	0.99885948408338276	0.0011405159166172352	876.79618094764976	1752.5923618952995	1	4	1	0	0.01233888670556256	0.078383271144750841	3634.3781187845361	0	0.0041085435819654377	nan	2.0404723691788575	2.110321574345722e+96	1084602	0.49008259808116278	8	0.95809734029716753	nan	nan	9.9999999999999995e-07	206582.42746817699
TBR	0.02	TBR (0.020000)	2027025	1.0513731385049209e-16	1	9.9999999999999995e-07	2.4885733908034359e-58	0.03226438602841402	0.0021307652877913049	0.0050988495568432355	0.97828222086478001	0.61917357193417411	589027950	0	1	1	1	45787344	0	1	1	1	65492820	0	1	1	1	91157933	0	1	1	1	123294191	0	1	1	1	161928467	0	1	1	1	206667011	0	0	0	nan	nan	0.99799892058141382	0.0020010794185861824	499.7302909179524	998.4605818359048	1	4	1	0	0.014463743789234528	0.087011541020060229	2030.8215117819398	0	0.0050988495568432346	nan	2.0404723691788575	2.110321574345722e+96	1084602	0.49008259808116278	8	0.95809734029716753	nan	nan	9.9999999999999995e-07	117741.70456158776
NNI	0.050000000000000003	NNI (0.050000)	2027025	6.2219167834268252e-17	1	9.9999999999999995e-07	6.8574137753096215e-24	0.5110751371164568	0.05293815386155723	0.0020106846784337341	1.0000000000000004	0.74113415406568128	28378350	0	1	1	1	58517	0	1	1	1	207296	0	1	1	1	588035	0	1	1	1	1375107	0	1	1	1	2712491	0	1	1	1	4813218	0	0	0	nan	nan	0.99986072743894061	0.00013927256105938923	7180.16522704408	14359.33045408816	1	4	1	0	0.067414526396821772	0.26559617578724443	32958.789163910849	0	0.023904937355089639	nan	2.040472369178858	2.1103215743457225e+96	802894	0.49008259808116267	8	0.95809734029716742	nan	nan	9.9999999999999995e-07	1691800.3518071328
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	5.2267330546338368e-17	1	9.9999999999999995e-07	7.8543321002641322e-39	0.23613006725327218	0.0062555824409718319	0.0043624080877291372	1.0000000000000011	0.78820338762902342	255405150	0	1	1	1	7222382	0	1	1	1	13083845	0	1	1	1	22209534	0	1	1	1	35342584	0	1	1	1	52997952	0	1	1	1	75488385	0	0	0	nan	nan	0.99807947534303332	0.0019205246569666823	520.69104990269761	1040.3820998053952	1	4	1	0	0.021365556783074117	0.12398523800333759	2153.2642574319948	0	0.0074718921946791122	nan	2.0404723691788575	2.110321574345722e+96	1084602	0.49008259808116278	8	0.95809734029716753	nan	nan	9.9999999999999995e-07	122680.2704648129
TBR	0.050000000000000003	TBR (0.050000)	2027025	2.3933418912972162e-16	1	9.9999999999999995e-07	1.5064682280303024e-57	0.2383009283289565	0.0027013306580965556	0.0097195265961635344	0.99599588511712589	0.78497268664210496	589027950	0	1	1	1	44411898	0	1	1	1	64179280	0	1	1	1	90147512	0	1	1	1	122899006	0	1	1	1	162485482	0	1	1	1	208476806	0	0	0	nan	nan	0.9963321833553046	0.0036678166446953986	272.64176398955379	544.28352797910759	1	4	1	0	0.026589222663653295	0.14375484890353621	1125.763915764461	0	0.0097195265961635344	nan	2.0404723691788575	2.110321574345722e+96	1084602	0.49008259808116278	8	0.95809734029716753	nan	nan	9.9999999999999995e-07	64237.269567148753
NNI	0.10000000000000001	NNI (0.100000)	2027025	2.8206717643117425e-17	1	9.9999999999999995e-07	1.4215882905806855e-23	0.92231415593069288	0.062777569474931835	0.0035494249989155876	1.0000000000000004	0.87888597265335477	28378350	0	1	1	1	46824	0	1	1	1	174767	0	1	1	1	520054	0	1	1	1	1275924	0	1	1	1	2618411	0	1	1	1	4786045	0	0	0	nan	nan	0.99979681794272413	0.00020318205727587468	4921.6944321133096	9842.3888642266193	1	4	1	0	0.1035357836802324	0.36148841543303495	22419.86499536975	0	0.039341768761031133	nan	2.040472369178858	2.1103215743457225e+96	802894	0.49008259808116267	8	0.95809734029716742	nan	nan	9.9999999999999995e-07	1159588.9223929513
