section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	202
local	posteriorMassOfLocalPeaks	0.7618022847
local	meanUphillFraction	0.4999836847
local	posteriorWeightedMeanUphillFraction	0.0192554426
local	meanBestNeighborLnLDifference	21.4681963354
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.7640522180
local	meanNeighborAbsLnLDifference	9.8077595778
local	posteriorWeightedMeanNeighborAbsLnLDifference	11.0595303564
basin	numPeaks	202
basin	numPeaksMassGreater01	3
basin	numPeaksMassGreater05	3
basin	largestBasinSize	355399
basin	largestBasinMass	0.5783131660
basin	basinMassEntropy	0.8822692964
basin	effectiveNumBasins	2.4163769648
basin	mapTreeHash	15337606010678550643
basin	mapPeakHash	15337606010678550643
basin	mapPeakId	0
basin	mapBasinMass	0.5783131660
basin	posteriorMassOutsideMapBasin	0.4216868340
ascent	meanAscentLength	8.9077820944
ascent	posteriorWeightedMeanAscentLength	0.2525192769
ascent	meanAscentLengthCredible95	0.6250000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.2051179580
ascent	maxAscentLength	22
credible95	credible95NumTrees	8
credible95	credible95Mass	0.9580973403
credible95	credible95NumComponents	3
credible95	credible95LargestComponentSize	3
credible95	credible95LargestComponentMass	0.5686546701
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.5686546701
barrier	basinGraphEdges	10077
barrier	meanBasinGraphDegree	99.7722772277
barrier	mapBasinGraphDegree	196
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	6.6599158989
barrier	meanBarrier	58.2244124498
barrier	posteriorWeightedMeanBarrier	5.8856412066
barrier	maxBarrier	188.5227818161

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	15337606010678550643	0.4900825981	126117	0.5783131660
1	1553656054380109134	0.2432941382	355399	0.3452141754
2	16400625367356477962	0.0281976340	184164	0.0762377192
3	4669806147892581369	0.0001597265	102321	0.0001640889
4	9354483711010489104	0.0000516353	34387	0.0000522317
5	9781705447253016950	0.0000098810	25900	0.0000103200
6	16380150675034163528	0.0000053657	77375	0.0000066064
7	17711598517058636277	0.0000006483	53154	0.0000008661
8	15589903297757223077	0.0000002450	56600	0.0000002585
9	1431476409904474218	0.0000001586	27417	0.0000002024
10	4466838988981203623	0.0000001141	70820	0.0000001947
11	1485041730454880537	0.0000000567	16533	0.0000000570
12	1616164378427043084	0.0000000351	45704	0.0000000598
13	9498779248963459051	0.0000000283	20281	0.0000000292
14	14429630018516782191	0.0000000069	21556	0.0000000072
15	7260301166280578593	0.0000000065	5025	0.0000000065
16	8602296777380265167	0.0000000030	46030	0.0000000053
17	2018225698188843059	0.0000000007	62569	0.0000000021
18	3774862949860648472	0.0000000004	62449	0.0000000009
19	3347565405258796730	0.0000000004	12147	0.0000000004
20	3443710428118825366	0.0000000003	22452	0.0000000005
21	9388195411963722765	0.0000000003	32843	0.0000000005
22	1262950738414998414	0.0000000003	10000	0.0000000003
23	11030905014231760230	0.0000000002	8893	0.0000000002
24	1604558940343934566	0.0000000002	15404	0.0000000002
25	10863511421345574947	0.0000000002	15972	0.0000000002
26	4655566610318384481	0.0000000001	32183	0.0000000002
27	4734095713127302761	0.0000000001	10201	0.0000000001
28	3774746364614829779	0.0000000000	17722	0.0000000001
29	12439161657613046002	0.0000000000	39486	0.0000000000
30	10948274808390846669	0.0000000000	6051	0.0000000000
31	13991860743567816071	0.0000000000	2981	0.0000000000
32	3404164466778676172	0.0000000000	13251	0.0000000000
33	18128442164196861380	0.0000000000	11023	0.0000000000
34	14197182611916411165	0.0000000000	9046	0.0000000000
35	11581658441934782849	0.0000000000	11972	0.0000000000
36	14745838679967315083	0.0000000000	10922	0.0000000000
37	418548574521187427	0.0000000000	5315	0.0000000000
38	16966146800000639589	0.0000000000	5057	0.0000000000
39	6816938156463604296	0.0000000000	16730	0.0000000000
40	11714866374552872766	0.0000000000	6159	0.0000000000
41	14444037948429749086	0.0000000000	8015	0.0000000000
42	12635689607337751744	0.0000000000	5153	0.0000000000
43	14245859515290963431	0.0000000000	9660	0.0000000000
44	5704113727056449875	0.0000000000	4369	0.0000000000
45	7914675062286714978	0.0000000000	25196	0.0000000000
46	14970602993072260012	0.0000000000	1739	0.0000000000
47	12317811688142001562	0.0000000000	1707	0.0000000000
48	17070860287676120322	0.0000000000	8621	0.0000000000
49	11326916908214405644	0.0000000000	5952	0.0000000000
50	11479905210517531500	0.0000000000	1672	0.0000000000
51	17413980101275568554	0.0000000000	4847	0.0000000000
52	3111741826410192588	0.0000000000	2261	0.0000000000
53	5657134255874980522	0.0000000000	7074	0.0000000000
54	13716567234563247664	0.0000000000	7113	0.0000000000
55	4622695161018488651	0.0000000000	3961	0.0000000000
56	12129645256927297985	0.0000000000	4666	0.0000000000
57	1616023617423751232	0.0000000000	634	0.0000000000
58	14747444707376945908	0.0000000000	2787	0.0000000000
59	16153392823847019250	0.0000000000	1282	0.0000000000
60	9971447851627642030	0.0000000000	574	0.0000000000
61	14085630638292113669	0.0000000000	2668	0.0000000000
62	1980728437019082353	0.0000000000	2951	0.0000000000
63	9260760894832532393	0.0000000000	3835	0.0000000000
64	7236404894941989296	0.0000000000	7281	0.0000000000
65	4970160272024052620	0.0000000000	3392	0.0000000000
66	4407706181204013433	0.0000000000	2964	0.0000000000
67	6738662541388014851	0.0000000000	5164	0.0000000000
68	1851570274692852945	0.0000000000	5875	0.0000000000
69	15928443472251293873	0.0000000000	3515	0.0000000000
70	14754257562582416388	0.0000000000	4613	0.0000000000
71	12198505433153995685	0.0000000000	18262	0.0000000000
72	14344348631395732419	0.0000000000	5361	0.0000000000
73	8667598082949531899	0.0000000000	3571	0.0000000000
74	4746717851082041183	0.0000000000	4018	0.0000000000
75	2658324233777564771	0.0000000000	3376	0.0000000000
76	6782972001543773681	0.0000000000	3244	0.0000000000
77	94520244968013003	0.0000000000	559	0.0000000000
78	14396227688400120808	0.0000000000	1077	0.0000000000
79	9203490120738723085	0.0000000000	969	0.0000000000
80	12704122944625733790	0.0000000000	8976	0.0000000000
81	9934635339396362640	0.0000000000	3012	0.0000000000
82	17042495413027122337	0.0000000000	2763	0.0000000000
83	11560976145959844721	0.0000000000	1486	0.0000000000
84	1830512640295978107	0.0000000000	902	0.0000000000
85	15503697822074768528	0.0000000000	336	0.0000000000
86	571534338759577144	0.0000000000	1410	0.0000000000
87	14805222325123237864	0.0000000000	1067	0.0000000000
88	3598860518230701274	0.0000000000	987	0.0000000000
89	8398217522640423945	0.0000000000	2020	0.0000000000
90	13136961973594918897	0.0000000000	2741	0.0000000000
91	6973346344537195181	0.0000000000	6360	0.0000000000
92	3973805462947622064	0.0000000000	1299	0.0000000000
93	11374191735851496553	0.0000000000	667	0.0000000000
94	12278362464583495189	0.0000000000	321	0.0000000000
95	13007613086206400083	0.0000000000	1089	0.0000000000
96	3609364511858711338	0.0000000000	759	0.0000000000
97	16899077199221152180	0.0000000000	3210	0.0000000000
98	16563718126639228316	0.0000000000	1629	0.0000000000
99	2988878327840539416	0.0000000000	676	0.0000000000
100	10348829972813046394	0.0000000000	1482	0.0000000000
101	12293414220270458184	0.0000000000	2929	0.0000000000
102	4946292573545279748	0.0000000000	1044	0.0000000000
103	4414348998770986657	0.0000000000	2068	0.0000000000
104	10443445661079179870	0.0000000000	2912	0.0000000000
105	10399705017179090127	0.0000000000	1806	0.0000000000
106	15010743518398668213	0.0000000000	345	0.0000000000
107	11435621600651176032	0.0000000000	4232	0.0000000000
108	13415673303261309002	0.0000000000	3260	0.0000000000
109	6783494745617456943	0.0000000000	3315	0.0000000000
110	12328498906506495833	0.0000000000	2985	0.0000000000
111	11394853751793296547	0.0000000000	1293	0.0000000000
112	17974142400806022803	0.0000000000	3994	0.0000000000
113	9777030707169702902	0.0000000000	363	0.0000000000
114	8935313175330227015	0.0000000000	685	0.0000000000
115	10004340939008646201	0.0000000000	1039	0.0000000000
116	16202167957530649868	0.0000000000	3145	0.0000000000
117	17102515528998358060	0.0000000000	113	0.0000000000
118	10729595712028549629	0.0000000000	737	0.0000000000
119	15626651692612828120	0.0000000000	405	0.0000000000
120	2501999506303197930	0.0000000000	1702	0.0000000000
121	177164909902245733	0.0000000000	2609	0.0000000000
122	8064017287900218147	0.0000000000	1232	0.0000000000
123	17844021536618917310	0.0000000000	731	0.0000000000
124	15214015532998095051	0.0000000000	2055	0.0000000000
125	2048162544847152024	0.0000000000	2299	0.0000000000
126	4985808909837756104	0.0000000000	506	0.0000000000
127	14256489200970167772	0.0000000000	1072	0.0000000000
128	14603189890272015016	0.0000000000	518	0.0000000000
129	7051378469216159136	0.0000000000	1439	0.0000000000
130	17579163152836397400	0.0000000000	473	0.0000000000
131	5219807461428832125	0.0000000000	2135	0.0000000000
132	13557258665719318906	0.0000000000	540	0.0000000000
133	11781777268065721048	0.0000000000	983	0.0000000000
134	734511461333464943	0.0000000000	203	0.0000000000
135	4792544943573032385	0.0000000000	1076	0.0000000000
136	18365504455877885617	0.0000000000	56	0.0000000000
137	1923120325031476428	0.0000000000	763	0.0000000000
138	9215680533605041521	0.0000000000	1124	0.0000000000
139	5626568156284770789	0.0000000000	3908	0.0000000000
140	171953656478627841	0.0000000000	522	0.0000000000
141	2176772717663646376	0.0000000000	755	0.0000000000
142	16825630960104456564	0.0000000000	224	0.0000000000
143	13184553078316047126	0.0000000000	1041	0.0000000000
144	5113235778732769672	0.0000000000	674	0.0000000000
145	11471345210617195643	0.0000000000	698	0.0000000000
146	5892464314347610695	0.0000000000	966	0.0000000000
147	18068809613592939447	0.0000000000	1021	0.0000000000
148	15494427330758980875	0.0000000000	1148	0.0000000000
149	15404466965884306393	0.0000000000	192	0.0000000000
150	16979098473700259301	0.0000000000	409	0.0000000000
151	10625644785323426448	0.0000000000	221	0.0000000000
152	546259993115575009	0.0000000000	835	0.0000000000
153	6574353373524907807	0.0000000000	507	0.0000000000
154	5310918589522014563	0.0000000000	597	0.0000000000
155	4943054457589274747	0.0000000000	301	0.0000000000
156	12784372791611789260	0.0000000000	289	0.0000000000
157	215496061828199509	0.0000000000	658	0.0000000000
158	12167109752146865632	0.0000000000	844	0.0000000000
159	16764580593928590007	0.0000000000	1363	0.0000000000
160	9819428662776814091	0.0000000000	265	0.0000000000
161	11483324174338702933	0.0000000000	357	0.0000000000
162	2736835649990485006	0.0000000000	147	0.0000000000
163	5933398883673386757	0.0000000000	470	0.0000000000
164	2483332982027881886	0.0000000000	171	0.0000000000
165	5987468608745015627	0.0000000000	313	0.0000000000
166	18009484933848667370	0.0000000000	276	0.0000000000
167	15555124254706518508	0.0000000000	331	0.0000000000
168	154756872078279111	0.0000000000	925	0.0000000000
169	13817226130078578885	0.0000000000	503	0.0000000000
170	11829700423388403380	0.0000000000	446	0.0000000000
171	7570922565965604352	0.0000000000	111	0.0000000000
172	16761347586952076859	0.0000000000	275	0.0000000000
173	6572286775238416383	0.0000000000	445	0.0000000000
174	13280985048727039071	0.0000000000	182	0.0000000000
175	13489667741434098689	0.0000000000	143	0.0000000000
176	269572009064541502	0.0000000000	372	0.0000000000
177	8677147874577138973	0.0000000000	50	0.0000000000
178	16036868710335347155	0.0000000000	170	0.0000000000
179	13504610253077854433	0.0000000000	308	0.0000000000
180	13673459678208023617	0.0000000000	193	0.0000000000
181	3529934813187734959	0.0000000000	187	0.0000000000
182	1195398218139932609	0.0000000000	314	0.0000000000
183	3568574878946670060	0.0000000000	222	0.0000000000
184	16021197758429569385	0.0000000000	99	0.0000000000
185	11399105212638515074	0.0000000000	326	0.0000000000
186	3908342555037062445	0.0000000000	136	0.0000000000
187	13291777721545665857	0.0000000000	190	0.0000000000
188	6899963320375305380	0.0000000000	89	0.0000000000
189	11251114656977645936	0.0000000000	230	0.0000000000
190	18226115467891552774	0.0000000000	56	0.0000000000
191	3057309502317441929	0.0000000000	73	0.0000000000
192	4937836832112453599	0.0000000000	123	0.0000000000
193	18073850013665738841	0.0000000000	31	0.0000000000
194	11258501476419048108	0.0000000000	72	0.0000000000
195	10146268591180163237	0.0000000000	128	0.0000000000
196	15777479090377463338	0.0000000000	71	0.0000000000
197	14002425860971032305	0.0000000000	32	0.0000000000
198	15682569216635424334	0.0000000000	9	0.0000000000
199	12426926607163574141	0.0000000000	12	0.0000000000
200	8704945809609249585	0.0000000000	18	0.0000000000
201	12878023392543227030	0.0000000000	14	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	2	1553656054380109134	16400625367356477962	9808496987644211250	13962056810198787229	-11096.7158203125	0.0041633364	4.0680115485	1.9129784669
1	0	1553656054380109134	15337606010678550643	8405135901551841213	16051040292877371448	-11098.6074218750	0.0006278369	5.9596131110	6.6599158989
0	2	15337606010678550643	16400625367356477962	3309756395367726664	13133251803800828381	-11099.0263671875	0.0004130636	7.0788612114	4.2235253419
5	0	9781705447253016950	15337606010678550643	9781705447253016950	12878084280836814654	-11104.5322265625	0.0000016786	1.7730097392	12.5847205864
1	3	1553656054380109134	4669806147892581369	4669806147892581369	11460991010186712523	-11104.7021484375	0.0000014158	12.0543396735	4.7257761459
6	2	16380150675034163528	16400625367356477962	5368653978674966583	16380150675034163528	-11106.4414062500	0.0000002487	3.0716000011	11.6385644044
4	7	9354483711010489104	17711598517058636277	6560336271189460743	17775740561493417074	-11107.3925781250	0.0000000960	6.2869482120	1.9093179153
1	10	1553656054380109134	4466838988981203623	664029996469558720	17846122596876214174	-11107.5986328125	0.0000000781	14.9508240485	0.3779801301
1	4	1553656054380109134	9354483711010489104	1098139194988511643	9354483711010489104	-11107.6884765625	0.0000000714	15.0406677985	6.5828466495
4	5	9354483711010489104	9781705447253016950	6520869877326720323	9781705447253016950	-11108.7724609375	0.0000000242	7.6668310245	6.0132441142
4	0	9354483711010489104	15337606010678550643	1527706650289128815	12878084280836814654	-11109.4580078125	0.0000000122	8.3523778995	17.5105018364
3	2	4669806147892581369	16400625367356477962	3482314772309073795	4181347257582106011	-11109.9667968750	0.0000000073	9.9904245834	15.1639550294
12	0	1616164378427043084	15337606010678550643	1616164378427043084	8136800919530676583	-11110.3291015625	0.0000000051	1.9298197738	18.3815955864
9	0	1431476409904474218	15337606010678550643	6348311641281535542	11290147909355094392	-11110.5000000000	0.0000000043	3.6087193161	18.5524940239
1	6	1553656054380109134	16380150675034163528	8604370298579806253	10681597483624672665	-11110.6191406250	0.0000000038	17.9713318610	7.2493343761
8	2	15589903297757223077	16400625367356477962	5335528730970935348	15589903297757223077	-11110.7949218750	0.0000000032	4.3386935859	15.9920800294
11	10	1485041730454880537	4466838988981203623	1485041730454880537	3926441676526184268	-11111.1943359375	0.0000000021	3.2745932207	3.9736832551
1	15	1553656054380109134	7260301166280578593	7260301166280578593	8435128209824986263	-11111.5605468750	0.0000000015	18.9127381110	1.4733806947
3	6	4669806147892581369	16380150675034163528	3438976095967455292	6681196921534025829	-11112.0566406250	0.0000000009	12.0802683334	8.6868343761
0	6	15337606010678550643	16380150675034163528	11125534529714923152	12899323990081886999	-11112.4062500000	0.0000000006	20.4587440239	9.0364437511
3	0	4669806147892581369	15337606010678550643	10715762746799483537	12990771524218070501	-11113.1474609375	0.0000000003	13.1710886459	21.1999549614
9	20	1431476409904474218	3443710428118825366	3443710428118825366	4332286806645349708	-11113.2519531250	0.0000000003	6.3606724411	0.2188411175
22	2	1262950738414998414	16400625367356477962	1038175057364386518	1262950738414998414	-11113.3398437500	0.0000000003	0.1821345816	18.5370019044
19	18	3347565405258796730	3774862949860648472	3347565405258796730	8140560445975826596	-11113.3466796875	0.0000000002	0.3834593955	0.5472440592
