move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	3.1241362620572747e-17	1	9.9999999999999995e-07	2.2726953328059666e-19	0.071428571428571425	0.039490349450612187	0.0054216102349321496	0.99999999999999967	0.55286489219468682	28378350	0	1	1	1	987	0	1	1	1	10377	0	1	1	1	87150	0	1	1	1	447475	0	1	1	1	1326277	0	1	1	1	3056830	0	0	0	nan	nan	0.99990450592072977	9.5494079270230792e-05	10471.853413761735	20942.706827523467	1	4	1	0	0.068978317739848541	0.30298947581146429	39331.206609338937	0	0.06423903874396826	nan	1.5993521939136746	3.5665647429112203e+69	1940191	0.62525315174824792	4	0.95515747410226548	nan	nan	9.9999999999999995e-07	1821742.6071524892
NNI2	0	NNI2 (0.000000)	2027025	4.4529555508414845e-16	1	9.9999999999999995e-07	5.120871739008646e-29	0.0081967213114754103	0.0042459818743219172	0.0012137932480274758	1.0000000000000009	0.53499371623966641	255405150	0	1	1	1	1551936	0	1	1	1	4030127	0	1	1	1	9446798	0	1	1	1	19471155	0	1	1	1	35682799	0	1	1	1	59254171	0	0	0	nan	nan	0.99957911226137852	0.00042088773862147821	2375.9304637271493	4750.8609274542996	1	4	1	0	0.012057950343126589	0.079390780937280817	8412.1499079636196	0	0.0077495645684553562	nan	1.5993521939137769	3.5665647429114487e+69	86833	0.62525315174820795	4	0.95515747410220464	nan	nan	9.9999999999999995e-07	413329.83942324796
TBR	0	TBR (0.000000)	2027025	2.3108565851249037e-16	1	9.9999999999999995e-07	3.7730897684444521e-49	0.013114754098360656	0.0017231951911896178	0.006332094128179722	0.9553805774278179	0.5007388329329383	589027950	0	1	1	1	20414677	0	1	1	1	34581092	0	1	1	1	56241665	0	1	1	1	87052295	0	1	1	1	128231323	0	1	1	1	180206291	0	0	0	nan	nan	0.99598752863701023	0.0040124713629897668	249.22296249234324	497.44592498468643	1	4	1	0	0.012916175277752476	0.082559906132916097	2296.1062408237581	0	0.010564896887806626	nan	1.5993521939137769	3.5665647429114487e+69	86833	0.62525315174820795	4	0.95515747410220464	nan	nan	9.9999999999999995e-07	43365.438568642654
NNI	0.02	NNI (0.020000)	2027025	1.4358589672642149e-17	1	9.9999999999999995e-07	4.1666026344845951e-19	0.15492725411577946	0.044100814300731025	0.0066525259395707834	1.0000000000000004	0.61741140021175811	28378350	0	1	1	1	668	0	1	1	1	8078	0	1	1	1	72099	0	1	1	1	403920	0	1	1	1	1249918	0	1	1	1	2962679	0	0	0	nan	nan	0.99988672143264323	0.00011327856735676711	8827.7952602501846	17654.590520500369	1	4	1	0	0.083880193286052146	0.35163252498422776	32840.570184831042	0	0.078795736904475985	nan	1.5993521939136746	3.5665647429112203e+69	1940191	0.62525315174824792	4	0.95515747410226548	nan	nan	9.9999999999999995e-07	1535728.4231682208
NNI2	0.02	NNI2 (0.020000)	2027025	2.2594345316486227e-16	1	9.9999999999999995e-07	1.2695245979123839e-28	0.02721153662917904	0.0049336222478886952	0.0017181545021841156	1.0000000000000007	0.6216364032734476	255405150	0	1	1	1	1379783	0	1	1	1	3676001	0	1	1	1	8845240	0	1	1	1	18651991	0	1	1	1	34761325	0	1	1	1	58455310	0	0	0	nan	nan	0.99941780085091314	0.00058219914908685944	1717.6253204224593	3434.2506408449185	1	4	1	0	0.017235287709907086	0.107378821307633	6130.812991844371	0	0.01125426345613435	nan	1.5993521939137769	3.5665647429114487e+69	86833	0.62525315174820795	4	0.95515747410220464	nan	nan	9.9999999999999995e-07	298807.5308757922
TBR	0.02	TBR (0.020000)	2027025	3.4164532581421849e-16	1	9.9999999999999995e-07	1.7777201478386602e-48	0.028877112682841176	0.002062437173243184	0.010372923987479051	0.97404529364046444	0.59931828191189773	589027950	0	1	1	1	19279376	0	1	1	1	33054793	0	1	1	1	54396865	0	1	1	1	85098051	0	1	1	1	126464445	0	1	1	1	179018399	0	0	0	nan	nan	0.99376192185317003	0.0062380781468299729	160.30578272062425	319.6115654412485	1	4	1	0	0.020745675483363667	0.12279194174314806	1487.5406019499812	0	0.017306892496286252	nan	1.5993521939137769	3.5665647429114487e+69	86833	0.62525315174820795	4	0.95515747410220464	nan	nan	9.9999999999999995e-07	27887.473995360491
NNI	0.050000000000000003	NNI (0.050000)	2027025	2.7783071663548497e-17	1	9.9999999999999995e-07	8.9691585578514464e-19	0.38839661385193724	0.050550297673836203	0.0088177054948908127	1.0000000000000004	0.70770416743516562	28378350	0	1	1	1	370	0	1	1	1	5792	0	1	1	1	55424	0	1	1	1	349440	0	1	1	1	1152886	0	1	1	1	2846063	0	0	0	nan	nan	0.99985835774670995	0.00014164225329005298	7060.0401841406347	14119.080368281269	1	4	1	0	0.10982923453654804	0.4294973554135344	25869.633990293431	0	0.10449574676264922	nan	1.5993521939136746	3.5665647429112203e+69	1940191	0.62525315174824792	4	0.95515747410226548	nan	nan	9.9999999999999995e-07	1228203.7752667353
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	4.7510708261399856e-16	1	9.9999999999999995e-07	3.9288948019793857e-28	0.1349460463727149	0.0058705594228128195	0.002771687591031496	1.0000000000000007	0.73969048732174059	255405150	0	1	1	1	1181499	0	1	1	1	3259932	0	1	1	1	8140949	0	1	1	1	17714311	0	1	1	1	33800897	0	1	1	1	57845352	0	0	0	nan	nan	0.99909655204997228	0.00090344795002772482	1106.8706282075377	2212.7412564150754	1	4	1	0	0.027991406520669754	0.16082513888116534	4000.2336369825121	0	0.018731527615066766	nan	1.5993521939137769	3.5665647429114487e+69	86833	0.62525315174820795	4	0.95515747410220464	nan	nan	9.9999999999999995e-07	192557.27666680483
TBR	0.050000000000000003	TBR (0.050000)	2027025	2.4903612897931576e-16	1	9.9999999999999995e-07	9.7582432617175726e-48	0.079606251313040111	0.0025277113016566027	0.018404903629095384	0.99411841259363032	0.73452108706367414	589027950	0	1	1	1	18023490	0	1	1	1	31411452	0	1	1	1	52532717	0	1	1	1	83362777	0	1	1	1	125368473	0	1	1	1	179169292	0	0	0	nan	nan	0.98953590436730976	0.01046409563269024	95.564875848034234	190.12975169606847	1	4	1	0	0.035986388991458826	0.19301570381109728	886.83013588196684	0	0.030707994090938679	nan	1.5993521939137769	3.5665647429114487e+69	86833	0.62525315174820795	4	0.95515747410220464	nan	nan	9.9999999999999995e-07	16624.985817279889
NNI	0.10000000000000001	NNI (0.100000)	2027025	2.7998909911639109e-17	1	9.9999999999999995e-07	1.9947316462678607e-18	0.82424600053451946	0.059187382529728445	0.013179434773776014	1.0000000000000004	0.828623355417759	28378350	0	1	1	1	198	0	1	1	1	3986	0	1	1	1	39447	0	1	1	1	284275	0	1	1	1	1035985	0	1	1	1	2714881	0	0	0	nan	nan	0.99981056405401958	0.00018943594598042068	5278.8291832604773	10556.658366520955	1	4	1	0	0.1615003831348063	0.56423797747948523	18907.39422689077	0	0.15693858546920381	nan	1.5993521939136746	3.5665647429112203e+69	1940191	0.62525315174824792	4	0.95515747410226548	nan	nan	9.9999999999999995e-07	918334.12287070602
