section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	123
local	posteriorMassOfLocalPeaks	0.6288837955
local	meanUphillFraction	0.4999032713
local	posteriorWeightedMeanUphillFraction	0.0344891589
local	meanBestNeighborLnLDifference	15.8840910206
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.2465028280
local	meanNeighborAbsLnLDifference	6.9572292135
local	posteriorWeightedMeanNeighborAbsLnLDifference	8.7887502618
basin	numPeaks	123
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	330521
basin	largestBasinMass	0.9939664083
basin	basinMassEntropy	0.0389746046
basin	effectiveNumBasins	1.0397440786
basin	mapTreeHash	10667474865877392284
basin	mapPeakHash	10667474865877392284
basin	mapPeakId	0
basin	mapBasinMass	0.9939664083
basin	posteriorMassOutsideMapBasin	0.0060335917
ascent	meanAscentLength	8.7817219817
ascent	posteriorWeightedMeanAscentLength	0.4035019906
ascent	meanAscentLengthCredible95	0.7500000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.3453925989
ascent	maxAscentLength	22
credible95	credible95NumTrees	4
credible95	credible95Mass	0.9551574741
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	4
credible95	credible95LargestComponentMass	0.9551574741
credible95	credible95MapComponentSize	4
credible95	credible95MapComponentMass	0.9551574741
barrier	basinGraphEdges	5493
barrier	meanBasinGraphDegree	89.3170731707
barrier	mapBasinGraphDegree	122
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	9.4074188317
barrier	meanBarrier	41.8020130309
barrier	posteriorWeightedMeanBarrier	6.7931518200
barrier	maxBarrier	121.4713147710

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	10667474865877392284	0.6252531517	330521	0.9939664083
1	10324198887431388283	0.0033407533	315865	0.0053890630
2	13107051123224136067	0.0002797525	120206	0.0006297093
3	14093486591111374668	0.0000095611	108428	0.0000140294
4	16923322824322317466	0.0000002409	66950	0.0000003344
5	2149484152715392458	0.0000002288	28964	0.0000002901
6	16894134299124238804	0.0000000361	36377	0.0000000469
7	15571085747497726625	0.0000000247	53392	0.0000000475
8	8992346648558435547	0.0000000216	43190	0.0000000397
9	2439594373950395860	0.0000000105	24571	0.0000000126
10	3715343508190632273	0.0000000065	25207	0.0000000074
11	17799708269756447471	0.0000000040	89147	0.0000000046
12	14938178270134821508	0.0000000010	6941	0.0000000011
13	10079227655342552495	0.0000000006	65609	0.0000000009
14	12938275795804049604	0.0000000005	9155	0.0000000007
15	3773740555311062023	0.0000000004	28973	0.0000000016
16	12201523437214473668	0.0000000004	17410	0.0000000005
17	429853561211997818	0.0000000003	13541	0.0000000006
18	17473836722014595788	0.0000000002	2032	0.0000000002
19	7692821074440121912	0.0000000002	20183	0.0000000003
20	13355927625687165021	0.0000000002	25698	0.0000000005
21	15016803418478563936	0.0000000001	18138	0.0000000001
22	3990398796172833387	0.0000000001	8407	0.0000000002
23	8983620928718234954	0.0000000000	4840	0.0000000000
24	58338521781336478	0.0000000000	13994	0.0000000000
25	16550426852500463777	0.0000000000	15983	0.0000000000
26	167167149883495741	0.0000000000	4538	0.0000000000
27	13931414467280736271	0.0000000000	6803	0.0000000000
28	17027433896387945395	0.0000000000	8460	0.0000000000
29	520324629128040228	0.0000000000	16599	0.0000000000
30	7858847987573124453	0.0000000000	15887	0.0000000000
31	16657069432005198003	0.0000000000	11963	0.0000000000
32	3303836963991646703	0.0000000000	13697	0.0000000000
33	10368442723802325466	0.0000000000	6292	0.0000000000
34	14097627609532728280	0.0000000000	2916	0.0000000000
35	1374669322539188936	0.0000000000	9081	0.0000000000
36	10369745369462594300	0.0000000000	7858	0.0000000000
37	12249581567144989954	0.0000000000	11760	0.0000000000
38	3887235235952849394	0.0000000000	12514	0.0000000000
39	8936177091956132308	0.0000000000	1825	0.0000000000
40	15633704558089027375	0.0000000000	1337	0.0000000000
41	4688636836818565261	0.0000000000	2224	0.0000000000
42	6149821055044103313	0.0000000000	9279	0.0000000000
43	9188283139325803671	0.0000000000	2632	0.0000000000
44	13956310948762308203	0.0000000000	5721	0.0000000000
45	10118968526249132794	0.0000000000	29792	0.0000000000
46	7251700801891077616	0.0000000000	15887	0.0000000000
47	11947096545996455153	0.0000000000	12359	0.0000000000
48	11384733198153311516	0.0000000000	22493	0.0000000000
49	7823186920941671451	0.0000000000	23701	0.0000000000
50	15516788000137984293	0.0000000000	2765	0.0000000000
51	3374397758373242900	0.0000000000	586	0.0000000000
52	8242477299940831062	0.0000000000	2664	0.0000000000
53	15405698928020597209	0.0000000000	11076	0.0000000000
54	10494363557995427270	0.0000000000	4767	0.0000000000
55	11851817067206489169	0.0000000000	11195	0.0000000000
56	11357898340897756903	0.0000000000	4877	0.0000000000
57	9692447327446626127	0.0000000000	3875	0.0000000000
58	4138555004563608843	0.0000000000	22438	0.0000000000
59	2239142532014743282	0.0000000000	839	0.0000000000
60	230773126182757894	0.0000000000	17014	0.0000000000
61	2173314438107378563	0.0000000000	18237	0.0000000000
62	7011268860006268306	0.0000000000	806	0.0000000000
63	1399070161628260596	0.0000000000	4185	0.0000000000
