section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	13
local	posteriorMassOfLocalPeaks	0.6286034955
local	meanUphillFraction	0.5011311357
local	posteriorWeightedMeanUphillFraction	0.0060289962
local	meanBestNeighborLnLDifference	29.2425549304
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.1938298662
local	meanNeighborAbsLnLDifference	9.9629753432
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.4070417716
basin	numPeaks	13
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	914690
basin	largestBasinMass	0.9949266975
basin	basinMassEntropy	0.0319448873
basin	effectiveNumBasins	1.0324606021
basin	mapTreeHash	10667474865877392284
basin	mapPeakHash	10667474865877392284
basin	mapPeakId	0
basin	mapBasinMass	0.9949266975
basin	posteriorMassOutsideMapBasin	0.0050733025
ascent	meanAscentLength	5.6577619911
ascent	posteriorWeightedMeanAscentLength	0.3722815503
ascent	meanAscentLengthCredible95	0.7500000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.3453925989
ascent	maxAscentLength	13
credible95	credible95NumTrees	4
credible95	credible95Mass	0.9551574741
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	4
credible95	credible95LargestComponentMass	0.9551574741
credible95	credible95MapComponentSize	4
credible95	credible95MapComponentMass	0.9551574741
barrier	basinGraphEdges	78
barrier	meanBasinGraphDegree	12.0000000000
barrier	mapBasinGraphDegree	12
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	7.6305633629
barrier	meanBarrier	19.9230718841
barrier	posteriorWeightedMeanBarrier	5.0182302577
barrier	maxBarrier	58.1132520359

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	10667474865877392284	0.6252531517	914690	0.9949266975
1	10324198887431388283	0.0033407533	551625	0.0050623808
2	14093486591111374668	0.0000095611	160405	0.0000108669
3	15571085747497726625	0.0000000247	84981	0.0000000493
4	17799708269756447471	0.0000000040	77560	0.0000000044
5	10079227655342552495	0.0000000006	65185	0.0000000007
6	13355927625687165021	0.0000000002	24322	0.0000000003
7	16550426852500463777	0.0000000000	54133	0.0000000001
8	10118968526249132794	0.0000000000	22488	0.0000000000
9	11384733198153311516	0.0000000000	30678	0.0000000000
10	7823186920941671451	0.0000000000	20466	0.0000000000
11	4138555004563608843	0.0000000000	14278	0.0000000000
12	230773126182757894	0.0000000000	6214	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	10324198887431388283	10667474865877392284	12655843430081911875	13391299105900134278	-5462.5327148438	0.0003035163	2.3986030645	7.6305633629
0	2	10667474865877392284	14093486591111374668	2197449846237236877	14093486591111374668	-5467.0971679688	0.0000031609	12.1950164879	1.1068033044
0	3	10667474865877392284	15571085747497726625	8992346648558435547	15571085747497726625	-5472.0820312500	0.0000000216	17.1798797692	0.1321756670
2	3	14093486591111374668	15571085747497726625	12058146369241165742	15571085747497726625	-5474.9248046875	0.0000000013	8.9344400232	2.9749491045
5	0	10079227655342552495	10667474865877392284	10079227655342552495	13751433511206880711	-5476.9472656250	0.0000000002	1.2016285780	22.0451141442
1	2	10324198887431388283	14093486591111374668	5046576497616863514	10697592194262778161	-5477.0004882812	0.0000000002	16.8663765020	11.0101236169
0	4	10667474865877392284	17799708269756447471	13277350985500901710	17913108059080330946	-5477.2216796875	0.0000000001	22.3195282067	3.4531317500
6	3	13355927625687165021	15571085747497726625	9199271562830247788	13355927625687165021	-5477.2797851562	0.0000000001	0.3278487258	5.3299295732
1	4	10324198887431388283	17799708269756447471	10003447507247173964	17799708269756447471	-5478.8056640625	0.0000000000	18.6715522833	5.0371161250
0	6	10667474865877392284	13355927625687165021	1416753601208167498	17191254499761011233	-5478.8754882812	0.0000000000	23.9733368004	1.9235518508
5	2	10079227655342552495	14093486591111374668	9601078230747906782	12199737976402410812	-5478.9082031250	0.0000000000	3.1625660780	12.9178384607
2	7	14093486591111374668	16550426852500463777	167167149883495741	8968232526304437426	-5479.6137695312	0.0000000000	13.6234048669	0.3882816407
5	4	10079227655342552495	17799708269756447471	2758909691409259528	17913108059080330946	-5479.6889648438	0.0000000000	3.9433277967	5.9204169063
1	7	10324198887431388283	16550426852500463777	520324629128040228	4777105609190618805	-5482.5541992188	0.0000000000	22.4200874395	3.3287113282
0	7	10667474865877392284	16550426852500463777	3303836963991646703	11194079122782183697	-5483.4716796875	0.0000000000	28.5695282067	4.2461917969
7	4	16550426852500463777	17799708269756447471	12741335097491858390	15087818950950110766	-5484.1684570312	0.0000000000	4.9429691407	10.3999090938
5	7	10079227655342552495	16550426852500463777	4202356986696808755	16224556528650061322	-5484.9726562500	0.0000000000	9.2270192030	5.7471683594
6	2	13355927625687165021	14093486591111374668	3760238708457334540	12519151469844495153	-5485.7597656250	0.0000000000	8.8078291946	19.7694009607
3	7	15571085747497726625	16550426852500463777	167167149883495741	13806925663207299616	-5486.1489257812	0.0000000000	14.1990701982	6.9234378907
8	0	10118968526249132794	10667474865877392284	16168742408438756217	17901207515298700631	-5486.2495117188	0.0000000000	1.2665197675	31.3473602379
