move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	3.1482378748659798e-17	1	9.9999999999999995e-07	1.2369209538073302e-22	0.071428571428571425	0.038765530327644369	0.0051066533972009961	0.99999999999999967	0.54271742446267746	28378350	0	1	1	1	36322	0	1	1	1	156876	0	1	1	1	425187	0	1	1	1	944756	0	1	1	1	2022770	0	1	1	1	4024097	0	0	0	nan	nan	0.99826609829525215	0.0017339017047478533	576.73396205895165	1152.4679241179033	1	4	1	0	0.092617772345589822	0.37601483209927211	2189.921459150522	0	0.057780426164738372	nan	2.8234707056888357	5.3587010164494795e+86	997704	0.35417403055932617	6	0.95474995951785968	nan	nan	9.9999999999999995e-07	123142.25728406546
NNI2	0	NNI2 (0.000000)	2027025	8.5421373599502438e-17	1	9.9999999999999995e-07	1.4641945856472665e-36	0.0081967213114754103	0.0042022345936466449	0.0090631492214056988	1.0000000000000009	0.5294815588778109	255405150	0	1	1	1	4938973	0	1	1	1	9567262	0	1	1	1	17075101	0	1	1	1	28588470	0	1	1	1	45395847	0	1	1	1	68197548	0	0	0	nan	nan	0.99259114688204242	0.0074088531179575812	134.97365706659775	268.9473141331955	1	4	1	0	0.016945540800686401	0.10922450740104535	1211.0743113891392	0	0.0116355963941103	nan	2.8234707056888064	5.3587010164494232e+86	895043	0.35417403055932989	6	0.95474995951786978	nan	nan	9.9999999999999995e-07	28819.109618163035
TBR	0	TBR (0.000000)	2027025	7.0774454048887072e-17	1	9.9999999999999995e-07	1.6134497482060438e-54	0.013114754098360656	0.0017077021949467716	0.0092811477109870453	0.95538057742781768	0.49623676324123861	589027950	0	1	1	1	35244982	0	1	1	1	52863103	0	1	1	1	76623347	0	1	1	1	107724558	0	1	1	1	147177652	0	1	1	1	194994152	0	0	0	nan	nan	0.99305861135271334	0.0069413886472866615	144.06339290494745	287.1267858098949	1	4	1	0	0.018519345670665863	0.11452599403635334	1458.3499842285246	0	0.012347894077868168	nan	2.8234707056888064	5.3587010164494232e+86	895043	0.35417403055932989	6	0.95474995951786978	nan	nan	9.9999999999999995e-07	30759.918656604477
NNI	0.02	NNI (0.020000)	2027025	5.7438586244884778e-17	1	9.9999999999999995e-07	2.5764586939971332e-22	0.16988719966675783	0.044312692459822993	0.0063471375729352375	1.0000000000000004	0.62037769443956847	28378350	0	1	1	1	28933	0	1	1	1	136397	0	1	1	1	390441	0	1	1	1	888426	0	1	1	1	1934320	0	1	1	1	3917905	0	0	0	nan	nan	0.99789751661153037	0.0021024833884696337	475.62801470116972	950.25602940233944	1	4	1	0	0.11150537379557114	0.43139753169135298	1805.2377564245451	0	0.069560158571424252	nan	2.8234707056888357	5.3587010164494795e+86	997704	0.35417403055932617	6	0.95474995951785968	nan	nan	9.9999999999999995e-07	101554.45279364868
NNI2	0.02	NNI2 (0.020000)	2027025	1.1823619391525366e-16	1	9.9999999999999995e-07	4.4779565091133874e-36	0.030761009853819309	0.0050319352259069229	0.012910949214013562	1.0000000000000009	0.63402383850950061	255405150	0	1	1	1	4538879	0	1	1	1	8985962	0	1	1	1	16319415	0	1	1	1	27707129	0	1	1	1	44510810	0	1	1	1	67530089	0	0	0	nan	nan	0.98957939045240373	0.010420609547596271	95.963676158528614	190.92735231705723	1	4	1	0	0.0241667174455092	0.14733154843809559	833.44621345713858	0	0.016568589603390301	nan	2.8234707056888064	5.3587010164494232e+86	895043	0.35417403055932989	6	0.95474995951786978	nan	nan	9.9999999999999995e-07	20489.833073423066
TBR	0.02	TBR (0.020000)	2027025	8.4080880997832567e-17	1	9.9999999999999995e-07	9.771554057636274e-54	0.030941862340414007	0.0021152133201800304	0.014709697530565889	0.97516655636477345	0.61465436589789779	589027950	0	1	1	1	33695491	0	1	1	1	51077215	0	1	1	1	74722474	0	1	1	1	105884938	0	1	1	1	145669929	0	1	1	1	194139778	0	0	0	nan	nan	0.98788405659972767	0.012115943400272333	82.535875826022988	164.07175165204598	1	4	1	0	0.030320280678314427	0.17228534751048191	868.05833564186821	0	0.020091806706501781	nan	2.8234707056888064	5.3587010164494232e+86	895043	0.35417403055932989	6	0.95474995951786978	nan	nan	9.9999999999999995e-07	17622.775470290944
NNI	0.050000000000000003	NNI (0.050000)	2027025	2.7986859282078538e-17	1	9.9999999999999995e-07	6.3302513818889016e-22	0.45161763506990849	0.051968245730000605	0.0085632572479132415	1.0000000000000004	0.72755544022243512	28378350	0	1	1	1	21117	0	1	1	1	112835	0	1	1	1	348630	0	1	1	1	820220	0	1	1	1	1828233	0	1	1	1	3799052	0	0	0	nan	nan	0.99727857371816031	0.0027214262818396895	367.45437738772699	733.90875477545399	1	4	1	0	0.14308664805298466	0.51620862921546551	1412.6084716890023	0	0.089439321782338363	nan	2.8234707056888357	5.3587010164494795e+86	997704	0.35417403055932617	6	0.95474995951785968	nan	nan	9.9999999999999995e-07	78457.59028516039
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	8.3587636566046608e-17	1	9.9999999999999995e-07	1.8067928366592712e-35	0.14174587193997512	0.0061344277881703871	0.020771815636250603	1.0000000000000007	0.77293790136518048	255405150	0	1	1	1	4086641	0	1	1	1	8333753	0	1	1	1	15497891	0	1	1	1	26828909	0	1	1	1	43801402	0	1	1	1	67342274	0	0	0	nan	nan	0.98376712252329612	0.016232877476703877	61.603372626641196	122.20674525328239	1	4	1	0	0.038720280882488051	0.21788158846107961	513.3530817187285	0	0.026631346141520899	nan	2.8234707056888064	5.3587010164494232e+86	895043	0.35417403055932989	6	0.95474995951786978	nan	nan	9.9999999999999995e-07	13153.339601504564
TBR	0.050000000000000003	TBR (0.050000)	2027025	1.4619573260176438e-16	1	9.9999999999999995e-07	6.9264074729214451e-53	0.12716908995510107	0.0026631658093850632	0.024674167845860188	0.99337999366016838	0.77388246199312494	589027950	0	1	1	1	32141141	0	1	1	1	49413982	0	1	1	1	73182191	0	1	1	1	104815784	0	1	1	1	145522677	0	1	1	1	195400618	0	0	0	nan	nan	0.97663452579493737	0.023365474205062631	42.798189808761876	84.596379617523752	1	4	1	0	0.052232553761705609	0.26784452978538592	486.50659679951411	0	0.034633649527341805	nan	2.8234707056888064	5.3587010164494232e+86	895043	0.35417403055932989	6	0.95474995951786978	nan	nan	9.9999999999999995e-07	9138.1218572989746
NNI	0.10000000000000001	NNI (0.100000)	2027025	6.2162703424397984e-17	1	9.9999999999999995e-07	1.3710295459901442e-21	0.87723866783367987	0.061482760806837733	0.013190648456660986	1.0000000000000004	0.8607586512983687	28378350	0	1	1	1	14765	0	1	1	1	89626	0	1	1	1	303457	0	1	1	1	745030	0	1	1	1	1715176	0	1	1	1	3701962	0	0	0	nan	nan	0.99610725593157323	0.0038927440684267678	256.8881956845791	512.77639136915809	1	4	1	0	0.20277213714253436	0.65479647893797566	1043.9626371999884	0	0.12781181974630415	nan	2.8234707056888357	5.3587010164494795e+86	997704	0.35417403055932617	6	0.95474995951785968	nan	nan	9.9999999999999995e-07	54849.881358045874
