section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	25
local	posteriorMassOfLocalPeaks	0.5381321433
local	meanUphillFraction	0.4999772362
local	posteriorWeightedMeanUphillFraction	0.0463088862
local	meanBestNeighborLnLDifference	19.2324641080
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.2509058612
local	meanNeighborAbsLnLDifference	8.3625959408
local	posteriorWeightedMeanNeighborAbsLnLDifference	8.5231393496
basin	numPeaks	25
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	924989
basin	largestBasinMass	0.8080418839
basin	basinMassEntropy	0.4936211736
basin	effectiveNumBasins	1.6382378354
basin	mapTreeHash	1468850521170747849
basin	mapPeakHash	1468850521170747849
basin	mapPeakId	0
basin	mapBasinMass	0.8080418839
basin	posteriorMassOutsideMapBasin	0.1919581161
ascent	meanAscentLength	10.9341764408
ascent	posteriorWeightedMeanAscentLength	0.4963616977
ascent	meanAscentLengthCredible95	0.8333333333
ascent	posteriorWeightedMeanAscentLengthCredible95	0.4585037593
ascent	maxAscentLength	24
credible95	credible95NumTrees	6
credible95	credible95Mass	0.9547499595
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	5
credible95	credible95LargestComponentMass	0.7711246040
credible95	credible95MapComponentSize	5
credible95	credible95MapComponentMass	0.7711246040
barrier	basinGraphEdges	244
barrier	meanBasinGraphDegree	19.5200000000
barrier	mapBasinGraphDegree	24
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	4.0633293987
barrier	meanBarrier	46.6003898838
barrier	posteriorWeightedMeanBarrier	3.7515049713
barrier	maxBarrier	153.8817359086

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1468850521170747849	0.3541740306	924989	0.8080418839
1	9595187430683900120	0.1836253555	507664	0.1912974629
2	18304440094376874504	0.0003066812	313966	0.0006158852
3	7859957881495821077	0.0000259747	77506	0.0000446308
4	4865475477246680376	0.0000000638	74244	0.0000000974
5	5301191236111033279	0.0000000374	36909	0.0000000397
6	13737743600836533406	0.0000000001	11488	0.0000000001
7	3847092722669455688	0.0000000001	5672	0.0000000001
8	14049893413071493124	0.0000000000	14188	0.0000000000
9	12748971180908838233	0.0000000000	3250	0.0000000000
10	14691359977546588917	0.0000000000	18606	0.0000000000
11	17486628815982300728	0.0000000000	5536	0.0000000000
12	2557021980928662359	0.0000000000	9279	0.0000000000
13	3049368156510934102	0.0000000000	1216	0.0000000000
14	16458604756346225983	0.0000000000	3167	0.0000000000
15	11891478448177776713	0.0000000000	4325	0.0000000000
16	600072142800552365	0.0000000000	2504	0.0000000000
17	7761972936190404162	0.0000000000	7545	0.0000000000
18	14225899575374872991	0.0000000000	2645	0.0000000000
19	14065391123596508350	0.0000000000	318	0.0000000000
20	10799242644071972568	0.0000000000	371	0.0000000000
21	1158551623325779908	0.0000000000	789	0.0000000000
22	18317432355351044699	0.0000000000	690	0.0000000000
23	4360995553744515679	0.0000000000	59	0.0000000000
24	16158143083407435747	0.0000000000	99	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
0	1	1468850521170747849	9595187430683900120	9595187430683900120	12598483218066009865	-5791.9760742188	0.0060896641	4.0633293987	3.4064385651
0	2	1468850521170747849	18304440094376874504	15780534780717809596	18304440094376874504	-5797.0488281250	0.0000381481	9.1360833049	2.0843483331
0	3	1468850521170747849	7859957881495821077	7859957881495821077	18190834170288615988	-5798.6660156250	0.0000075704	10.7532708049	1.2328518532
0	5	1468850521170747849	5301191236111033279	5301191236111033279	15709784512438369784	-5804.3510742188	0.0000000257	16.4383293987	0.3739501375
0	4	1468850521170747849	4865475477246680376	5121999043654529686	6967822386986662307	-5805.8505859375	0.0000000057	17.9378411174	2.4082872764
5	2	5301191236111033279	18304440094376874504	1065148610467855414	3102052110432560399	-5807.7758789062	0.0000000008	3.7987548250	12.8113991144
1	2	9595187430683900120	18304440094376874504	9676534369744772029	9818369732986671900	-5807.9018554688	0.0000000007	19.3322198151	12.9373756769
3	1	7859957881495821077	9595187430683900120	12480217803889079604	15009689046197083582	-5808.8061523438	0.0000000003	11.3729885719	20.2365166901
0	6	1468850521170747849	13737743600836533406	1815795116110021237	13737743600836533406	-5810.1660156250	0.0000000001	22.2532708049	0.2030655793
7	4	3847092722669455688	4865475477246680376	3847092722669455688	15566936027216202680	-5810.6083984375	0.0000000000	0.0804663773	7.1660997764
4	1	4865475477246680376	9595187430683900120	7828002872820392942	12219983842031914516	-5811.6137695312	0.0000000000	8.1714708702	23.0441338776
4	6	4865475477246680376	13737743600836533406	13737743600836533406	16891987108857774743	-5811.9121093750	0.0000000000	8.4698107139	1.9491593293
5	1	5301191236111033279	9595187430683900120	6317950297188358646	10429879498993004991	-5812.4018554688	0.0000000000	8.4247313875	23.8322198151
0	8	1468850521170747849	14049893413071493124	11359667126092630896	14049893413071493124	-5812.6928710938	0.0000000000	24.7801262737	0.0295859378
0	7	1468850521170747849	3847092722669455688	3847092722669455688	10402598540764995098	-5813.1015625000	0.0000000000	25.1888176799	2.5736304398
1	6	9595187430683900120	13737743600836533406	157289255719471809	14866003881554532135	-5813.2226562500	0.0000000000	24.6530205963	3.2597062043
0	9	1468850521170747849	12748971180908838233	1579494760673826863	12748971180908838233	-5814.5541992188	0.0000000000	26.6414543987	0.8465894374
1	9	9595187430683900120	12748971180908838233	12748971180908838233	14648382992045686707	-5814.5844726562	0.0000000000	26.0148370026	0.8768628749
0	10	1468850521170747849	14691359977546588917	1252580110187400892	14691359977546588917	-5814.7958984375	0.0000000000	26.8831536174	0.0753768034
1	10	9595187430683900120	14691359977546588917	650620664814485507	17631290719840503363	-5817.3530273438	0.0000000000	28.7833916901	2.6325057096
8	2	14049893413071493124	18304440094376874504	1409556848395247248	10528247958985798773	-5817.6093750000	0.0000000000	4.9460898441	22.6448952081
7	1	3847092722669455688	9595187430683900120	9036048023489460244	9478635944639547105	-5818.6748046875	0.0000000000	8.1468726273	30.1051690338
3	2	7859957881495821077	18304440094376874504	1494995584654277085	14738787260353257211	-5818.8613281250	0.0000000000	21.4281643532	23.8968483331
9	10	12748971180908838233	14691359977546588917	10911206716781536414	12359359012856756193	-5819.8364257812	0.0000000000	6.1288159999	5.1159041471
4	2	4865475477246680376	18304440094376874504	269206524073512206	7316774749800797789	-5820.9609375000	0.0000000000	17.5186388389	25.9964577081
7	2	3847092722669455688	18304440094376874504	1704725605157956787	15160884478692191324	-5823.0458984375	0.0000000000	12.5179663773	28.0814186456
0	11	1468850521170747849	17486628815982300728	12673686924438118524	17486628815982300728	-5824.5083007812	0.0000000000	36.5955559612	2.7212507737
11	2	17486628815982300728	18304440094376874504	12965088863715262330	17486628815982300728	-5824.8564453125	0.0000000000	3.0693953049	29.8919655206
6	2	13737743600836533406	18304440094376874504	627741089671637587	14631233994810760054	-5825.9018554688	0.0000000000	15.9389054231	30.9373756769
4	3	4865475477246680376	7859957881495821077	4418024963236864174	7402103755205624536	-5827.0820312500	0.0000000000	23.6397325889	29.6488674782
