section	statistic	value
summary	numTrees	2027025
summary	numEdges	295527487
summary	meanDegree	291.5874125874
local	numLocalPeaks	1
local	posteriorMassOfLocalPeaks	0.3541740306
local	meanUphillFraction	0.4946713206
local	posteriorWeightedMeanUphillFraction	0.0044025371
local	meanBestNeighborLnLDifference	50.9644447653
local	posteriorWeightedMeanBestNeighborLnLDifference	0.6227459437
local	meanNeighborAbsLnLDifference	15.4029678122
local	posteriorWeightedMeanNeighborAbsLnLDifference	30.9180757973
basin	numPeaks	1
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	2027025
basin	largestBasinMass	1.0000000000
basin	basinMassEntropy	-0.0000000000
basin	effectiveNumBasins	1.0000000000
basin	mapTreeHash	1468850521170747849
basin	mapPeakHash	1468850521170747849
basin	mapPeakId	0
basin	mapBasinMass	1.0000000000
basin	posteriorMassOutsideMapBasin	-0.0000000000
ascent	meanAscentLength	4.8549120016
ascent	posteriorWeightedMeanAscentLength	0.6820858720
ascent	meanAscentLengthCredible95	1.0000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.6508319743
ascent	maxAscentLength	9
credible95	credible95NumTrees	6
credible95	credible95Mass	0.9547499595
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	6
credible95	credible95LargestComponentMass	0.9547499595
credible95	credible95MapComponentSize	6
credible95	credible95MapComponentMass	0.9547499595
barrier	basinGraphEdges	0
barrier	meanBasinGraphDegree	0.0000000000
barrier	mapBasinGraphDegree	0
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	0.0000000000
barrier	meanBarrier	0.0000000000
barrier	posteriorWeightedMeanBarrier	0.0000000000
barrier	maxBarrier	0.0000000000

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1468850521170747849	0.3541740306	2027025	1.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
