section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	26
local	posteriorMassOfLocalPeaks	0.5401259697
local	meanUphillFraction	0.4986938282
local	posteriorWeightedMeanUphillFraction	0.0549477147
local	meanBestNeighborLnLDifference	11.3898016122
local	posteriorWeightedMeanBestNeighborLnLDifference	0.1352195540
local	meanNeighborAbsLnLDifference	4.6414120687
local	posteriorWeightedMeanNeighborAbsLnLDifference	5.8388348288
basin	numPeaks	26
basin	numPeaksMassGreater01	4
basin	numPeaksMassGreater05	4
basin	largestBasinSize	441087
basin	largestBasinMass	0.4184881530
basin	basinMassEntropy	1.2591047779
basin	effectiveNumBasins	3.5222668645
basin	mapTreeHash	17817078998366789951
basin	mapPeakHash	17817078998366789951
basin	mapPeakId	0
basin	mapBasinMass	0.4184881530
basin	posteriorMassOutsideMapBasin	0.5815118470
ascent	meanAscentLength	9.7360234827
ascent	posteriorWeightedMeanAscentLength	0.5648073871
ascent	meanAscentLengthCredible95	1.1428571429
ascent	posteriorWeightedMeanAscentLengthCredible95	0.5047207441
ascent	maxAscentLength	23
credible95	credible95NumTrees	35
credible95	credible95Mass	0.9512187906
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	30
credible95	credible95LargestComponentMass	0.8595666509
credible95	credible95MapComponentSize	30
credible95	credible95MapComponentMass	0.8595666509
barrier	basinGraphEdges	278
barrier	meanBasinGraphDegree	21.3846153846
barrier	mapBasinGraphDegree	25
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	2.2434802494
barrier	meanBarrier	22.9248828312
barrier	posteriorWeightedMeanBarrier	4.8018607647
barrier	maxBarrier	76.8524072868

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	17817078998366789951	0.2422914170	252576	0.4184881530
1	2785477980593036870	0.1652350529	279671	0.3727328400
2	7477418432307363035	0.0760891977	441087	0.1078027378
3	5669739093460803758	0.0476430328	217028	0.0873271738
4	14038235005658208601	0.0062674370	46399	0.0066758013
5	1582524271426703247	0.0013653516	110856	0.0045278401
6	12773900909990351580	0.0011343370	251725	0.0021614656
7	2128079292498463713	0.0000565643	97300	0.0001316134
8	15090120153275969618	0.0000427668	82140	0.0001503847
9	15483971912138062216	0.0000005460	25145	0.0000014412
10	1534108810976527382	0.0000002488	5869	0.0000004573
11	3884762254053997034	0.0000000179	51683	0.0000000918
12	14417449953182105051	0.0000000000	65394	0.0000000001
13	2085342672845636312	0.0000000000	9665	0.0000000000
14	17077204602380073020	0.0000000000	44412	0.0000000000
15	15049318356724443885	0.0000000000	579	0.0000000000
16	16134071548265153387	0.0000000000	25850	0.0000000000
17	5045326952147398778	0.0000000000	1714	0.0000000000
18	13051509860999009181	0.0000000000	10002	0.0000000000
19	5291270563266690085	0.0000000000	957	0.0000000000
20	15982804102397743067	0.0000000000	4563	0.0000000000
21	3103155336047623387	0.0000000000	634	0.0000000000
22	3158026304737792748	0.0000000000	847	0.0000000000
23	10748618394280905367	0.0000000000	823	0.0000000000
24	846127051859628998	0.0000000000	22	0.0000000000
25	18190349905982806078	0.0000000000	84	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	2785477980593036870	17817078998366789951	12300369504648124502	14564350113891447172	-3165.2119140625	0.0257048266	1.8607080681	2.2434802494
1	3	2785477980593036870	5669739093460803758	10804268841097153702	14746014550481370388	-3166.1882324219	0.0096830829	2.8370264274	1.5933938082
3	4	5669739093460803758	14038235005658208601	12443655076045124576	14038235005658208601	-3167.5136718750	0.0025727355	2.9188332613	0.8904643584
3	2	5669739093460803758	7477418432307363035	10004884803055809848	12443655076045124576	-3167.8247070312	0.0018849478	3.2298684176	3.6980383199
4	0	14038235005658208601	17817078998366789951	3281849762966160501	14038235005658208601	-3169.3898925781	0.0003940538	2.7666850615	6.4214587650
3	0	5669739093460803758	17817078998366789951	410830437926725930	3607021685202664952	-3169.5920410156	0.0003218982	4.9972024019	6.6236072025
5	0	1582524271426703247	17817078998366789951	2772233690345839527	4140785953536920282	-3170.6660156250	0.0001099839	2.5188525890	7.6975818119
1	6	2785477980593036870	12773900909990351580	12773900909990351580	16995480580100859003	-3170.6757812500	0.0001089151	7.3245752556	2.3432545422
5	2	1582524271426703247	7477418432307363035	726611966076541482	4140691562541500735	-3170.8276367188	0.0000935580	2.6804736827	6.7009680074
5	1	1582524271426703247	2785477980593036870	7460686812997222844	11841115432321130474	-3170.8732910156	0.0000893852	2.7261279796	7.5220850212
6	8	12773900909990351580	15090120153275969618	9425976835932356463	15090120153275969618	-3172.0502929688	0.0000275512	3.7177662610	0.4397251344
1	2	2785477980593036870	7477418432307363035	9772371521113228671	18361233127958536854	-3172.1203613281	0.0000256891	8.7691553337	7.9936926168
2	4	7477418432307363035	14038235005658208601	619443745171039065	6953310607412481219	-3172.3359375000	0.0000207059	8.2092687887	5.7127299834
7	2	2128079292498463713	7477418432307363035	7918117519692815262	13438097323449885105	-3172.5153808594	0.0000173043	1.1844281541	8.3887121480
1	4	2785477980593036870	14038235005658208601	1512519542855846020	4614583936972246151	-3172.7590332031	0.0000135629	9.4078272087	6.1358256865
3	8	5669739093460803758	15090120153275969618	3771930242176352370	17458044855209089950	-3172.8559570312	0.0000123096	8.2611184176	1.2453891969
6	0	12773900909990351580	17817078998366789951	2005754462755641995	3837819699838974601	-3173.4526367188	0.0000067779	5.1201100110	10.4842029056
1	8	2785477980593036870	15090120153275969618	17469421753422789774	18101926354801717261	-3175.3056640625	0.0000010627	11.9544580681	3.6950962282
2	0	7477418432307363035	17817078998366789951	3483963150393647225	15843678207339172107	-3175.4775390625	0.0000008948	11.3508703512	12.5091052494
3	6	5669739093460803758	12773900909990351580	11085286164648015242	14983130602563337882	-3176.2285156250	0.0000004222	11.6336770113	7.8959889172
7	3	2128079292498463713	5669739093460803758	7177077410399870781	17335181218160460237	-3176.2578125000	0.0000004100	4.9268597947	11.6629738863
10	5	1534108810976527382	1582524271426703247	1534108810976527382	12649983214835249256	-3176.9611816406	0.0000002029	0.2036144536	8.8140186046
5	6	1582524271426703247	12773900909990351580	9840115728371310834	11815390946928931122	-3177.1813964844	0.0000001628	9.0342334483	8.8488697766
4	8	14038235005658208601	15090120153275969618	13616926880094387422	18085803759386404833	-3177.4328613281	0.0000001266	10.8096538115	5.8222934938
7	8	2128079292498463713	15090120153275969618	647689606836382369	9182025066870977548	-3177.8286132812	0.0000000852	6.4976605760	6.2180454469
10	6	1534108810976527382	12773900909990351580	1480092399664541464	1534108810976527382	-3178.6022949219	0.0000000393	1.8447277349	10.2697682141
9	0	15483971912138062216	17817078998366789951	5578901821755197549	15483971912138062216	-3178.8630371094	0.0000000303	2.8915164891	15.8946032962
7	6	2128079292498463713	12773900909990351580	9182025066870977548	15210952985421537117	-3179.1413574219	0.0000000229	7.8104047166	10.8088307141
2	9	7477418432307363035	15483971912138062216	13213940598545064824	15483971912138062216	-3179.9760742188	0.0000000100	15.8494055074	4.0045535984
5	11	1582524271426703247	3884762254053997034	5388295579341347879	13295818901284435388	-3180.1359863281	0.0000000085	11.9888232921	0.7464004901
5	7	1582524271426703247	2128079292498463713	360475944725710537	5906935474886232035	-3180.7651367188	0.0000000045	12.6179736827	9.4341840135
10	7	1534108810976527382	2128079292498463713	5906935474886232035	16450572728807427108	-3180.7651367188	0.0000000045	4.0075695317	9.4341840135
5	9	1582524271426703247	15483971912138062216	11872198223169689847	15483971912138062216	-3181.0739746094	0.0000000033	12.9268115733	5.1024539891
1	9	2785477980593036870	15483971912138062216	8093981640534323366	13077768852659373876	-3181.2280273438	0.0000000028	17.8768213493	5.2565067234
11	0	3884762254053997034	17817078998366789951	14856933814574184253	15563203944071558709	-3182.2478027344	0.0000000010	2.8582168964	19.2793689212
5	3	1582524271426703247	5669739093460803758	7573516293342373053	13137736876995904571	-3182.3122558594	0.0000000010	14.1650928233	17.7174172457
7	1	2128079292498463713	2785477980593036870	3168601348887708489	7340554370905497365	-3182.8964843750	0.0000000005	11.5655316697	19.5452783806
11	2	3884762254053997034	7477418432307363035	10876980851437278635	11861820942591351468	-3183.0573730469	0.0000000005	3.6677872089	18.9307043355
11	6	3884762254053997034	12773900909990351580	3215252521717534665	5890017672251350046	-3183.4179687500	0.0000000003	4.0283829120	15.0854420422
8	0	15090120153275969618	17817078998366789951	6457141617932857882	16558366987815658498	-3183.4450683594	0.0000000003	11.8345005251	20.4766345462
10	0	1534108810976527382	17817078998366789951	3308957097007950325	6813576765074074945	-3183.4970703125	0.0000000003	6.7395031255	20.5286364994
6	4	12773900909990351580	14038235005658208601	4789334052065321305	13658278420526483468	-3184.7287597656	0.0000000001	16.3962330578	18.1055522490
2	6	7477418432307363035	12773900909990351580	5600716895474800814	8498760056979197717	-3185.6425781250	0.0000000000	21.5159094137	17.3100514172
5	13	1582524271426703247	2085342672845636312	1117842862381055300	2085342672845636312	-3186.3903808594	0.0000000000	18.2432178233	0.0087077941
1	11	2785477980593036870	3884762254053997034	4058502151861693719	13738405749367159189	-3186.4833984375	0.0000000000	23.1321924431	7.0938125995
10	1	1534108810976527382	2785477980593036870	7340554370905497365	17418250041983082179	-3186.9304199219	0.0000000000	10.1728527349	23.5792139274
7	11	2128079292498463713	3884762254053997034	2453399234937502100	2685359248337523599	-3187.1196289062	0.0000000000	15.7886762010	7.7300430683
2	8	7477418432307363035	15090120153275969618	16089647777469757	10560617478619458526	-3187.3344726562	0.0000000000	23.2078039449	15.7239048219
2	12	7477418432307363035	14417449953182105051	11676335336707832943	14417449953182105051	-3187.8769531250	0.0000000000	23.7502844137	1.6680896692
13	0	2085342672845636312	17817078998366789951	4904162384650562699	9690909637272781523	-3189.0275878906	0.0000000000	2.6459148254	26.0591540775
13	2	2085342672845636312	7477418432307363035	2085342672845636312	18170429512599867410	-3189.3598632812	0.0000000000	2.9781902160	25.2331945699
12	14	14417449953182105051	17077204602380073020	1650940664420247192	17077204602380073020	-3189.6962890625	0.0000000000	3.4874256067	0.6770310916
3	14	5669739093460803758	17077204602380073020	7141115337852261800	11743357255928566886	-3189.7719726562	0.0000000000	25.1771340426	0.7527146854
7	4	2128079292498463713	14038235005658208601	3713770442005541812	8680125119851595486	-3189.7941894531	0.0000000000	18.4632367478	23.1709819365
3	15	5669739093460803758	15049318356724443885	9676451957453278640	15049318356724443885	-3189.9667968750	0.0000000000	25.3719582613	0.0956824089
6	9	12773900909990351580	15483971912138062216	5606688556421700996	8992190859572644980	-3190.6208496094	0.0000000000	22.2883229016	14.6493289891
2	14	7477418432307363035	17077204602380073020	3860145838640955873	16894327585268126970	-3191.0729980469	0.0000000000	26.9463293355	2.0537400760
3	16	5669739093460803758	16134071548265153387	8956187281207231284	16134071548265153387	-3191.8671875000	0.0000000000	27.2723488863	0.6224960943
10	9	1534108810976527382	15483971912138062216	2844627912993635866	11570175235389762899	-3191.9572753906	0.0000000000	15.1997082036	15.9857547703
17	3	5045326952147398778	5669739093460803758	5045326952147398778	14860899627427450105	-3192.0893554688	0.0000000000	0.1474865155	27.4945168551
5	8	1582524271426703247	15090120153275969618	12199184412150559039	15611330539772236496	-3192.2739257812	0.0000000000	24.1267627452	20.6633579469
1	17	2785477980593036870	5045326952147398778	5949130507771490138	10343868423961333029	-3192.3740234375	0.0000000000	29.0228174431	0.4321544843
3	12	5669739093460803758	14417449953182105051	9508784871922590526	10774129561512424156	-3192.3999023438	0.0000000000	27.8050637301	6.1910388880
15	8	15049318356724443885	15090120153275969618	3682678227159255064	4667028892640435037	-3192.6901855469	0.0000000000	2.8190710808	21.0796177126
18	14	13051509860999009181	17077204602380073020	8345743754903413871	13051509860999009181	-3192.7639160156	0.0000000000	0.0659229831	3.7446580447
11	9	3884762254053997034	15483971912138062216	6969144792174173603	15742715544364188821	-3192.9780273438	0.0000000000	13.5884415058	17.0065067234
1	19	2785477980593036870	5291270563266690085	5291270563266690085	12902574157149156337	-3193.0175781250	0.0000000000	29.6663721306	0.1811968022
17	16	5045326952147398778	16134071548265153387	5045326952147398778	12583179857939186988	-3193.1569824219	0.0000000000	1.2151134687	1.9122910162
6	16	12773900909990351580	16134071548265153387	5326569586237342850	12583179857939186988	-3193.2255859375	0.0000000000	24.8930592297	1.9808945318
13	9	2085342672845636312	15483971912138062216	4475772860442200250	10422148807078795785	-3193.3811035156	0.0000000000	6.9994304504	17.4095828953
19	6	5291270563266690085	12773900909990351580	5291270563266690085	15800161589132694738	-3193.4116210938	0.0000000000	0.5752397710	25.0790943860
7	12	2128079292498463713	14417449953182105051	14798307117910196550	15091787925911877865	-3193.4174804688	0.0000000000	22.0865277635	7.2086170130
17	0	5045326952147398778	17817078998366789951	4086673594427562342	10343868423961333029	-3193.4892578125	0.0000000000	1.5473888593	30.5208239994
7	9	2128079292498463713	15483971912138062216	8317979964275048625	9360212430645166898	-3193.7446289062	0.0000000000	22.4136762010	17.7731082859
17	6	5045326952147398778	12773900909990351580	6339853151273130100	6575708928882291552	-3193.7846679688	0.0000000000	1.8427990155	25.4521412610
13	1	2085342672845636312	2785477980593036870	10011618318928652152	10706770916445495493	-3194.1076660156	0.0000000000	7.7259929504	30.7564600212
5	12	1582524271426703247	14417449953182105051	6614985713609533969	10931233904776842485	-3194.3979492188	0.0000000000	26.2507861827	8.1890857630
14	0	17077204602380073020	17817078998366789951	643366811817573560	17507052152453801748	-3194.4318847656	0.0000000000	5.4126267947	31.4634509525
16	0	16134071548265153387	17817078998366789951	6027599942201033222	15521189146853821623	-3194.6318359375	0.0000000000	3.3871445318	31.6634021244
1	16	2785477980593036870	16134071548265153387	2246725581784223853	14873172210610902641	-3194.9370117188	0.0000000000	31.5858057243	3.6923203131
11	3	3884762254053997034	5669739093460803758	6593580708129510048	9187843382871487912	-3195.0151367188	0.0000000000	15.6255508808	30.4202981051
1	14	2785477980593036870	17077204602380073020	13002141245746836014	17674193055297838839	-3195.2211914062	0.0000000000	31.8699854118	6.2019334354
5	14	1582524271426703247	17077204602380073020	3674966223300298159	13628025900961616313	-3195.6589355469	0.0000000000	27.5117725108	6.6396775760
19	15	5291270563266690085	15049318356724443885	1783973198088481250	7847574735599453863	-3195.8242187500	0.0000000000	2.9878374272	5.9531042839
19	3	5291270563266690085	5669739093460803758	1783973198088481250	3772276954529986450	-3196.0390625000	0.0000000000	3.2026811772	31.4442238863
2	20	7477418432307363035	15982804102397743067	11977711741655302278	15982804102397743067	-3196.3088378906	0.0000000000	32.1821691793	0.0665051177
19	8	5291270563266690085	15090120153275969618	769563877302622797	1894826444607830195	-3196.4462890625	0.0000000000	3.6099077397	24.8357212282
1	18	2785477980593036870	13051509860999009181	8543255982658244672	11303623942682641157	-3196.5666503906	0.0000000000	33.2154443962	3.8686573581
5	18	1582524271426703247	13051509860999009181	837692462745598958	8621727048604979873	-3196.6936035156	0.0000000000	28.5464404796	3.9956104831
15	16	15049318356724443885	16134071548265153387	11009625187814612608	15705961048919348404	-3196.7258300781	0.0000000000	6.8547156121	5.4811386724
19	16	5291270563266690085	16134071548265153387	1783973198088481250	15705961048919348404	-3196.7258300781	0.0000000000	3.8894487553	5.4811386724
1	21	2785477980593036870	3103155336047623387	3103155336047623387	6783965735596126539	-3197.0017089844	0.0000000000	33.6505029899	0.1824412760
5	21	1582524271426703247	3103155336047623387	3103155336047623387	14901748230271297844	-3197.6787109375	0.0000000000	29.5315479015	0.8594432291
11	8	3884762254053997034	15090120153275969618	11265277239963172119	14067552167733564969	-3197.9470214844	0.0000000000	18.5574356464	26.3364536501
20	14	15982804102397743067	17077204602380073020	5032618432744835852	9864544840415958042	-3198.0300292969	0.0000000000	1.7876965240	9.0107713260
12	20	14417449953182105051	15982804102397743067	13957399543673174428	15982804102397743067	-3198.0563964844	0.0000000000	11.8475330286	1.8140637115
16	14	16134071548265153387	17077204602380073020	233156721741076173	6402708885012643528	-3198.2016601562	0.0000000000	6.9569687506	9.1824021854
7	0	2128079292498463713	17817078998366789951	269572009064541502	529924683713389286	-3198.2358398438	0.0000000000	26.9048871385	35.2674060306
18	12	13051509860999009181	14417449953182105051	827492011450416140	2037273534867915771	-3198.5024414062	0.0000000000	5.8044483737	12.2935779505
3	9	5669739093460803758	15483971912138062216	78771089748715429	15712462068529372217	-3198.6132812500	0.0000000000	34.0184426363	22.6417606297
5	4	1582524271426703247	14038235005658208601	5195893711833696539	9001746918223990028	-3198.7329101562	0.0000000000	30.5857471202	32.1097026396
10	13	1534108810976527382	2085342672845636312	6170763548749458359	13173113658949381175	-3199.1884765625	0.0000000000	22.4309093755	12.8068034972
12	0	14417449953182105051	17817078998366789951	2215851812350088169	14233842507360645673	-3199.2116699219	0.0000000000	13.0028064661	36.2432361087
13	11	2085342672845636312	3884762254053997034	6873065197129188497	9005456288777404252	-3199.2756347656	0.0000000000	12.8939617004	19.8860489276
12	16	14417449953182105051	16134071548265153387	352052856992324992	6312925263228036359	-3199.4541015625	0.0000000000	13.2452381067	8.2094101568
10	2	1534108810976527382	7477418432307363035	12266356322231429761	14955135760919497049	-3199.5500488281	0.0000000000	22.7924816411	35.4233801168
13	21	2085342672845636312	3103155336047623387	3103155336047623387	8584861546490340939	-3199.8493652344	0.0000000000	13.4676921691	3.0300975260
18	9	13051509860999009181	15483971912138062216	3906338415140154569	15088831404767808136	-3199.8627929688	0.0000000000	7.1647999362	23.8912723484
6	14	12773900909990351580	17077204602380073020	14071542641360815498	17235585905848445514	-3199.8708496094	0.0000000000	31.5383229016	10.8515916385
8	14	15090120153275969618	17077204602380073020	14071542641360815498	17480182480172291099	-3199.8708496094	0.0000000000	28.2602817751	10.8515916385
2	15	7477418432307363035	15049318356724443885	4629860022440175075	5757292461497095623	-3199.8879394531	0.0000000000	35.7612707418	10.0168249871
9	14	15483971912138062216	17077204602380073020	1025840984154289796	10249325328114374015	-3199.9187011719	0.0000000000	23.9471805516	10.8994432010
12	9	14417449953182105051	15483971912138062216	1025840984154289796	7865364525285009181	-3199.9187011719	0.0000000000	13.7098377161	23.9471805516
1	12	2785477980593036870	14417449953182105051	7203425382135477043	9728391658370794265	-3200.3903808594	0.0000000000	37.0391748649	14.1815174036
8	9	15090120153275969618	15483971912138062216	5870778147524427701	14237575333815016583	-3200.6657714844	0.0000000000	29.0552036501	24.6942508641
8	16	15090120153275969618	16134071548265153387	14467362214330380042	15323720937290022777	-3200.6743164062	0.0000000000	29.0637485719	9.4296250006
19	4	5291270563266690085	14038235005658208601	9974396624930532788	14274040855993123538	-3200.7414550781	0.0000000000	7.9050737553	34.1182475615
20	0	15982804102397743067	17817078998366789951	8155829067224949764	12798404928149075013	-3200.9213867188	0.0000000000	4.6790539459	37.9529529056
20	16	15982804102397743067	16134071548265153387	925822541277324363	8345378187191870699	-3200.9306640625	0.0000000000	4.6883312896	9.6859726568
19	12	5291270563266690085	14417449953182105051	1214482473775837890	1783973198088481250	-3201.0170898438	0.0000000000	8.1807085210	14.8082263880
22	6	3158026304737792748	12773900909990351580	3158026304737792748	6113158293027430186	-3201.1525878906	0.0000000000	0.0685732610	32.8200611828
2	18	7477418432307363035	13051509860999009181	5411268497983837291	11677798518613440021	-3201.1591796875	0.0000000000	37.0325109762	8.4611866549
21	3	3103155336047623387	5669739093460803758	6490298505097424505	13443871898756577282	-3201.1892089844	0.0000000000	4.3699412760	36.5943703707
22	19	3158026304737792748	5291270563266690085	3158026304737792748	9017056791846696460	-3201.3654785156	0.0000000000	0.2814638860	8.5290971928
