section	statistic	value
summary	numTrees	2027025
summary	numEdges	127702575
summary	meanDegree	126.0000000000
local	numLocalPeaks	5
local	posteriorMassOfLocalPeaks	0.5313152647
local	meanUphillFraction	0.5005571870
local	posteriorWeightedMeanUphillFraction	0.0170313670
local	meanBestNeighborLnLDifference	21.6160958729
local	posteriorWeightedMeanBestNeighborLnLDifference	0.4146067150
local	meanNeighborAbsLnLDifference	6.7913437788
local	posteriorWeightedMeanNeighborAbsLnLDifference	11.2187182299
basin	numPeaks	5
basin	numPeaksMassGreater01	4
basin	numPeaksMassGreater05	4
basin	largestBasinSize	645179
basin	largestBasinMass	0.4779110990
basin	basinMassEntropy	1.1484667231
basin	effectiveNumBasins	3.1533542358
basin	mapTreeHash	17817078998366789951
basin	mapPeakHash	17817078998366789951
basin	mapPeakId	0
basin	mapBasinMass	0.4779110990
basin	posteriorMassOutsideMapBasin	0.5220889010
ascent	meanAscentLength	5.5673117006
ascent	posteriorWeightedMeanAscentLength	0.4883947559
ascent	meanAscentLengthCredible95	0.9142857143
ascent	posteriorWeightedMeanAscentLengthCredible95	0.4480856890
ascent	maxAscentLength	12
credible95	credible95NumTrees	35
credible95	credible95Mass	0.9512187906
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	35
credible95	credible95LargestComponentMass	0.9512187906
credible95	credible95MapComponentSize	35
credible95	credible95MapComponentMass	0.9512187906
barrier	basinGraphEdges	10
barrier	meanBasinGraphDegree	4.0000000000
barrier	mapBasinGraphDegree	4
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	1.3560290775
barrier	meanBarrier	4.1606630402
barrier	posteriorWeightedMeanBarrier	2.1992718446
barrier	maxBarrier	14.1643786869

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	17817078998366789951	0.2422914170	554102	0.4779110990
1	2785477980593036870	0.1652350529	645179	0.3428118667
2	7477418432307363035	0.0760891977	584483	0.1094855043
3	5669739093460803758	0.0476430328	187950	0.0697110082
4	2128079292498463713	0.0000565643	55311	0.0000805217

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	0	2785477980593036870	17817078998366789951	2785477980593036870	7486601871349114997	-3164.3244628906	0.0624370074	0.9732568962	1.3560290775
3	0	5669739093460803758	17817078998366789951	5669739093460803758	12300369504648124502	-3165.2119140625	0.0257048266	0.6170754488	2.2434802494
1	3	2785477980593036870	5669739093460803758	5669739093460803758	14746014550481370388	-3165.4780273438	0.0196974482	2.1268213493	0.8831887301
3	2	5669739093460803758	7477418432307363035	7999067397871203641	16053388767169408220	-3166.6396484375	0.0061655898	2.0448098238	2.5129797262
2	0	7477418432307363035	17817078998366789951	619443745171039065	14038235005658208601	-3167.1975097656	0.0035292887	3.0708410543	4.2290759525
1	2	2785477980593036870	7477418432307363035	5430271510097410587	8758047306035528307	-3169.5283203125	0.0003430770	6.1771143181	5.4016516012
4	2	2128079292498463713	7477418432307363035	2128079292498463713	12113981449257238578	-3171.4382324219	0.0000508119	0.1072797166	7.3115637105
4	3	2128079292498463713	5669739093460803758	2958430681579199206	13830869407214574831	-3173.2868652344	0.0000080005	1.9559125291	8.6920266207
4	1	2128079292498463713	2785477980593036870	11807391997503686706	13830869407214574831	-3174.1130371094	0.0000035016	2.7820844041	10.7618311149
4	0	2128079292498463713	17817078998366789951	10298074673922538893	16450572728807427108	-3177.1328125000	0.0000001710	5.8018597947	14.1643786869
