section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	49
local	posteriorMassOfLocalPeaks	0.4467483949
local	meanUphillFraction	0.4999826628
local	posteriorWeightedMeanUphillFraction	0.0433401187
local	meanBestNeighborLnLDifference	23.4343358411
local	posteriorWeightedMeanBestNeighborLnLDifference	0.0246100534
local	meanNeighborAbsLnLDifference	9.8258037515
local	posteriorWeightedMeanNeighborAbsLnLDifference	11.8373701557
basin	numPeaks	49
basin	numPeaksMassGreater01	3
basin	numPeaksMassGreater05	3
basin	largestBasinSize	218889
basin	largestBasinMass	0.5694435167
basin	basinMassEntropy	0.8456104781
basin	effectiveNumBasins	2.3293994279
basin	mapTreeHash	5124626697685069072
basin	mapPeakHash	5124626697685069072
basin	mapPeakId	0
basin	mapBasinMass	0.3773620016
basin	posteriorMassOutsideMapBasin	0.6226379984
ascent	meanAscentLength	9.3756145089
ascent	posteriorWeightedMeanAscentLength	0.6010881522
ascent	meanAscentLengthCredible95	0.7777777778
ascent	posteriorWeightedMeanAscentLengthCredible95	0.5772181267
ascent	maxAscentLength	22
credible95	credible95NumTrees	9
credible95	credible95Mass	0.9766240104
credible95	credible95NumComponents	3
credible95	credible95LargestComponentSize	4
credible95	credible95LargestComponentMass	0.5635981203
credible95	credible95MapComponentSize	4
credible95	credible95MapComponentMass	0.3655912015
barrier	basinGraphEdges	959
barrier	meanBasinGraphDegree	39.1428571429
barrier	mapBasinGraphDegree	48
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	5.4524663288
barrier	meanBarrier	53.5737075479
barrier	posteriorWeightedMeanBarrier	7.1909632326
barrier	maxBarrier	170.1930514736

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	5124626697685069072	0.2088100302	187259	0.3773620016
1	3120059728184164471	0.1903811112	152846	0.5694435167
2	7623427614208258087	0.0474346886	176526	0.0530462839
3	12282654030082164567	0.0001018071	91079	0.0001186049
4	12148029984884665422	0.0000066826	218889	0.0000082039
5	7566619875217688955	0.0000056101	129740	0.0000108858
6	2481712864582340333	0.0000045777	59009	0.0000057194
7	2750524374607360066	0.0000027756	51990	0.0000033041
8	3033361163652542192	0.0000003090	138810	0.0000004161
9	14558911667149204238	0.0000002348	131780	0.0000003298
10	1192542622748345688	0.0000002289	33707	0.0000002957
11	2367463543105110589	0.0000001623	94387	0.0000002057
12	8641599192979763592	0.0000001066	159392	0.0000001374
13	3810287667550947241	0.0000000341	72770	0.0000000564
14	7647425406220833729	0.0000000274	57817	0.0000000293
15	3165649293167897726	0.0000000086	37897	0.0000000091
16	7584003193584940670	0.0000000001	27119	0.0000000001
17	16620027448169996110	0.0000000000	16556	0.0000000001
18	4691607425762229783	0.0000000000	30122	0.0000000000
19	1197105643459895247	0.0000000000	31457	0.0000000000
20	17698835103477650371	0.0000000000	4211	0.0000000000
21	10409534843157417303	0.0000000000	23031	0.0000000000
22	8778873497685683209	0.0000000000	3979	0.0000000000
23	7695679222217891372	0.0000000000	8659	0.0000000000
24	2419078526016386847	0.0000000000	26714	0.0000000000
25	1852490523599609633	0.0000000000	6824	0.0000000000
26	15946675759911737241	0.0000000000	12709	0.0000000000
27	12306497070188140367	0.0000000000	3472	0.0000000000
28	10988380494645954370	0.0000000000	4445	0.0000000000
29	1837521853081289236	0.0000000000	5117	0.0000000000
30	17220426965307046444	0.0000000000	5274	0.0000000000
31	3506540301504164130	0.0000000000	5156	0.0000000000
32	1516518707855475474	0.0000000000	1453	0.0000000000
33	2070994761508512054	0.0000000000	1391	0.0000000000
34	16272411011205755533	0.0000000000	627	0.0000000000
35	15216731797460101753	0.0000000000	2734	0.0000000000
36	13820553120315940318	0.0000000000	875	0.0000000000
37	15212137967074693636	0.0000000000	3250	0.0000000000
38	10363418840233777779	0.0000000000	2476	0.0000000000
39	10864638730396215523	0.0000000000	522	0.0000000000
40	15833120484293195251	0.0000000000	1515	0.0000000000
41	9605445362504030113	0.0000000000	1359	0.0000000000
42	9879016803332830992	0.0000000000	406	0.0000000000
43	7020308137664579948	0.0000000000	389	0.0000000000
44	2662758236787761303	0.0000000000	303	0.0000000000
45	1313911480464372459	0.0000000000	251	0.0000000000
46	4827492153207552429	0.0000000000	254	0.0000000000
47	11318367783796173950	0.0000000000	86	0.0000000000
48	18419531873213247054	0.0000000000	391	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
1	2	3120059728184164471	7623427614208258087	7623427614208258087	7653842800756720121	-12389.8916015625	0.0019971262	4.5573349732	3.1676608486
0	2	5124626697685069072	7623427614208258087	778570511197259054	9693203422129762343	-12390.6943359375	0.0008953236	5.4524663288	3.9703952236
1	0	3120059728184164471	5124626697685069072	2027711795589568263	17629189628932648457	-12393.1738281250	0.0000749974	7.8395615357	7.9319585163
1	3	3120059728184164471	12282654030082164567	6701131145037222078	13305110522371950941	-12395.9042968750	0.0000048855	10.5700302857	3.0363270751
6	0	2481712864582340333	5124626697685069072	2481712864582340333	3970177634168273515	-12396.4169921875	0.0000029269	0.4471432479	11.1751225788
4	9	12148029984884665422	14558911667149204238	5714547324202700615	14558911667149204238	-12400.0800781250	0.0000000751	4.4885392153	1.1398818461
10	3	1192542622748345688	12282654030082164567	1192542622748345688	9047107197977414879	-12400.2187500000	0.0000000654	1.2532316047	7.3507802001
7	4	2750524374607360066	12148029984884665422	3502630279012603911	14092172020642930216	-12400.3437500000	0.0000000577	3.8735523747	4.7522110903
10	6	1192542622748345688	2481712864582340333	10702884325424548712	10774295037283002026	-12400.8828125000	0.0000000337	1.9172941047	4.9129635604
10	0	1192542622748345688	5124626697685069072	1192542622748345688	15140930337681294858	-12401.2519531250	0.0000000233	2.2864347297	16.0100835163
7	1	2750524374607360066	3120059728184164471	2750524374607360066	18081502832086592745	-12401.2666015625	0.0000000229	4.7964039372	15.9323349732
6	2	2481712864582340333	7623427614208258087	13275359031271247088	14963658584339023069	-12401.2802734375	0.0000000226	5.3104244979	14.5563327236
5	12	7566619875217688955	8641599192979763592	7722232105119612440	18093755938622471489	-12401.4189453125	0.0000000197	5.6524716344	1.6888561979
13	9	3810287667550947241	14558911667149204238	3810287667550947241	17504493631487452546	-12401.7207031250	0.0000000146	0.8521945626	2.7805068461
8	9	3033361163652542192	14558911667149204238	4042125151231888714	17504493631487452546	-12401.8710937500	0.0000000125	3.2056945024	2.9308974711
7	9	2750524374607360066	14558911667149204238	11424667097096433371	16692774000637229118	-12402.1855468750	0.0000000091	5.7153492497	3.2453505961
11	8	2367463543105110589	3033361163652542192	2367463543105110589	2565095841192363039	-12402.5097656250	0.0000000066	3.2002784625	3.8443663774
8	13	3033361163652542192	3810287667550947241	3810287667550947241	12260878293496213362	-12402.8984375000	0.0000000045	4.2330382524	2.0299289376
0	5	5124626697685069072	7566619875217688955	2740038272910430498	7566619875217688955	-12402.9716796875	0.0000000042	17.7298100788	7.2052060094
2	3	7623427614208258087	12282654030082164567	10159443707460631347	13993387110501640100	-12403.7216796875	0.0000000020	16.9977389736	10.8537098876
10	1	1192542622748345688	3120059728184164471	11369209086705124920	12903025196575571250	-12403.8349609375	0.0000000018	4.8694425422	18.5006943482
14	3	7647425406220833729	12282654030082164567	2997837336853751966	15275500258670182135	-12404.1562500000	0.0000000013	3.0696526007	11.2882802001
7	14	2750524374607360066	7647425406220833729	7647425406220833729	14855494181326784136	-12405.1562500000	0.0000000005	8.6860523747	4.0696526007
14	12	7647425406220833729	8641599192979763592	455970266212370056	845866287172601777	-12405.2910156250	0.0000000004	4.2044182257	5.5609265104
8	5	3033361163652542192	7566619875217688955	2281687992020002704	8185654433011151068	-12405.4482421875	0.0000000004	6.7828429399	9.6817685094
0	3	5124626697685069072	12282654030082164567	852102341026497797	13246024122998980025	-12405.4628906250	0.0000000003	20.2210210163	12.5949208251
6	3	2481712864582340333	12282654030082164567	852102341026497797	13239092321853213518	-12406.1748046875	0.0000000002	10.2049557479	13.3068348876
1	15	3120059728184164471	3165649293167897726	3165649293167897726	15469736879338629325	-12406.6591796875	0.0000000001	21.3249130982	4.4093936561
1	4	3120059728184164471	12148029984884665422	7322199082675419709	17985358174223489783	-12406.7392578125	0.0000000001	21.4049912232	11.1477189028
2	12	7623427614208258087	8641599192979763592	8641599192979763592	15749333221342714267	-12407.1152343750	0.0000000001	20.3912936611	7.3851452604
11	5	2367463543105110589	7566619875217688955	1570714965117006314	6702821088711372580	-12407.3730468750	0.0000000001	8.0635597125	11.6065731969
7	12	2750524374607360066	8641599192979763592	845866287172601777	6884940288326476217	-12407.5380859375	0.0000000000	11.0678883122	7.8079968229
1	9	3120059728184164471	14558911667149204238	2329198982830511574	9771468105917903668	-12407.6337890625	0.0000000000	22.2995224732	8.6935927836
10	17	1192542622748345688	16620027448169996110	6073650629601149375	16620027448169996110	-12407.9521484375	0.0000000000	8.9866300422	0.2074271834
