move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	4.1883536430437733e-17	1	1e-08	1.5192166151517963e-19	0.071428571428571425	0.044242956666095658	0.07431150349619868	0.99999999999999967	0.619401393273318	28378350	0	1	1	1	268	0	1	1	1	14901	0	1	1	1	99049	0	1	1	1	236476	0	1	1	1	501267	0	0	0.99999901333234664	1	1275888	0	0	0	nan	nan	0.99219349920301203	0.0078065007969879696	128.09836647756907	255.19673295513817	1	4	1	0	0.12952147912480236	0.53590534876386631	740.01160327924924	0	0.059021847971212696	nan	2.640317738387246	2.3974971841939304e+53	1822310	0.37874229508862756	15	0.95022861159841421	nan	nan	9.9999999999999995e-07	17514.498415567323
NNI2	0	NNI2 (0.000000)	2027025	1.2679351139351884e-16	1	1e-08	1.9620261065802105e-29	0.0081967213114754103	0.0044973470509215088	0.011136519549829303	1.0000000000000009	0.56666572847380592	255405150	0	1	1	1	557124	0	1	1	1	1801045	0	1	1	1	4019136	0	1	1	1	7949103	0	1	1	1	16418935	0	0	0.99999901333234664	1	34211612	0	0	0	nan	nan	0.99169067913029652	0.0083093208697034848	120.34677871763118	239.69355743526239	1	4	1	0	0.030237488046231348	0.19524504333952342	935.3718474562728	0	0.011136519549829303	nan	2.6403177383873566	2.3974971841940308e+53	204714	0.37874229508861168	15	0.95022861159837457	nan	nan	9.9999999999999995e-07	16454.647523035597
TBR	0	TBR (0.000000)	2027025	1.1489957356466853e-16	1	9.9999999999999995e-07	7.5487709652842874e-39	0.013114754098360656	0.0018112059915293061	0.011781640960448673	0.95538057742781779	0.52631366357036746	589027950	0	1	1	1	8202350	0	1	1	1	15303470	0	1	1	1	26483339	0	1	1	1	45106112	0	1	1	1	77046171	0	1	1	1	129062461	0	0	0	nan	nan	0.99066309034896349	0.0093369096510365068	107.1018182005208	213.20363640104159	1	4	1	0	0.024902832763369926	0.15960795246738366	1062.3521974769012	0	0.0098615949806807393	nan	2.6403177383873566	2.3974971841940308e+53	204714	0.37874229508861168	15	0.95022861159837457	nan	nan	9.9999999999999995e-07	14643.705180724863
NNI	0.02	NNI (0.020000)	2027025	1.547921586281301e-17	1	1e-08	2.8236855304162104e-19	0.14022077321996124	0.047228102224010617	0.086667767904527473	1.0000000000000004	0.66119343113671536	28378350	0	1	1	1	182	0	1	1	1	9433	0	1	1	1	87839	0	1	1	1	223061	0	1	1	1	474446	0	0	0.99999901333234664	1	1219839	0	0	0	nan	nan	0.99113514569674144	0.0088648543032585625	112.80501244475251	224.61002488950501	1	4	1	0	0.14973599943314977	0.59651144893959573	636.45188836395005	0	0.068835076831868403	nan	2.640317738387246	2.3974971841939304e+53	1822310	0.37874229508862756	15	0.95022861159841421	nan	nan	9.9999999999999995e-07	15423.484827004806
NNI2	0.02	NNI2 (0.020000)	2027025	1.1611220164195841e-16	1	1e-08	4.5984739202110577e-29	0.022353456413257165	0.00497678192126161	0.014767938767004163	1.0000000000000007	0.62707452209309988	255405150	0	1	1	1	476431	0	1	1	1	1621350	0	1	1	1	3769731	0	1	1	1	7553028	0	1	1	1	15789506	0	0	0.99999901333234664	1	33409640	0	0	0	nan	nan	0.98950908798058557	0.010490912019414433	95.320597308356469	189.64119461671294	1	4	1	0	0.039086454083141202	0.24238152425139844	731.77119769761293	0	0.01476793876700417	nan	2.6403177383873566	2.3974971841940308e+53	204714	0.37874229508861168	15	0.95022861159837457	nan	nan	9.9999999999999995e-07	13032.894169800935
TBR	0.02	TBR (0.020000)	2027025	1.695207253139722e-16	1	9.9999999999999995e-07	2.8641202198579766e-38	0.026493881364411824	0.0020550192166654182	0.017479958417925299	0.9705774805891767	0.59716271705349888	589027950	0	1	1	1	7578415	0	1	1	1	14441897	0	1	1	1	25349739	0	1	1	1	43600182	0	1	1	1	75266671	0	1	1	1	127477297	0	0	0	nan	nan	0.98656416825432247	0.013435831745677529	74.427844805492754	147.85568961098551	1	4	1	0	0.036272421948111817	0.21853715200413412	730.61501445201623	0	0.014618991880611156	nan	2.6403177383873566	2.3974971841940308e+53	204714	0.37874229508861168	15	0.95022861159837457	nan	nan	9.9999999999999995e-07	10176.292173891699
NNI	0.050000000000000003	NNI (0.050000)	2027025	3.513535831954047e-17	1	1e-08	6.1770759954862762e-19	0.33259670827301241	0.051501534067365524	0.10767967706500867	1.0000000000000004	0.72102147694382845	28378350	0	1	1	1	119	0	1	1	1	4773	0	1	1	1	72119	0	1	1	1	204973	0	1	1	1	438949	0	0	0.99999901333234664	1	1144480	0	0	0	nan	nan	0.98941721168591956	0.010582788314080438	94.493055168598275	187.98611033719655	1	4	1	0	0.18342959413666199	0.69028902388945879	522.80171342479821	0	0.085393660394801146	nan	2.640317738387246	2.3974971841939304e+53	1822310	0.37874229508862756	15	0.95022861159841421	nan	nan	9.9999999999999995e-07	12919.746836290686
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	1.1807657903872296e-16	1	1e-08	1.4221557166652432e-28	0.083626849850778909	0.0056724602436122257	0.021896070900074668	1.0000000000000011	0.71472999071121257	255405150	0	1	1	1	385298	0	1	1	1	1390064	0	1	1	1	3449033	0	1	1	1	7050901	0	1	1	1	14999471	0	0	0.99999901333234664	1	32478812	0	0	0	nan	nan	0.98561754498784382	0.014382455012156181	69.529158906097109	138.05831781219422	1	4	1	0	0.055716072637573721	0.32549970058367184	523.73696061472856	0	0.021896070900074664	nan	2.6403177383873566	2.3974971841940308e+53	204714	0.37874229508861168	15	0.95022861159837457	nan	nan	9.9999999999999995e-07	9506.5094875314608
TBR	0.050000000000000003	TBR (0.050000)	2027025	1.4797795104789521e-16	1	9.9999999999999995e-07	1.6166558616278332e-37	0.063963090628277514	0.0024196031090401942	0.027984493202589715	0.98739026550148179	0.7031062070242915	589027950	0	1	1	1	6821806	0	1	1	1	13375107	0	1	1	1	23973547	0	1	1	1	41824573	0	1	1	1	73355120	0	1	1	1	126276772	0	0	0	nan	nan	0.97937760366996418	0.020622396330035819	48.490969914273926	95.981939828547851	1	4	1	0	0.056505085575471153	0.31452989299965084	469.72531912455509	0	0.023335669202585257	nan	2.6403177383873566	2.3974971841940308e+53	204714	0.37874229508861168	15	0.95022861159837457	nan	nan	9.9999999999999995e-07	6630.0222227984423
NNI	0.10000000000000001	NNI (0.100000)	2027025	1.6015012185659505e-17	1	1e-08	1.3867641802484963e-18	0.75756506112064959	0.057766670923274262	0.14424822989980463	1.0000000000000004	0.80873339292640689	28378350	0	1	1	1	83	0	1	1	1	2233	0	1	1	1	54709	0	1	1	1	181692	0	1	1	1	394669	0	0	0.99999901333234664	1	1045639	0	0	0	nan	nan	0.98630544422869137	0.013694555771308625	73.021718754477121	145.04343750895424	1	4	1	0	0.24700580782640294	0.84641050261132644	396.46904976280229	0	0.11724546384287601	nan	2.640317738387246	2.3974971841939304e+53	1822310	0.37874229508862756	15	0.95022861159841421	nan	nan	9.9999999999999995e-07	9984.036585288859
