move_type	power	analysis_name	num_states	stationary_discrepancy	irreducible_at_zero	largest_threshold_irreducible	min_positive_offdiag_transition	max_offdiag_transition	mean_positive_offdiag_transition	min_leave_probability	max_leave_probability	mean_leave_probability	num_positive_offdiag_transitions	num_states_with_zero_leave_probability	irreducible_gt_1e_minus_16	reachable_from0_frac_gt_1e_minus_16	can_reach0_frac_gt_1e_minus_16	transitions_le_1e_minus_16	states_leave_le_1e_minus_16	irreducible_gt_1e_minus_14	reachable_from0_frac_gt_1e_minus_14	can_reach0_frac_gt_1e_minus_14	transitions_le_1e_minus_14	states_leave_le_1e_minus_14	irreducible_gt_1e_minus_12	reachable_from0_frac_gt_1e_minus_12	can_reach0_frac_gt_1e_minus_12	transitions_le_1e_minus_12	states_leave_le_1e_minus_12	irreducible_gt_1e_minus_10	reachable_from0_frac_gt_1e_minus_10	can_reach0_frac_gt_1e_minus_10	transitions_le_1e_minus_10	states_leave_le_1e_minus_10	irreducible_gt_1e_minus_8	reachable_from0_frac_gt_1e_minus_8	can_reach0_frac_gt_1e_minus_8	transitions_le_1e_minus_8	states_leave_le_1e_minus_8	irreducible_gt_1e_minus_6	reachable_from0_frac_gt_1e_minus_6	can_reach0_frac_gt_1e_minus_6	transitions_le_1e_minus_6	states_leave_le_1e_minus_6	detailed_balance_checked	detailed_balance_reversible	detailed_balance_max_abs_error	detailed_balance_max_relative_error	slem_abs_lambda2	spectral_gap	relaxation_time	worst_case_iact	sparse_eigen_calculation	eigenvalues_converged_or_computed	eigenvalue_1_multiplicity_among_computed	has_complex_eigenvalues	average_acceptance_rate	entropy_rate_nats_per_step	kemeny_estimate	kemeny_is_exact	posterior_sweep_conductance	eigenvector_sweep_conductance	mean_return_time_min	mean_return_time_max	map_index	map_posterior	posterior95_set_size	posterior95_actual_mass	mean_hitting_time_map_uniform_start	mean_hitting_time_posterior95_uniform_start	mixing_time_upper_bound_epsilon	mixing_time_upper_bound
NNI	0	NNI (0.000000)	2027025	5.6172089233566055e-17	1	9.9999999999999998e-13	7.4736211571792812e-31	0.071428571428571425	0.04246783133803031	0.0035257504614962147	0.99999999999999967	0.59454963865847299	28378350	0	1	1	1	158986	0	1	1	1	211870	0	1	1	1	294464	0	0	0.99999802666469328	1	427710	0	0	0.99999161332494668	1	882337	0	0	0.9999491866158533	1	1986263	0	0	0	nan	nan	1.0000000000458378	-4.5837778017698838e-11	inf	inf	1	4	1	0	0.073097282423910406	0.32732161790079256	4893.907409096154	0	0.038310384778492745	nan	2.0509900285409119	1.8388760577179365e+70	115371	0.4875694109109866	11	0.95351725860621805	nan	nan	9.9999999999999995e-07	535897848037.42242
NNI2	0	NNI2 (0.000000)	2027025	3.6610423968554446e-17	1	9.9999999999999998e-13	2.0102790518298284e-41	0.0081967213114754103	0.0043751152718632313	0.00039926132282005041	1.0000000000000009	0.55126452431765816	255405150	0	1	1	1	3479848	0	1	1	1	4979216	0	1	1	1	7689920	0	0	0.99999901333234664	1	13390330	0	0	0.99999851999851996	1	25062410	0	0	0.99999605332938668	1	45556889	0	0	0	nan	nan	0.99999999210015356	7.8998464436708105e-09	126584738.97314534	253169476.94629064	1	4	2	0	0.018018114082779757	0.11974968267928379	1529.5088135044375	0	0.0053278520818243027	nan	2.0509900285408764	1.8388760577179047e+70	1547114	0.48756941091099504	11	0.95351725860623449	nan	nan	9.9999999999999995e-07	21655270898.341362
TBR	0	TBR (0.000000)	2027025	1.2569806588257771e-16	1	9.9999999999999998e-13	5.6237582630973026e-50	0.013114754098360656	0.0017695470276913596	0.00058260287583655442	0.9553805774278179	0.51420809315471916	589027950	0	1	1	1	19277874	0	1	1	1	28254545	0	1	1	1	42816985	0	0	0.99999901333234664	1	66537061	0	0	0.99999901333234664	1	103206478	0	0	0.99999901333234664	1	156004465	0	0	0	nan	nan	0.99999992821965533	7.1780344668148643e-08	13931390.335657356	27862779.671314709	1	4	1	0	0.015139443469246701	0.10129303186560164	13932799.069903798	0	0.0064198854384286425	nan	2.0509900285408764	1.8388760577179047e+70	1547114	0.48756941091099504	11	0.95351725860623449	nan	nan	9.9999999999999995e-07	2446429003.0513945
NNI	0.02	NNI (0.020000)	2027025	5.7468206315287277e-17	1	9.9999999999999998e-13	1.739745938040231e-30	0.18422381889796599	0.046277014359112557	0.0044874649070559668	1.0000000000000004	0.64787820102818061	28378350	0	1	1	1	151270	0	1	1	1	204567	0	1	1	1	284894	0	0	0.99999802666469328	1	412142	0	0	0.99999161332494668	1	832692	0	0	0.99994770661437327	1	1918322	0	0	0	nan	nan	0.99999983075977561	1.6924022439024355e-07	5908760.7783723101	11817520.55674462	1	4	1	0	0.087201598135546232	0.37470441868348098	4180.6357676423704	0	0.046084321630592805	nan	2.0509900285409119	1.8388760577179365e+70	115371	0.4875694109109866	11	0.95351725860621805	nan	nan	9.9999999999999995e-07	452819502614.04608
NNI2	0.02	NNI2 (0.020000)	2027025	9.0395237285122764e-17	1	9.9999999999999998e-13	6.9825179601139338e-41	0.031906381645301275	0.0049815091731573594	0.00059358727608133501	1.0000000000000013	0.62767015584001584	255405150	0	1	1	1	3337271	0	1	1	1	4780582	0	1	1	1	7373556	0	0	0.99999901333234664	1	12850137	0	0	0.99999851999851996	1	24315774	0	0	0.99999605332938668	1	44761395	0	0	0	nan	nan	0.99999998693686987	1.3063130133161849e-08	76551331.098005086	153102661.19601017	1	4	1	0	0.024628323149180266	0.15617024207028549	94032573.151286319	0	0.0074520668645442992	nan	2.0509900285408764	1.8388760577179047e+70	1547114	0.48756941091099504	11	0.95351725860623449	nan	nan	9.9999999999999995e-07	16512451752.611752
TBR	0.02	TBR (0.020000)	2027025	7.1742256170126486e-17	1	9.9999999999999998e-13	2.591529112089583e-49	0.033694899855846006	0.0020754596789086316	0.00098605139100605994	0.97874524167620292	0.60310245811476859	589027950	0	1	1	1	18519449	0	1	1	1	27231998	0	1	1	1	41468807	0	0	0.99999901333234664	1	64875712	0	0	0.99999901333234664	1	101508392	0	0	0.99999901333234664	1	154709050	0	0	0	nan	nan	0.99999988992490441	1.1007509559401996e-07	9084707.0775047038	18169413.155009408	1	4	1	0	0.025038248498971301	0.15478369690317115	9085652.8783196062	0	0.010757576521264602	nan	2.0509900285408764	1.8388760577179047e+70	1547114	0.48756941091099504	11	0.95351725860623449	nan	nan	9.9999999999999995e-07	1595336684.5857904
NNI	0.050000000000000003	NNI (0.050000)	2027025	1.8047911712016476e-17	1	9.9999999999999998e-13	4.6605782396709406e-30	0.50827674790641186	0.051701104048182532	0.0063081564525385853	1.0000000000000004	0.72381545667501046	28378350	0	1	1	1	139625	0	1	1	1	195957	0	1	1	1	273230	0	0	0.99999753333086672	1	393696	0	0	0.99998963998963997	1	768568	0	0	0.99992797326130656	1	1833105	0	0	0	nan	nan	0.99999999011352336	9.8864766373552015e-09	101148269.16412123	202296537.32824245	1	4	2	0	0.11063645602765337	0.44794648660472092	3386.2411776763879	0	0.059312744448349164	nan	2.0509900285409119	1.8388760577179365e+70	115371	0.4875694109109866	11	0.95351725860621805	nan	nan	9.9999999999999995e-07	364202108316.69312
NNI2	0.050000000000000003	NNI2 (0.050000)	2027025	8.3861231290288368e-17	1	9.9999999999999998e-13	2.9625808645105819e-40	0.15888443232005484	0.0058441272977353634	0.0010276975783785052	1.0000000000000009	0.73636003954056561	255405150	0	1	1	1	3171463	0	1	1	1	4546047	0	1	1	1	6999209	0	0	0.99999901333234664	1	12221433	0	0	0.99999851999851996	1	23508918	0	0	0.99999605332938668	1	44105509	0	0	0	nan	nan	0.999999827814534	1.721854659963995e-07	5807691.1091956543	11615381.218391309	1	4	1	0	0.036912510876366024	0.21929775865223591	67345356.779159024	0	0.011608453183138006	nan	2.0509900285408764	1.8388760577179047e+70	1547114	0.48756941091099504	11	0.95351725860623449	nan	nan	9.9999999999999995e-07	11826091703.628862
TBR	0.050000000000000003	TBR (0.050000)	2027025	1.6827992608228078e-16	1	9.9999999999999998e-13	1.2631264596276623e-48	0.13958268540587615	0.0025240009774760404	0.0018274139995179547	0.99670271674010624	0.73344291352813384	589027950	0	1	1	1	17691832	0	1	1	1	26128191	0	1	1	1	40081221	0	0	0.99999901333234664	1	63349451	0	0	0.99999901333234664	1	100371250	0	0	0.99999802666469328	1	154796132	0	0	0	nan	nan	0.9999998258306575	1.7416934250391591e-07	5741538.5832183221	11483076.166436644	1	4	1	0	0.041915511340880195	0.23711898446692864	5742046.4069274757	0	0.018427371014642178	nan	2.0509900285408764	1.8388760577179047e+70	1547114	0.48756941091099504	11	0.95351725860623449	nan	nan	9.9999999999999995e-07	1008242733.9493145
NNI	0.10000000000000001	NNI (0.100000)	2027025	5.619697904544873e-17	1	9.9999999999999998e-13	9.2550227976188321e-30	0.92832338409244886	0.059111284809973415	0.010441163582904332	1.0000000000000007	0.82755798734039421	28378350	0	1	1	1	126551	0	1	1	1	186765	0	1	1	1	259604	0	0	0.99999753333086672	1	373566	0	0	0.99998766665433336	1	694091	0	0	0.99991021324354656	1	1738873	0	0	0	nan	nan	1.0000000000828184	-8.2818418789543102e-11	inf	inf	1	4	2	0	0.15412470951954618	0.56912767677087217	2539.6488098347863	0	0.084936932313330923	nan	2.0509900285409119	1.8388760577179365e+70	115371	0.4875694109109866	11	0.95351725860621805	nan	nan	9.9999999999999995e-07	273896368181.17636
